// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.623216	1.026294	2.401994	0.002361	0.001585	0.002890	-0.954102	0.643311	-0.120605	0.482081	-0.444479	-0.426618	-0.622924
23209		9.637064	1.026350	2.354233	0.005684	-0.000106	0.002449	-0.956299	0.645508	-0.118652	0.482131	-0.444458	-0.426649	-0.622878
23210		9.629627	1.007318	2.378141	0.003459	0.003639	0.004329	-0.956055	0.638916	-0.120605	0.482202	-0.444435	-0.426630	-0.622853
23211		9.616445	0.996530	2.375046	0.004490	0.003651	0.004062	-0.953857	0.639160	-0.116211	0.482278	-0.444402	-0.426621	-0.622824
23212		9.631327	1.040201	2.358400	0.003876	0.001825	0.002998	-0.956055	0.641113	-0.118408	0.482333	-0.444384	-0.426623	-0.622792
23213		9.627452	0.995140	2.363395	-0.000057	0.002934	0.003735	-0.956055	0.641113	-0.111816	0.482375	-0.444387	-0.426588	-0.622782
23214		9.634023	0.991008	2.399612	0.002781	0.001015	0.002920	-0.956299	0.645508	-0.116455	0.482416	-0.444389	-0.426592	-0.622747
23215		9.635893	1.024896	2.378792	0.003033	0.001723	0.001577	-0.949951	0.649658	-0.114258	0.482454	-0.444379	-0.426598	-0.622720
23216		9.630920	0.999453	2.337946	0.004384	0.004486	0.001672	-0.951660	0.639160	-0.114014	0.482513	-0.444343	-0.426600	-0.622698
23217		9.646441	1.016904	2.338347	-0.000070	0.009490	0.002710	-0.956299	0.643311	-0.112061	0.482579	-0.444309	-0.426538	-0.622715
23218		9.627343	0.997992	2.376982	-0.000428	0.009616	0.001663	-0.951660	0.636963	-0.115967	0.482629	-0.444281	-0.426484	-0.622732
23219		9.646481	1.021042	2.350842	0.002092	0.006189	0.001846	-0.951904	0.643311	-0.116211	0.482679	-0.444264	-0.426472	-0.622714
23220		9.635959	0.994096	2.380871	0.000680	0.005117	0.004125	-0.956055	0.641113	-0.120605	0.482730	-0.444287	-0.426444	-0.622677
23221		9.629195	0.980080	2.414077	0.001607	0.005962	0.001471	-0.951904	0.641113	-0.118408	0.482768	-0.444284	-0.426437	-0.622654
23222		9.649477	1.032334	2.357905	0.002805	0.004694	0.002578	-0.953857	0.636963	-0.118164	0.482825	-0.444289	-0.426430	-0.622612
23223		9.630568	1.006120	2.365335	-0.000646	0.004787	0.002328	-0.953857	0.641113	-0.120605	0.482849	-0.444311	-0.426414	-0.622588
23224		9.621991	1.013363	2.374194	-0.003613	0.005109	0.002453	-0.953857	0.641113	-0.116211	0.482863	-0.444353	-0.426367	-0.622579
23225		9.622491	0.978852	2.361748	-0.006262	0.006938	0.001579	-0.954102	0.643311	-0.116211	0.482858	-0.444405	-0.426295	-0.622595
23226		9.611121	1.009903	2.368231	0.000932	0.004581	0.001423	-0.956055	0.638916	-0.114014	0.482883	-0.444443	-0.426286	-0.622555
23227		9.638828	0.976957	2.408674	0.000675	0.001382	0.000047	-0.954102	0.645508	-0.118652	0.482859	-0.444499	-0.426322	-0.622508
