// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.544306	-2.044709	0.621190	0.003995	0.004511	-0.006170	-0.612305	0.272705	-0.491699	0.728143	-0.179109	-0.660452	-0.039138
23209		9.575611	-2.060321	0.613608	0.003371	0.004454	-0.005576	-0.601807	0.274658	-0.486572	0.728184	-0.179030	-0.660425	-0.039171
23210		9.576879	-2.078644	0.612841	0.007815	0.001781	-0.002847	-0.605713	0.279297	-0.488281	0.728217	-0.178941	-0.660416	-0.039134
23211		9.563738	-2.061377	0.643877	0.002250	0.004970	-0.006121	-0.605225	0.278320	-0.488037	0.728259	-0.178869	-0.660386	-0.039182
23212		9.573427	-2.070025	0.654611	0.003394	0.002711	-0.006326	-0.602783	0.270996	-0.487793	0.728287	-0.178786	-0.660376	-0.039216
23213		9.565634	-2.036197	0.618692	0.002748	0.004395	-0.004981	-0.596191	0.273926	-0.487305	0.728330	-0.178720	-0.660344	-0.039245
23214		9.568033	-2.042962	0.599299	0.003764	0.001507	-0.003453	-0.604248	0.275146	-0.486328	0.728351	-0.178658	-0.660337	-0.039247
23215		9.576780	-2.053161	0.619344	0.001485	0.003112	-0.003899	-0.598389	0.270752	-0.490234	0.728377	-0.178614	-0.660319	-0.039275
23216		9.577493	-2.092909	0.635810	0.001473	0.001941	-0.004003	-0.603516	0.278320	-0.491699	0.728392	-0.178570	-0.660313	-0.039300
23217		9.549631	-2.081726	0.615658	0.002137	0.005508	-0.004282	-0.602539	0.277100	-0.490723	0.728439	-0.178524	-0.660273	-0.039324
23218		9.541830	-2.078884	0.596672	0.003491	0.003907	-0.007408	-0.606934	0.273438	-0.491699	0.728472	-0.178447	-0.660255	-0.039355
23219		9.558515	-2.069310	0.628944	0.003360	-0.000804	-0.006635	-0.604004	0.278809	-0.488281	0.728461	-0.178386	-0.660283	-0.039363
23220		9.587962	-2.035397	0.614960	0.000952	0.000171	-0.005350	-0.604492	0.278564	-0.484863	0.728454	-0.178365	-0.660295	-0.039377
23221		9.567959	-2.036006	0.623044	0.001543	0.000798	-0.005295	-0.599121	0.278076	-0.490723	0.728449	-0.178336	-0.660308	-0.039390
23222		9.567368	-2.066593	0.650225	-0.001243	0.005886	-0.006025	-0.601074	0.276855	-0.492676	0.728486	-0.178319	-0.660269	-0.039448
