// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.342935	1.218249	2.401751	-0.004711	-0.000280	-0.001964	-0.790771	0.182617	0.003174	0.317806	-0.525058	-0.317507	-0.722843
23209		9.386749	1.241309	2.395121	-0.001011	-0.001601	-0.002259	-0.783203	0.187012	0.006836	0.317773	-0.525068	-0.317519	-0.722845
23210		9.413386	1.257972	2.394290	0.004986	-0.000791	-0.006606	-0.785645	0.190918	0.003174	0.317746	-0.525035	-0.317608	-0.722842
23211		9.384314	1.242305	2.419312	0.005959	0.008913	-0.007214	-0.784180	0.188721	0.004395	0.317754	-0.524903	-0.317675	-0.722905
23212		9.361757	1.244555	2.424044	0.003068	0.012910	-0.004990	-0.778809	0.179932	0.002686	0.317779	-0.524754	-0.317686	-0.722998
23213		9.330670	1.242366	2.432065	-0.001107	0.010552	-0.002110	-0.776367	0.186523	0.004639	0.317792	-0.524652	-0.317651	-0.723081
23214		9.351642	1.234575	2.391391	-0.010904	0.008686	-0.000463	-0.781250	0.184814	0.006348	0.317748	-0.524609	-0.317524	-0.723188
23215		9.371184	1.231416	2.414018	-0.009966	-0.001366	-0.000612	-0.775391	0.178955	0.000244	0.317667	-0.524654	-0.317448	-0.723223
23216		9.388771	1.219300	2.419085	-0.005779	0.005070	-0.002044	-0.779541	0.189209	0.000977	0.317626	-0.524620	-0.317395	-0.723290
23217		9.355113	1.210104	2.440957	0.003976	0.006337	-0.004044	-0.781738	0.190430	-0.001465	0.317638	-0.524529	-0.317437	-0.723333
23218		9.370024	1.240471	2.458708	0.004133	0.010466	-0.005741	-0.782715	0.183350	-0.002197	0.317655	-0.524391	-0.317470	-0.723411
23219		9.359287	1.269717	2.402558	-0.000536	0.010786	-0.007352	-0.782959	0.189453	0.002441	0.317627	-0.524255	-0.317469	-0.723522
23220		9.367761	1.238140	2.453778	-0.016711	-0.003103	-0.002894	-0.781738	0.190918	0.008057	0.317472	-0.524330	-0.317355	-0.723585
23221		9.323233	1.195833	2.368622	-0.020029	-0.013814	-0.001716	-0.777832	0.189941	0.000488	0.317265	-0.524519	-0.317244	-0.723588
23222		9.389743	1.165881	2.451661	0.003572	-0.021722	-0.005961	-0.781494	0.185303	-0.000732	0.317149	-0.524676	-0.317403	-0.723455
