// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61648		9.578273	1.122716	2.137988	0.010128	-0.003639	0.009652	-0.702881	-0.116211	0.009033	-0.131744	-0.625023	0.033133	-0.768695
61649		9.607071	1.081868	2.077378	0.002211	-0.002814	0.005869	-0.696533	-0.114014	0.013428	-0.131670	-0.625051	0.033162	-0.768684
61650		9.572703	1.020187	2.123003	0.011447	-0.000357	0.002181	-0.698730	-0.109863	0.008789	-0.131557	-0.625077	0.033071	-0.768686
61651		9.556305	1.083720	2.125035	0.004808	-0.006875	-0.000584	-0.698730	-0.114014	0.011230	-0.131519	-0.625152	0.033035	-0.768633
61652		9.547755	1.104245	2.060735	-0.002818	-0.008742	-0.000827	-0.694336	-0.114014	0.013428	-0.131541	-0.625232	0.033076	-0.768562
61653		9.569767	1.066805	2.119880	0.003796	-0.006179	-0.003515	-0.691895	-0.118408	0.007080	-0.131536	-0.625305	0.033030	-0.768506
61654		9.559784	1.105313	2.098570	0.001523	-0.004455	-0.003832	-0.696533	-0.114014	0.009033	-0.131548	-0.625359	0.033005	-0.768461
61655		9.582268	1.123242	2.089303	-0.000467	-0.002329	-0.004937	-0.694336	-0.111816	0.011230	-0.131586	-0.625392	0.032990	-0.768428
61656		9.553902	1.119439	2.094418	-0.004584	-0.002359	-0.003789	-0.696289	-0.116211	0.009277	-0.131644	-0.625424	0.033023	-0.768391
61657		9.553014	1.102988	2.091415	-0.015294	-0.006322	-0.002942	-0.696533	-0.109863	0.006836	-0.131775	-0.625480	0.033172	-0.768316
61658		9.566111	1.095539	2.098407	-0.003066	-0.003465	-0.001904	-0.694336	-0.116211	0.007080	-0.131800	-0.625532	0.033211	-0.768268
61659		9.591962	1.173186	2.104932	-0.003426	-0.007060	-0.003312	-0.692139	-0.116211	0.009277	-0.131837	-0.625620	0.033250	-0.768188
61660		9.588237	1.117336	2.103995	0.007873	-0.003534	-0.003706	-0.698730	-0.114014	0.009033	-0.131799	-0.625697	0.033160	-0.768136
61661		9.573595	1.102589	2.099827	0.005190	-0.004645	-0.002172	-0.692139	-0.116211	0.015625	-0.131763	-0.625784	0.033115	-0.768073
61662		9.554094	1.116430	2.094898	0.004537	-0.005423	-0.002095	-0.692139	-0.114014	0.013428	-0.131730	-0.625880	0.033075	-0.768002
61663		9.535817	1.157270	2.101347	0.010456	-0.006095	-0.002150	-0.692139	-0.116211	0.009277	-0.131651	-0.625991	0.032984	-0.767930
61664		9.549643	1.103084	2.036920	0.007466	-0.006367	-0.001857	-0.694336	-0.116211	0.013428	-0.131602	-0.626092	0.032912	-0.767858
61665		9.580373	1.083694	2.086928	0.007836	-0.005990	-0.001146	-0.692139	-0.118408	0.009277	-0.131536	-0.626210	0.032847	-0.767777
61666		9.571587	1.148734	2.077055	0.005782	-0.005081	-0.001719	-0.694336	-0.114014	0.009033	-0.131492	-0.626305	0.032798	-0.767709
61667		9.567654	1.140381	2.014137	0.003426	-0.003204	0.001488	-0.696289	-0.116211	0.007080	-0.131433	-0.626379	0.032800	-0.767658
61668		9.546564	1.150185	2.033773	0.000960	-0.000060	0.001165	-0.689941	-0.114014	0.013428	-0.131403	-0.626429	0.032811	-0.767622
61669		9.560126	1.138430	2.025621	-0.008244	0.003156	0.002997	-0.689697	-0.122559	0.007324	-0.131431	-0.626445	0.032913	-0.767599
61670		9.544588	1.125242	2.040158	-0.001019	0.004042	0.002787	-0.700684	-0.114014	0.013428	-0.131427	-0.626455	0.032912	-0.767592
61671		9.585659	1.121691	2.043781	-0.000155	0.007227	0.003147	-0.698730	-0.114014	0.011230	-0.131381	-0.626473	0.032940	-0.767584
61672		9.589018	1.099165	2.078946	-0.003073	0.004952	0.002214	-0.692139	-0.116211	0.013428	-0.131368	-0.626499	0.032992	-0.767563
61673		9.566700	1.102410	2.107442	0.001242	0.005411	-0.001225	-0.687988	-0.111816	0.009033	-0.131363	-0.626522	0.032962	-0.767547
61674		9.574747	1.100197	2.080499	0.001148	0.003587	-0.000428	-0.696533	-0.114014	0.011230	-0.131348	-0.626523	0.032965	-0.767548
61675		9.564429	1.137880	2.060937	-0.002203	-0.000281	-0.001542	-0.694336	-0.114014	0.015625	-0.131358	-0.626583	0.032996	-0.767496
61676		9.542114	1.131373	2.079009	0.000716	0.001995	-0.000608	-0.694336	-0.116211	0.011475	-0.131337	-0.626642	0.032996	-0.767451
61677		9.557792	1.119991	2.030548	-0.000559	0.001045	-0.000719	-0.698730	-0.112061	0.011230	-0.131341	-0.626684	0.032993	-0.767417
61678		9.570713	1.122688	2.048547	-0.001159	0.004702	-0.000478	-0.694336	-0.114014	0.013428	-0.131329	-0.626697	0.033026	-0.767407
61679		9.566369	1.157993	2.042102	-0.004001	0.005621	0.000782	-0.696777	-0.109863	0.017578	-0.131337	-0.626701	0.033073	-0.767400
61680		9.562331	1.110566	2.053792	-0.011488	0.008161	0.002207	-0.692139	-0.116211	0.013428	-0.131368	-0.626700	0.033227	-0.767389
61681		9.558514	1.141679	2.031932	-0.004821	0.010093	0.001281	-0.692383	-0.111816	0.011230	-0.131394	-0.626658	0.033254	-0.767417
61682		9.538836	1.140017	2.005365	-0.012221	0.012609	0.004204	-0.694092	-0.118408	0.007080	-0.131438	-0.626565	0.033406	-0.767480
61683		9.555593	1.115705	2.043219	-0.010070	0.013525	0.003982	-0.694092	-0.122559	0.013916	-0.131502	-0.626447	0.033480	-0.767561
61684		9.559712	1.119226	2.092063	-0.007583	0.014209	0.004737	-0.691895	-0.122559	0.007324	-0.131549	-0.626386	0.033493	-0.767603
61685		9.556682	1.166780	2.073872	-0.000010	0.016713	0.003217	-0.696533	-0.114014	0.004639	-0.131569	-0.626252	0.033415	-0.767712
61686		9.572003	1.164249	2.038433	-0.002578	0.016184	0.005982	-0.696289	-0.116211	0.007080	-0.131537	-0.626096	0.033469	-0.767842
61687		9.564323	1.109932	2.099743	0.002122	0.018999	0.005988	-0.692139	-0.118408	0.009277	-0.131481	-0.625948	0.033446	-0.767974
61688		9.571417	1.119726	2.101776	0.000972	0.015412	0.006412	-0.696533	-0.114014	0.004639	-0.131447	-0.625846	0.033417	-0.768063
