// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.492957	-1.557654	-1.711392	0.006378	0.002776	0.011594	-0.584961	0.495117	0.334229	0.366880	-0.691695	-0.330389	-0.527068
61648		9.518277	-1.551165	-1.750922	0.011909	0.002168	0.009948	-0.584717	0.492676	0.327881	0.367057	-0.691667	-0.330372	-0.526992
61649		9.515230	-1.538823	-1.734036	0.011510	0.003275	0.006567	-0.583740	0.497803	0.318604	0.367216	-0.691615	-0.330377	-0.526946
61650		9.522978	-1.504557	-1.717453	0.013464	-0.000523	0.005063	-0.591064	0.495117	0.323486	0.367363	-0.691578	-0.330426	-0.526862
61651		9.545357	-1.500178	-1.713208	0.016328	-0.002766	0.006876	-0.587646	0.495361	0.315430	0.367533	-0.691548	-0.330490	-0.526741
61652		9.542585	-1.456186	-1.678101	0.002406	0.001030	0.005972	-0.582520	0.490234	0.318115	0.367588	-0.691552	-0.330458	-0.526718
61653		9.536449	-1.441245	-1.694713	-0.003454	-0.002327	0.006017	-0.591309	0.494385	0.319580	0.367572	-0.691597	-0.330410	-0.526700
61654		9.526575	-1.482445	-1.720368	-0.006341	-0.004496	0.006814	-0.582520	0.492676	0.322021	0.367515	-0.691666	-0.330357	-0.526683
61655		9.507781	-1.501547	-1.732775	-0.016126	-0.004333	0.010095	-0.580078	0.496826	0.321533	0.367385	-0.691789	-0.330220	-0.526698
61656		9.521849	-1.542170	-1.731633	-0.015593	-0.003581	0.012209	-0.574951	0.502441	0.321289	0.367268	-0.691913	-0.330072	-0.526709
61657		9.522473	-1.571314	-1.743459	-0.014625	-0.004194	0.007988	-0.582275	0.502930	0.310791	0.367127	-0.692020	-0.329972	-0.526730
61658		9.496486	-1.564075	-1.733348	-0.012721	-0.004834	0.006884	-0.581543	0.491699	0.316406	0.366994	-0.692119	-0.329901	-0.526737
61659		9.486351	-1.614181	-1.745263	-0.002068	-0.005953	0.007349	-0.571533	0.491943	0.307129	0.366949	-0.692186	-0.329894	-0.526685
61660		9.506960	-1.613356	-1.751113	0.004980	-0.003014	0.008128	-0.576172	0.499268	0.316162	0.367005	-0.692211	-0.329904	-0.526607
61661		9.501078	-1.567837	-1.748788	0.004669	-0.002895	0.006297	-0.583740	0.497314	0.311768	0.367039	-0.692238	-0.329921	-0.526537
61662		9.502445	-1.547801	-1.769204	0.005948	-0.003630	0.003909	-0.576904	0.500488	0.321533	0.367063	-0.692251	-0.329978	-0.526467
61663		9.515984	-1.537797	-1.723378	0.004944	-0.004529	0.001423	-0.578125	0.504395	0.309814	0.367047	-0.692283	-0.330045	-0.526394
61664		9.527678	-1.552748	-1.720397	0.000003	-0.005335	-0.002350	-0.580811	0.502441	0.319824	0.366979	-0.692308	-0.330126	-0.526357
61665		9.510833	-1.557361	-1.738001	0.000068	-0.004738	-0.000603	-0.575928	0.494873	0.321045	0.366903	-0.692346	-0.330185	-0.526324
61666		9.518988	-1.601808	-1.786527	0.001253	-0.005148	0.000219	-0.581787	0.493652	0.313965	0.366842	-0.692390	-0.330241	-0.526273
61667		9.485634	-1.615918	-1.743806	-0.002996	-0.004936	-0.002900	-0.580078	0.490967	0.317627	0.366734	-0.692427	-0.330310	-0.526257
61668		9.503939	-1.588984	-1.748157	-0.002260	-0.001743	-0.000298	-0.584961	0.505371	0.316162	0.366661	-0.692464	-0.330332	-0.526245
61669		9.503824	-1.597707	-1.734258	-0.003290	-0.001393	-0.000204	-0.578613	0.491699	0.318604	0.366599	-0.692500	-0.330336	-0.526238
61670		9.502054	-1.618945	-1.715054	-0.007139	-0.002282	0.000056	-0.583252	0.499268	0.323242	0.366495	-0.692570	-0.330312	-0.526235
61671		9.497305	-1.620623	-1.756889	0.000517	-0.002677	-0.002412	-0.574707	0.495605	0.320557	0.366433	-0.692608	-0.330343	-0.526207
61672		9.501614	-1.648643	-1.735621	0.007638	-0.003819	-0.006996	-0.578857	0.502197	0.326660	0.366428	-0.692607	-0.330454	-0.526143
61673		9.500616	-1.619863	-1.725763	0.010548	-0.003231	-0.007994	-0.576172	0.494385	0.322266	0.366431	-0.692611	-0.330565	-0.526066
61674		9.504039	-1.602021	-1.722654	0.020823	-0.004823	-0.011117	-0.582275	0.494629	0.313721	0.366509	-0.692543	-0.330796	-0.525957
61675		9.518278	-1.562405	-1.719754	0.025748	-0.007103	-0.014256	-0.582764	0.501953	0.317383	0.366634	-0.692401	-0.331121	-0.525851
61676		9.518613	-1.542120	-1.749374	0.027270	-0.008541	-0.016567	-0.575928	0.503418	0.328613	0.366752	-0.692276	-0.331456	-0.525722
61677		9.525289	-1.515306	-1.729240	0.013618	-0.007036	-0.017570	-0.574707	0.488037	0.317627	0.366703	-0.692274	-0.331669	-0.525625
61678		9.498128	-1.538385	-1.746826	0.001935	-0.006238	-0.013169	-0.587158	0.499023	0.312500	0.366583	-0.692257	-0.331835	-0.525626
