// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61648		9.324128	1.977669	-2.245013	0.013860	-0.001597	-0.040524	-0.584229	-0.583252	-0.056396	0.559119	0.479484	-0.620241	0.269782
61649		9.343719	1.996300	-2.202054	0.016147	0.001758	-0.037135	-0.580322	-0.576904	-0.062988	0.559161	0.479878	-0.619952	0.269658
61650		9.300770	2.041900	-2.309949	-0.012367	0.006012	-0.029939	-0.588379	-0.586182	-0.060791	0.559390	0.479996	-0.619771	0.269390
61651		9.309742	1.982601	-2.288642	-0.006161	0.004536	-0.024542	-0.583984	-0.582520	-0.066650	0.559543	0.480130	-0.619613	0.269195
61652		9.294866	2.005005	-2.286979	0.006313	0.004276	-0.023629	-0.575928	-0.587646	-0.064453	0.559614	0.480346	-0.619423	0.269100
61653		9.329170	2.065536	-2.233250	0.001671	0.008827	-0.021557	-0.587402	-0.581055	-0.069336	0.559738	0.480501	-0.619231	0.269009
61654		9.294409	2.075483	-2.202751	-0.020124	0.002761	-0.018947	-0.580811	-0.587646	-0.065430	0.559941	0.480508	-0.619165	0.268725
61655		9.319987	2.060132	-2.266703	-0.013479	-0.003012	-0.020331	-0.581299	-0.584229	-0.063477	0.560071	0.480594	-0.619103	0.268443
61656		9.344089	2.042616	-2.166094	-0.003769	0.004033	-0.020444	-0.571289	-0.575928	-0.062500	0.560198	0.480730	-0.618957	0.268270
61657		9.309044	1.974539	-2.193552	-0.026489	0.002299	-0.014510	-0.581787	-0.575439	-0.080078	0.560440	0.480662	-0.618927	0.267957
61658		9.317224	1.948590	-2.219931	-0.022957	-0.003095	-0.019009	-0.579102	-0.586670	-0.070068	0.560637	0.480661	-0.618895	0.267619
61659		9.359452	2.017991	-2.201890	0.000129	-0.001388	-0.022352	-0.572266	-0.588867	-0.083252	0.560713	0.480835	-0.618760	0.267459
61660		9.358885	1.994759	-2.186807	0.006086	0.001261	-0.024695	-0.575928	-0.581543	-0.067139	0.560790	0.481052	-0.618569	0.267351
61661		9.347969	2.015711	-2.207296	-0.006288	0.000632	-0.022486	-0.582520	-0.581543	-0.073730	0.560921	0.481158	-0.618443	0.267178
61662		9.318794	2.054548	-2.205850	-0.007347	-0.002720	-0.020335	-0.576416	-0.577881	-0.069336	0.561032	0.481237	-0.618357	0.267001
61663		9.316002	2.028985	-2.199790	0.005682	0.003317	-0.019511	-0.577637	-0.574219	-0.080322	0.561105	0.481388	-0.618187	0.266967
61664		9.305958	2.020059	-2.205228	0.008216	-0.000089	-0.020056	-0.580078	-0.580322	-0.068604	0.561153	0.481556	-0.618028	0.266930
