// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61648		5.459074	1.410200	7.959009	0.006212	-0.003940	-0.002118	-0.628418	-0.217285	-0.290527	-0.195985	-0.302974	-0.013804	-0.932527
61649		5.481402	1.413977	7.955532	0.004453	-0.004927	-0.003493	-0.630127	-0.213623	-0.297119	-0.196010	-0.303042	-0.013857	-0.932499
61650		5.448120	1.409146	7.924755	0.005626	-0.003907	-0.002937	-0.637695	-0.220215	-0.293945	-0.196020	-0.303094	-0.013920	-0.932479
61651		5.474115	1.401270	7.941741	0.007358	-0.003340	-0.002871	-0.634766	-0.218994	-0.302734	-0.196026	-0.303151	-0.014008	-0.932458
61652		5.453407	1.400596	7.943564	0.005891	-0.005972	-0.002210	-0.627686	-0.222656	-0.296875	-0.196030	-0.303236	-0.014070	-0.932428
61653		5.466628	1.400498	7.967282	0.006144	-0.006078	-0.004306	-0.638672	-0.216553	-0.300537	-0.196057	-0.303323	-0.014140	-0.932393
61654		5.467815	1.402236	7.966161	0.006144	-0.007162	-0.003221	-0.628662	-0.221191	-0.298584	-0.196071	-0.303422	-0.014202	-0.932357
61655		5.470528	1.403553	7.941138	0.005851	-0.006604	-0.004173	-0.628662	-0.218018	-0.293701	-0.196097	-0.303512	-0.014263	-0.932321
61656		5.469775	1.399922	7.956040	0.006172	-0.005655	-0.002995	-0.623535	-0.210449	-0.297607	-0.196106	-0.303594	-0.014323	-0.932292
61657		5.459923	1.420438	7.953950	0.006131	-0.007373	-0.003874	-0.628662	-0.210938	-0.308838	-0.196125	-0.303695	-0.014377	-0.932254
61658		5.465712	1.398511	7.933499	0.007332	-0.005930	-0.002010	-0.628418	-0.217285	-0.302734	-0.196117	-0.303780	-0.014442	-0.932227
61659		5.461599	1.418009	7.944037	0.004483	-0.003420	-0.003264	-0.623047	-0.221924	-0.311523	-0.196135	-0.303830	-0.014481	-0.932206
61660		5.461884	1.413863	7.935385	0.006173	-0.004571	-0.004078	-0.627197	-0.212646	-0.297363	-0.196158	-0.303893	-0.014541	-0.932180
61661		5.476702	1.419209	7.943292	0.005881	-0.005097	-0.003945	-0.629883	-0.216553	-0.305176	-0.196174	-0.303970	-0.014594	-0.932151
61662		5.469070	1.410610	7.938231	0.004777	-0.002894	-0.003395	-0.625244	-0.210938	-0.297607	-0.196189	-0.304015	-0.014635	-0.932132
61663		5.455829	1.413945	7.936885	0.003659	-0.001986	-0.002416	-0.627441	-0.209473	-0.310059	-0.196194	-0.304053	-0.014660	-0.932119
61664		5.455849	1.409472	7.928477	0.005364	-0.002925	-0.002576	-0.626953	-0.211182	-0.296387	-0.196191	-0.304088	-0.014692	-0.932107
61665		5.468949	1.414874	7.960506	0.005071	-0.003451	-0.002442	-0.628662	-0.219482	-0.295410	-0.196188	-0.304148	-0.014729	-0.932087
61666		5.484327	1.408170	7.928835	0.006776	-0.004390	-0.002602	-0.630859	-0.220703	-0.303467	-0.196190	-0.304224	-0.014792	-0.932061
61667		5.480595	1.387681	7.944203	0.004485	-0.003420	-0.003261	-0.627930	-0.223877	-0.298584	-0.196207	-0.304272	-0.014824	-0.932042
61668		5.468723	1.408173	7.966436	0.004206	-0.003735	-0.002473	-0.633545	-0.208008	-0.300537	-0.196225	-0.304332	-0.014853	-0.932018
61669		5.463269	1.410181	7.953424	0.003619	-0.003704	-0.003292	-0.626953	-0.220215	-0.296875	-0.196210	-0.304387	-0.014842	-0.932003
61670		5.477258	1.409320	7.953811	0.004232	-0.001144	-0.003336	-0.633057	-0.217529	-0.296875	-0.196234	-0.304412	-0.014878	-0.931989
61671		5.465885	1.423749	7.944624	0.004525	-0.000618	-0.003469	-0.624023	-0.217773	-0.298584	-0.196238	-0.304441	-0.014907	-0.931979
61672		5.475201	1.400909	7.961314	0.003366	-0.001428	-0.003367	-0.628906	-0.213135	-0.292969	-0.196269	-0.304454	-0.014930	-0.931967
61673		5.463501	1.409579	7.944187	0.005098	-0.000860	-0.003303	-0.628174	-0.219238	-0.297607	-0.196261	-0.304497	-0.014960	-0.931955
61674		5.470723	1.404063	7.924461	0.005685	-0.000891	-0.002484	-0.634033	-0.218750	-0.305664	-0.196267	-0.304518	-0.015007	-0.931946
61675		5.477143	1.410498	7.944498	0.005096	0.000223	-0.004389	-0.630371	-0.213379	-0.300293	-0.196279	-0.304499	-0.015036	-0.931949
61676		5.455529	1.409495	7.947057	0.003673	-0.000690	-0.002845	-0.625732	-0.211914	-0.288086	-0.196263	-0.304507	-0.015033	-0.931950
61677		5.475037	1.402127	7.952038	0.004499	-0.002124	-0.003690	-0.624023	-0.226562	-0.299561	-0.196258	-0.304592	-0.015061	-0.931923
61678		5.463938	1.416737	7.942613	0.005044	-0.002790	-0.004832	-0.637695	-0.214844	-0.306885	-0.196356	-0.304612	-0.015139	-0.931894
61679		5.470390	1.417454	7.954460	0.005087	-0.002154	-0.002870	-0.634521	-0.213135	-0.302979	-0.196309	-0.304611	-0.015130	-0.931904
61680		5.450884	1.421783	7.940834	0.003618	-0.001537	-0.005460	-0.635010	-0.206787	-0.300537	-0.196297	-0.304614	-0.015120	-0.931906
