// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.588607	-0.023214	0.998010	0.001098	0.007797	-0.002602	-0.720947	0.547119	0.213135	0.378549	-0.576901	-0.339812	-0.639073
23209		9.595160	-0.009424	1.015607	0.001550	0.004185	-0.003152	-0.718994	0.551514	0.208740	0.378553	-0.576847	-0.339827	-0.639111
23210		9.608816	-0.014313	0.997744	0.006649	0.002734	-0.003738	-0.718994	0.553467	0.212891	0.378590	-0.576776	-0.339892	-0.639119
23211		9.628587	-0.036980	1.015211	0.003959	0.002270	-0.003833	-0.712402	0.547119	0.217529	0.378635	-0.576700	-0.339937	-0.639137
23212		9.615768	-0.040428	1.013419	0.003416	0.006223	-0.004931	-0.716553	0.542969	0.213379	0.378647	-0.576613	-0.339970	-0.639191
23213		9.597008	-0.003906	1.041103	0.001968	0.005100	-0.004296	-0.716797	0.547119	0.215332	0.378651	-0.576544	-0.339990	-0.639240
23214		9.595193	-0.013776	1.034187	0.003135	0.003842	-0.005707	-0.718750	0.547119	0.215332	0.378647	-0.576470	-0.340034	-0.639285
23215		9.608869	-0.018318	1.016255	0.002408	0.002430	-0.004349	-0.714600	0.549316	0.215332	0.378644	-0.576413	-0.340069	-0.639320
23216		9.608697	-0.048649	1.001151	-0.000187	0.003326	-0.004881	-0.714600	0.547119	0.215332	0.378622	-0.576359	-0.340082	-0.639375
23217		9.602024	-0.029093	1.001729	0.003843	0.004494	-0.004486	-0.725098	0.544922	0.213135	0.378641	-0.576281	-0.340114	-0.639416
23218		9.593622	-0.020704	0.994630	0.004138	0.005932	-0.004203	-0.720703	0.540771	0.217773	0.378670	-0.576192	-0.340141	-0.639466
23219		9.607257	-0.034698	1.026464	0.002683	0.007453	-0.005155	-0.714355	0.542969	0.217773	0.378684	-0.576098	-0.340156	-0.639533
23220		9.623149	-0.006499	1.047056	0.002683	0.007453	-0.005154	-0.710205	0.545166	0.217773	0.378704	-0.576008	-0.340165	-0.639598
23221		9.594287	-0.005317	1.042636	0.000631	0.004395	-0.004590	-0.714355	0.545166	0.208984	0.378703	-0.575951	-0.340166	-0.639650
23222		9.604601	-0.032469	1.008925	-0.003000	0.003381	-0.003552	-0.712402	0.547119	0.213135	0.378689	-0.575908	-0.340134	-0.639713
23223		9.597382	-0.003176	0.995671	0.000646	0.003454	-0.005085	-0.714355	0.545166	0.211182	0.378690	-0.575853	-0.340140	-0.639760
23224		9.592313	-0.013546	1.037386	0.002059	0.004758	-0.002644	-0.716553	0.540771	0.213379	0.378722	-0.575789	-0.340139	-0.639799
23225		9.607068	-0.038017	1.047191	0.002418	0.004131	-0.006426	-0.716797	0.549316	0.213135	0.378711	-0.575708	-0.340173	-0.639860
23226		9.599813	-0.039823	1.017991	-0.000787	0.001389	-0.004947	-0.714600	0.547119	0.213135	0.378704	-0.575674	-0.340172	-0.639895
23227		9.598734	0.003318	1.055640	0.000874	0.001648	-0.005358	-0.710205	0.547363	0.217529	0.378706	-0.575635	-0.340184	-0.639923
23228		9.615809	-0.010403	1.037312	-0.000559	-0.000417	-0.005222	-0.720703	0.542969	0.215576	0.378680	-0.575636	-0.340189	-0.639935
23229		9.594228	-0.027914	0.996900	0.002124	0.002693	-0.006707	-0.714355	0.540771	0.211182	0.378660	-0.575562	-0.340225	-0.639993
23230		9.588077	-0.017982	1.011106	0.002293	0.004654	-0.004998	-0.718994	0.549316	0.210938	0.378671	-0.575482	-0.340239	-0.640052
23231		9.585777	0.004233	1.055122	0.003139	0.003842	-0.005699	-0.720947	0.545166	0.215576	0.378714	-0.575400	-0.340265	-0.640086
23232		9.609404	-0.027663	1.037874	0.001801	0.003137	-0.005996	-0.718750	0.542969	0.208984	0.378703	-0.575336	-0.340293	-0.640136
23233		9.598287	-0.010526	0.994998	0.002183	0.004235	-0.004067	-0.716797	0.549316	0.219727	0.378734	-0.575243	-0.340305	-0.640194
23234		9.624682	-0.010553	0.980204	0.005198	0.004258	-0.004675	-0.716553	0.547119	0.213135	0.378767	-0.575207	-0.340333	-0.640192
23235		9.611315	-0.044670	0.997864	0.002728	0.004626	-0.006634	-0.714844	0.553467	0.215088	0.378784	-0.575142	-0.340362	-0.640225
23236		9.590724	-0.050535	1.002025	0.002454	0.009257	-0.004872	-0.718750	0.547119	0.217529	0.378868	-0.575080	-0.340338	-0.640244
23237		9.606488	0.009230	1.038641	0.001963	0.007740	-0.005870	-0.714355	0.542969	0.217773	0.378874	-0.575031	-0.340339	-0.640284
23238		9.612406	0.002145	1.026875	0.002604	0.005149	-0.005207	-0.716553	0.545166	0.211182	0.378850	-0.575012	-0.340354	-0.640307
23239		9.613961	-0.026242	1.068670	0.003996	0.000388	-0.004811	-0.716553	0.547119	0.213135	0.378872	-0.574976	-0.340403	-0.640301
23240		9.613987	-0.015918	1.019963	-0.004432	0.001310	-0.003417	-0.716553	0.545166	0.217773	0.378854	-0.574993	-0.340360	-0.640318
23241		9.600726	-0.041238	0.988281	0.001155	0.004026	-0.004575	-0.716553	0.547119	0.213135	0.378830	-0.574994	-0.340360	-0.640332
23242		9.611603	-0.015183	1.000230	-0.000641	0.006930	-0.004324	-0.716553	0.545166	0.213379	0.378858	-0.574952	-0.340327	-0.640371
23243		9.608655	-0.014599	1.015386	0.004361	0.006770	-0.006047	-0.716797	0.547119	0.215332	0.378887	-0.574881	-0.340354	-0.640402
23244		9.609066	-0.022943	1.030345	0.004496	0.003605	-0.005888	-0.714600	0.545166	0.219971	0.378906	-0.574861	-0.340388	-0.640392
23245		9.611745	-0.020765	1.017817	0.004480	0.004546	-0.005392	-0.716553	0.542969	0.215576	0.378880	-0.574889	-0.340408	-0.640371
23246		9.603872	-0.022113	1.024483	0.002897	0.006587	-0.004920	-0.723145	0.544922	0.217773	0.378866	-0.574854	-0.340420	-0.640404
23247		9.617483	0.004895	1.023118	0.002391	0.006011	-0.005423	-0.718994	0.549316	0.217529	0.378818	-0.574824	-0.340446	-0.640445
23248		9.585471	-0.047572	0.986984	0.002503	0.006429	-0.006351	-0.720947	0.549316	0.217529	0.378822	-0.574818	-0.340441	-0.640452
23249		9.623168	-0.009927	1.061870	0.004038	0.007214	-0.005334	-0.716797	0.547119	0.217529	0.378842	-0.574798	-0.340443	-0.640456
