// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.699452	0.783048	-1.082172	-0.003636	-0.000670	0.000363	-0.770264	-0.220703	0.523682	-0.148680	-0.737416	0.107139	-0.650102
23209		9.727758	0.791825	-1.091250	0.004352	-0.002895	-0.001721	-0.762695	-0.217529	0.532227	-0.148650	-0.737450	0.107093	-0.650078
23210		9.711818	0.822359	-1.069860	0.010364	-0.000710	-0.005939	-0.764893	-0.215332	0.529785	-0.148521	-0.737506	0.106972	-0.650064
23211		9.693870	0.858124	-1.060678	0.006551	0.001310	-0.003280	-0.765625	-0.214844	0.528809	-0.148403	-0.737527	0.106904	-0.650079
23212		9.703407	0.858945	-1.062409	0.002586	-0.001611	-0.005400	-0.760742	-0.222656	0.528076	-0.148341	-0.737566	0.106849	-0.650058
23213		9.700321	0.822098	-1.077626	0.003907	-0.000322	-0.009319	-0.758545	-0.218750	0.528564	-0.148407	-0.737584	0.106718	-0.650044
23214		9.723522	0.813720	-1.055372	0.002601	0.001472	-0.007523	-0.761230	-0.216553	0.530762	-0.148428	-0.737591	0.106617	-0.650048
23215		9.707097	0.839054	-1.095865	-0.000296	-0.002685	-0.001735	-0.758789	-0.220947	0.528564	-0.148392	-0.737621	0.106605	-0.650023
23216		9.695398	0.828406	-1.046145	0.006035	0.000213	-0.002407	-0.760986	-0.213135	0.525391	-0.148371	-0.737633	0.106512	-0.650030
23217		9.715517	0.842390	-1.044321	0.000859	0.000779	-0.009393	-0.761475	-0.213623	0.523926	-0.148389	-0.737640	0.106406	-0.650035
23218		9.691385	0.863837	-1.070658	0.001716	-0.002984	-0.008818	-0.765869	-0.219727	0.528809	-0.148408	-0.737674	0.106294	-0.650011
23219		9.711139	0.825762	-1.067563	-0.001002	0.000365	-0.006411	-0.762451	-0.213379	0.529297	-0.148490	-0.737690	0.106197	-0.649989
23220		9.710063	0.814763	-1.072216	0.002532	0.002345	-0.009017	-0.760498	-0.215332	0.533447	-0.148501	-0.737699	0.106053	-0.650001
23221		9.713507	0.815141	-1.050514	0.001205	-0.000486	-0.004037	-0.759033	-0.216553	0.528809	-0.148488	-0.737742	0.105961	-0.649970
23222		9.700451	0.869421	-1.072798	0.004853	-0.004870	-0.000466	-0.764404	-0.217773	0.522705	-0.148438	-0.737788	0.105878	-0.649943
23223		9.715024	0.872550	-1.044738	-0.001882	-0.000495	-0.003798	-0.769775	-0.209961	0.524658	-0.148523	-0.737750	0.105805	-0.649978
23224		9.703824	0.869998	-1.051526	-0.013165	0.002778	-0.004903	-0.758057	-0.224121	0.528564	-0.148645	-0.737667	0.105807	-0.650044
23225		9.697518	0.803102	-1.084804	-0.011185	-0.001627	-0.002768	-0.760010	-0.213867	0.518555	-0.148864	-0.737672	0.105791	-0.649991
23226		9.703806	0.744036	-1.102460	0.000996	0.000586	-0.007460	-0.757080	-0.223145	0.531006	-0.148926	-0.737622	0.105649	-0.650057
23227		9.712816	0.754236	-1.107611	0.008587	0.002645	-0.004643	-0.765625	-0.216309	0.530762	-0.148943	-0.737655	0.105473	-0.650043
23228		9.700641	0.835452	-1.066356	0.012764	-0.005696	0.001987	-0.762939	-0.222412	0.524170	-0.148777	-0.737730	0.105356	-0.650016
23229		9.714926	0.899043	-1.044230	0.003588	-0.001971	0.001013	-0.758545	-0.216553	0.525635	-0.148800	-0.737727	0.105294	-0.650023
23230		9.706354	0.882035	-1.034704	-0.003499	0.003671	-0.007671	-0.764648	-0.225098	0.527832	-0.148900	-0.737692	0.105190	-0.650058
23231		9.674215	0.823567	-1.044830	-0.004265	0.004587	-0.004940	-0.763672	-0.224121	0.530029	-0.149088	-0.737642	0.105106	-0.650085
23232		9.699145	0.803586	-1.071848	0.004359	-0.001345	-0.002779	-0.755859	-0.217529	0.532227	-0.149148	-0.737666	0.104988	-0.650063
23233		9.721367	0.811545	-1.057509	0.007740	0.001351	-0.001283	-0.760742	-0.216309	0.518555	-0.149068	-0.737707	0.104860	-0.650055
23234		9.722138	0.854954	-1.055356	0.002682	-0.000855	0.001815	-0.768066	-0.218750	0.521484	-0.149032	-0.737645	0.104803	-0.650142
23235		9.695067	0.880991	-1.041018	0.002252	-0.001799	-0.002908	-0.761719	-0.223389	0.533691	-0.149070	-0.737594	0.104708	-0.650208
23236		9.670905	0.848507	-1.064912	-0.001031	0.005939	-0.004312	-0.763916	-0.218506	0.522461	-0.149183	-0.737580	0.104614	-0.650212
23237		9.697513	0.801964	-1.080187	-0.000030	-0.001618	-0.005714	-0.762451	-0.208252	0.532471	-0.149252	-0.737548	0.104506	-0.650250
23238		9.728910	0.788736	-1.068782	0.002798	-0.001131	-0.003032	-0.764160	-0.224365	0.527588	-0.149081	-0.737588	0.104392	-0.650262
23239		9.729400	0.780424	-1.065108	0.002365	-0.000020	-0.002789	-0.765137	-0.220215	0.528320	-0.149172	-0.737580	0.104309	-0.650264
23240		9.711753	0.837927	-1.054564	-0.001804	0.001717	-0.004425	-0.754883	-0.214600	0.523193	-0.149243	-0.737551	0.104246	-0.650291
23241		9.699053	0.831152	-1.070563	0.003271	-0.001134	-0.003590	-0.761963	-0.214111	0.521973	-0.149183	-0.737563	0.104143	-0.650307
23242		9.697479	0.827957	-1.079556	-0.000722	-0.000032	-0.002551	-0.758301	-0.213135	0.530029	-0.149151	-0.737513	0.104087	-0.650380
23243		9.710420	0.775181	-1.057985	0.002115	-0.000056	-0.005897	-0.760498	-0.208984	0.531738	-0.149062	-0.737562	0.103963	-0.650365
23244		9.708615	0.803410	-1.069515	0.006294	0.001292	-0.006383	-0.762939	-0.216553	0.526123	-0.148850	-0.737609	0.103795	-0.650387
23245		9.711315	0.843054	-1.054510	0.009049	0.001110	-0.004134	-0.764160	-0.218994	0.525146	-0.148765	-0.737597	0.103657	-0.650442
23246		9.727841	0.857968	-1.074423	0.005634	-0.001152	-0.006376	-0.766846	-0.211670	0.524170	-0.148778	-0.737584	0.103539	-0.650472
23247		9.704451	0.853445	-1.035230	-0.002855	0.003030	-0.005552	-0.766846	-0.217529	0.520996	-0.148735	-0.737495	0.103486	-0.650591
23248		9.689967	0.821140	-1.060524	-0.005838	0.001710	-0.003073	-0.759521	-0.223877	0.529541	-0.148834	-0.737378	0.103503	-0.650699
23249		9.695981	0.823344	-1.083365	-0.000972	-0.000067	-0.005658	-0.754150	-0.217285	0.521484	-0.148972	-0.737421	0.103427	-0.650631
23250		9.701127	0.796959	-1.050181	0.000991	0.000590	-0.007455	-0.762939	-0.222168	0.533691	-0.149029	-0.737422	0.103323	-0.650633
23251		9.701017	0.798656	-1.049914	0.000084	0.001704	-0.006654	-0.763916	-0.221191	0.521729	-0.149093	-0.737473	0.103220	-0.650577
23252		9.709142	0.848499	-1.062120	0.005231	-0.002015	-0.004322	-0.758789	-0.220215	0.531250	-0.149147	-0.737428	0.103147	-0.650627
23253		9.720698	0.844743	-1.051260	0.000990	0.000591	-0.007453	-0.749268	-0.224609	0.522217	-0.149184	-0.737497	0.103031	-0.650559
23254		9.706901	0.840887	-1.013466	-0.005322	0.002304	-0.009968	-0.758057	-0.217529	0.524414	-0.149476	-0.737512	0.102961	-0.650486
23255		9.695788	0.824690	-1.078556	-0.008777	0.000985	-0.006932	-0.757080	-0.217773	0.515381	-0.149573	-0.737487	0.102943	-0.650494
23256		9.689617	0.758693	-1.112127	-0.000898	-0.001443	-0.010185	-0.769287	-0.222900	0.526611	-0.149688	-0.737407	0.102864	-0.650572
23257		9.712865	0.750537	-1.089919	0.003168	0.001724	-0.006888	-0.765869	-0.213135	0.526367	-0.149757	-0.737340	0.102779	-0.650644
23258		9.729246	0.832482	-1.053358	0.005299	-0.004425	-0.001766	-0.763916	-0.218262	0.524170	-0.149517	-0.737354	0.102710	-0.650695
23259		9.711954	0.880410	-1.040113	0.002323	-0.002664	-0.001411	-0.769287	-0.224609	0.523682	-0.149457	-0.737332	0.102686	-0.650737
23260		9.710087	0.855564	-1.049989	-0.003914	0.002803	-0.005614	-0.765625	-0.233398	0.520996	-0.149653	-0.737207	0.102690	-0.650834
23261		9.676063	0.854915	-1.074720	-0.002675	0.003434	-0.009957	-0.761963	-0.216797	0.526123	-0.150116	-0.737077	0.102671	-0.650877
23262		9.683168	0.840218	-1.089831	-0.001701	-0.001636	-0.007142	-0.767578	-0.222412	0.525635	-0.150066	-0.737097	0.102598	-0.650877
23263		9.727166	0.835053	-1.062573	0.006827	-0.002652	-0.003318	-0.760742	-0.218018	0.523682	-0.150042	-0.737081	0.102522	-0.650914
23264		9.731538	0.847326	-1.036332	0.005085	0.001786	-0.002346	-0.759766	-0.221680	0.529541	-0.149945	-0.737061	0.102443	-0.650972
