// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.642955	1.488374	0.810330	-0.000825	-0.000136	-0.009415	-0.801270	-0.295410	0.474121	-0.173646	-0.674755	0.057646	-0.715003
23209		9.665864	1.545671	0.791515	-0.000930	0.003271	-0.011997	-0.795166	-0.294434	0.478760	-0.173763	-0.674732	0.057546	-0.715004
23210		9.639224	1.544863	0.799598	0.002985	-0.002273	-0.009643	-0.795166	-0.291016	0.475098	-0.173800	-0.674777	0.057445	-0.714961
23211		9.660954	1.499781	0.779454	0.005098	-0.000574	-0.011176	-0.797119	-0.291260	0.477295	-0.173808	-0.674810	0.057315	-0.714939
23212		9.647594	1.585332	0.796187	0.003930	-0.001105	-0.009571	-0.788818	-0.299072	0.476074	-0.173801	-0.674848	0.057211	-0.714913
23213		9.657916	1.543830	0.788254	0.003626	0.000959	-0.009329	-0.784668	-0.293945	0.477051	-0.173919	-0.674848	0.057078	-0.714895
23214		9.645706	1.487626	0.795603	0.001308	-0.000417	-0.009797	-0.793213	-0.292725	0.478027	-0.174003	-0.674868	0.056972	-0.714864
23215		9.667803	1.537384	0.818222	0.000507	0.000629	-0.011571	-0.788330	-0.300537	0.474609	-0.174071	-0.674886	0.056866	-0.714839
23216		9.666128	1.564295	0.777353	0.001718	0.002028	-0.009214	-0.790527	-0.290283	0.472900	-0.174218	-0.674872	0.056742	-0.714826
23217		9.645968	1.574759	0.787952	0.000866	0.000857	-0.006445	-0.792725	-0.289062	0.473877	-0.174237	-0.674884	0.056667	-0.714816
23218		9.649021	1.502759	0.790778	-0.000505	0.000647	-0.006842	-0.795898	-0.294434	0.474121	-0.174257	-0.674907	0.056593	-0.714795
23219		9.651063	1.549858	0.795418	-0.002306	0.006222	-0.005904	-0.793457	-0.291992	0.477295	-0.174335	-0.674878	0.056524	-0.714809
23220		9.639349	1.522647	0.771007	-0.003082	0.005289	-0.006528	-0.791260	-0.286133	0.480469	-0.174397	-0.674871	0.056457	-0.714806
23221		9.665417	1.485822	0.817819	-0.001961	0.001865	-0.008673	-0.786133	-0.292969	0.474365	-0.174399	-0.674916	0.056378	-0.714769
23222		9.643206	1.565492	0.804889	-0.005070	0.002956	-0.009510	-0.791992	-0.292725	0.470215	-0.174535	-0.674898	0.056309	-0.714759
