// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.466633	-1.532796	-1.965957	0.011196	-0.002861	-0.010465	-0.819092	0.278076	-0.283936	0.629902	-0.187712	-0.751778	-0.053077
23209		9.466034	-1.552615	-1.988236	0.009574	-0.003246	-0.009771	-0.811279	0.280029	-0.278809	0.629887	-0.187547	-0.751833	-0.053056
23210		9.469741	-1.545489	-1.976146	0.005511	-0.002568	-0.012902	-0.812256	0.281738	-0.280273	0.629865	-0.187390	-0.751888	-0.053098
23211		9.485353	-1.530270	-1.954961	0.008089	-0.001301	-0.009131	-0.812256	0.279785	-0.280518	0.629865	-0.187242	-0.751925	-0.053090
23212		9.479299	-1.518666	-1.934040	0.010452	-0.000676	-0.008514	-0.809814	0.272949	-0.279541	0.629878	-0.187081	-0.751957	-0.053057
23213		9.460714	-1.502779	-1.965013	0.010404	-0.002264	-0.007683	-0.802979	0.278809	-0.279785	0.629880	-0.186927	-0.751997	-0.053015
23214		9.450661	-1.515636	-2.002860	0.004672	-0.003559	-0.009295	-0.812744	0.279541	-0.277832	0.629854	-0.186802	-0.752048	-0.053039
23215		9.470018	-1.525900	-1.996378	0.002660	-0.003644	-0.010058	-0.806396	0.275635	-0.283203	0.629817	-0.186687	-0.752104	-0.053088
23216		9.489187	-1.570571	-1.968907	0.002132	-0.003243	-0.008210	-0.808105	0.283203	-0.282227	0.629780	-0.186594	-0.752155	-0.053127
23217		9.449604	-1.569784	-1.957945	0.007346	-0.001548	-0.010430	-0.809814	0.284424	-0.281738	0.629772	-0.186445	-0.752199	-0.053130
23218		9.452227	-1.552703	-1.965054	0.014384	-0.006113	-0.008565	-0.814209	0.278320	-0.284668	0.629740	-0.186268	-0.752276	-0.053033
23219		9.475123	-1.524464	-1.966801	0.010100	-0.001222	-0.008357	-0.813477	0.284180	-0.281738	0.629746	-0.186126	-0.752310	-0.052981
23220		9.468303	-1.500559	-1.989125	0.004427	-0.002568	-0.005939	-0.810303	0.284424	-0.277344	0.629728	-0.186056	-0.752344	-0.052958
23221		9.475573	-1.487211	-1.988597	0.001126	-0.003291	-0.008586	-0.805420	0.280518	-0.281006	0.629687	-0.185986	-0.752393	-0.052989
23222		9.483937	-1.550526	-1.950818	0.003207	-0.003258	-0.009471	-0.811035	0.277832	-0.285645	0.629652	-0.185880	-0.752447	-0.053016
23223		9.455707	-1.561313	-1.976881	0.002024	-0.002356	-0.008156	-0.817383	0.284668	-0.284912	0.629633	-0.185795	-0.752482	-0.053042
23224		9.466834	-1.540668	-1.987409	0.003339	-0.000929	-0.009526	-0.807129	0.271729	-0.277344	0.629626	-0.185707	-0.752509	-0.053055
23225		9.482399	-1.525596	-1.966204	0.001259	-0.000963	-0.008640	-0.809326	0.285889	-0.289551	0.629604	-0.185619	-0.752547	-0.053085
23226		9.495228	-1.493879	-1.935856	0.000599	-0.002891	-0.006737	-0.803955	0.275391	-0.278564	0.629592	-0.185589	-0.752564	-0.053092
23227		9.475637	-1.533785	-1.968324	0.006293	-0.003182	-0.009970	-0.814209	0.281250	-0.278809	0.629573	-0.185448	-0.752614	-0.053085
23228		9.475863	-1.531587	-1.968951	0.011942	-0.005060	-0.012372	-0.811279	0.275391	-0.281982	0.629541	-0.185270	-0.752689	-0.053030
23229		9.465575	-1.545871	-1.983198	0.001545	-0.002807	-0.010377	-0.805664	0.279541	-0.283203	0.629520	-0.185165	-0.752730	-0.053068
23230		9.454995	-1.562486	-1.973349	-0.002552	-0.000493	-0.007014	-0.808594	0.275146	-0.279785	0.629524	-0.185145	-0.752728	-0.053111
23231		9.451324	-1.534995	-1.959474	0.007521	-0.002502	-0.012109	-0.811768	0.272461	-0.279053	0.629512	-0.184986	-0.752779	-0.053095
23232		9.468552	-1.525536	-1.967189	0.011618	-0.004817	-0.015467	-0.804199	0.280518	-0.280029	0.629478	-0.184751	-0.752867	-0.053064
23233		9.460974	-1.556313	-1.990981	0.003845	-0.004564	-0.011347	-0.806396	0.283203	-0.289307	0.629451	-0.184670	-0.752910	-0.053056
23234		9.472370	-1.567102	-2.004758	-0.000050	-0.002413	-0.012931	-0.816650	0.279785	-0.288330	0.629478	-0.184617	-0.752897	-0.053096
23235		9.461120	-1.554487	-1.944422	0.002269	-0.000941	-0.013918	-0.809326	0.272217	-0.276123	0.629498	-0.184523	-0.752902	-0.053132
23236		9.466517	-1.553438	-1.960784	0.012576	-0.003919	-0.011009	-0.811279	0.277588	-0.286377	0.629457	-0.184327	-0.752990	-0.053045
23237		9.449903	-1.489613	-1.995782	0.017606	-0.001271	-0.011531	-0.808838	0.285889	-0.276855	0.629518	-0.184125	-0.752998	-0.052912
23238		9.465715	-1.472487	-1.998425	0.004018	-0.003079	-0.009795	-0.813965	0.274658	-0.277832	0.629471	-0.184138	-0.753037	-0.052862
23239		9.482917	-1.497473	-1.985090	-0.003247	-0.001610	-0.012375	-0.814697	0.272949	-0.280273	0.629407	-0.184068	-0.753102	-0.052947
23240		9.478281	-1.527353	-1.948480	-0.000927	-0.002561	-0.010929	-0.803467	0.283936	-0.287109	0.629355	-0.183970	-0.753164	-0.053009
23241		9.472398	-1.547584	-1.931365	0.005948	-0.006157	-0.007367	-0.809570	0.280518	-0.287842	0.629381	-0.183973	-0.753148	-0.052936
23242		9.454158	-1.561942	-1.989758	0.010846	-0.003413	-0.010264	-0.806641	0.282471	-0.277588	0.629436	-0.183874	-0.753131	-0.052861
23243		9.467041	-1.529831	-1.958989	0.005541	0.001424	-0.010450	-0.808105	0.286133	-0.280518	0.629441	-0.183851	-0.753136	-0.052817
23244		9.473049	-1.507652	-1.953339	0.005530	-0.004224	-0.007999	-0.810791	0.281738	-0.282959	0.629418	-0.183910	-0.753146	-0.052739
23245		9.474935	-1.546652	-1.961336	0.009577	-0.003258	-0.009720	-0.814209	0.275146	-0.283936	0.629429	-0.183861	-0.753154	-0.052665
23246		9.474058	-1.534347	-1.980947	0.010498	-0.003960	-0.010107	-0.814941	0.282227	-0.286377	0.629434	-0.183712	-0.753190	-0.052611
23247		9.458681	-1.513244	-1.999947	0.008723	-0.002617	-0.010974	-0.813477	0.278564	-0.286133	0.629469	-0.183679	-0.753172	-0.052569
23248		9.468122	-1.520449	-1.961067	0.000603	-0.002910	-0.006715	-0.808105	0.273438	-0.279541	0.629485	-0.183698	-0.753153	-0.052580
23249		9.480048	-1.510896	-1.952711	0.000509	-0.001212	-0.004255	-0.804688	0.281250	-0.286621	0.629467	-0.183645	-0.753182	-0.052559
23250		9.479116	-1.499034	-1.972164	0.006380	-0.002450	-0.009168	-0.811035	0.273682	-0.279297	0.629542	-0.183638	-0.753125	-0.052508
23251		9.453605	-1.527085	-2.007616	0.008446	-0.005640	-0.010031	-0.812012	0.273438	-0.289062	0.629481	-0.183475	-0.753219	-0.052456
23252		9.460674	-1.549877	-1.962304	0.006161	-0.003084	-0.006645	-0.807373	0.276367	-0.279297	0.629554	-0.183370	-0.753185	-0.052441
23253		9.487431	-1.547057	-1.978115	0.002476	-0.000283	-0.005092	-0.800293	0.272217	-0.286377	0.629544	-0.183356	-0.753200	-0.052394
23254		9.476032	-1.500182	-1.962395	0.004752	-0.000393	-0.005249	-0.807373	0.281738	-0.282715	0.629660	-0.183252	-0.753132	-0.052343
23255		9.458570	-1.493356	-1.997944	0.007443	-0.000017	-0.007201	-0.807617	0.280273	-0.291504	0.629703	-0.183291	-0.753092	-0.052254
23256		9.465524	-1.482262	-1.973215	0.010827	-0.004198	-0.006998	-0.819580	0.273682	-0.283447	0.629829	-0.183285	-0.752995	-0.052161
23257		9.482929	-1.506338	-1.983635	0.001563	-0.002033	-0.007929	-0.814453	0.283936	-0.282227	0.629789	-0.183202	-0.753045	-0.052210
23258		9.466466	-1.545815	-1.955569	-0.002774	-0.001154	-0.004476	-0.812500	0.278076	-0.282959	0.629754	-0.183384	-0.753030	-0.052201
23259		9.477974	-1.556007	-1.992994	0.001525	-0.003617	-0.007095	-0.816162	0.274414	-0.284668	0.629726	-0.183397	-0.753051	-0.052194
23260		9.452928	-1.564204	-1.982693	0.002899	-0.002249	-0.010109	-0.812988	0.266113	-0.285400	0.629720	-0.183301	-0.753077	-0.052238
23261		9.459966	-1.552492	-1.958078	0.008937	-0.001961	-0.007821	-0.808838	0.281494	-0.281006	0.629759	-0.183017	-0.753114	-0.052236
