// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.677288	-0.144934	-1.396118	0.004479	0.003428	-0.007568	-0.770508	0.287109	-0.377686	0.632525	-0.205919	-0.727328	-0.168831
23209		9.691557	-0.141097	-1.420849	0.004196	0.003286	-0.006092	-0.763428	0.289062	-0.375000	0.632553	-0.205824	-0.727326	-0.168850
23210		9.680133	-0.168160	-1.403009	0.007460	0.002402	-0.007581	-0.765381	0.289795	-0.374268	0.632579	-0.205696	-0.727341	-0.168846
23211		9.700277	-0.122141	-1.354045	0.005308	-0.000911	-0.006131	-0.765381	0.293701	-0.374023	0.632571	-0.205601	-0.727375	-0.168843
23212		9.691112	-0.162382	-1.363016	0.004667	0.000047	-0.007835	-0.759033	0.285889	-0.375244	0.632569	-0.205492	-0.727403	-0.168864
23213		9.670214	-0.119273	-1.408236	0.003580	-0.001392	-0.006074	-0.756104	0.290283	-0.377686	0.632558	-0.205411	-0.727432	-0.168876
23214		9.674530	-0.133591	-1.403876	0.005638	-0.001604	-0.006315	-0.760498	0.289551	-0.372559	0.632548	-0.205311	-0.727470	-0.168872
23215		9.702643	-0.129728	-1.380604	0.003980	0.001874	-0.005397	-0.755615	0.286133	-0.379150	0.632565	-0.205225	-0.727476	-0.168885
23216		9.683322	-0.162302	-1.394140	0.001732	0.000236	-0.006530	-0.759521	0.295654	-0.378418	0.632562	-0.205148	-0.727491	-0.168925
23217		9.684636	-0.173971	-1.398442	0.004442	-0.001149	-0.006103	-0.758545	0.294922	-0.378906	0.632556	-0.205061	-0.727521	-0.168929
23218		9.673325	-0.164281	-1.381816	0.007063	-0.001073	-0.009298	-0.764648	0.286865	-0.378174	0.632551	-0.204929	-0.727562	-0.168928
23219		9.689218	-0.149444	-1.394325	0.006399	0.000319	-0.008931	-0.761719	0.292236	-0.377441	0.632560	-0.204805	-0.727589	-0.168931
23220		9.677895	-0.090187	-1.395293	0.003195	0.000145	-0.007184	-0.760498	0.295166	-0.369873	0.632564	-0.204727	-0.727604	-0.168944
23221		9.691027	-0.135473	-1.381099	0.000274	0.000114	-0.006914	-0.755859	0.289551	-0.378418	0.632554	-0.204672	-0.727618	-0.168989
23222		9.701279	-0.141930	-1.376203	0.000313	-0.000507	-0.004585	-0.762207	0.289795	-0.380127	0.632553	-0.204630	-0.727624	-0.169016
23223		9.690631	-0.156471	-1.398499	0.002321	0.000121	-0.006120	-0.767090	0.294678	-0.379639	0.632565	-0.204558	-0.727629	-0.169037
23224		9.677336	-0.144650	-1.412488	0.002984	-0.001268	-0.006487	-0.757812	0.283447	-0.376221	0.632563	-0.204493	-0.727647	-0.169044
23225		9.687160	-0.140053	-1.351065	0.003254	-0.000907	-0.006928	-0.758057	0.293213	-0.382812	0.632555	-0.204404	-0.727676	-0.169057
23226		9.678141	-0.143960	-1.361040	0.002094	-0.006093	-0.004989	-0.756104	0.284912	-0.375244	0.632527	-0.204370	-0.727713	-0.169043
23227		9.689125	-0.138144	-1.396137	0.004616	0.000925	-0.003695	-0.762939	0.288818	-0.374023	0.632558	-0.204297	-0.727712	-0.169022
23228		9.693296	-0.140077	-1.408806	0.003161	0.000800	-0.004077	-0.758057	0.286133	-0.382568	0.632574	-0.204248	-0.727714	-0.169012
23229		9.694955	-0.165049	-1.394989	0.002777	0.002334	-0.005188	-0.756348	0.292969	-0.377686	0.632627	-0.204168	-0.727689	-0.169018
23230		9.688073	-0.171235	-1.373250	0.003855	-0.001239	-0.007553	-0.761230	0.285156	-0.376953	0.632634	-0.204109	-0.727702	-0.169008
23231		9.673174	-0.133225	-1.400685	0.005248	-0.000057	-0.007428	-0.761475	0.282471	-0.372314	0.632646	-0.204004	-0.727723	-0.168997
23232		9.667983	-0.128900	-1.366065	0.006753	-0.000769	-0.005752	-0.754395	0.290527	-0.374512	0.632634	-0.203897	-0.727772	-0.168963
23233		9.688851	-0.154448	-1.413333	0.004548	-0.003032	-0.004554	-0.760010	0.292236	-0.384277	0.632627	-0.203868	-0.727796	-0.168919
23234		9.691893	-0.155669	-1.404694	0.006378	0.000549	-0.007899	-0.766113	0.292725	-0.382324	0.632687	-0.203778	-0.727776	-0.168888
23235		9.707178	-0.166386	-1.360538	0.003735	-0.004358	-0.009706	-0.762451	0.283203	-0.373047	0.632669	-0.203716	-0.727810	-0.168885
23236		9.679066	-0.166934	-1.384188	0.005201	0.000569	-0.009760	-0.762939	0.289551	-0.381836	0.632650	-0.203583	-0.727861	-0.168896
23237		9.670297	-0.133383	-1.393559	0.007267	0.000147	-0.011039	-0.760010	0.296387	-0.373291	0.632688	-0.203456	-0.727867	-0.168882
23238		9.691939	-0.110627	-1.406203	0.005438	-0.003433	-0.007693	-0.764648	0.284668	-0.377197	0.632652	-0.203470	-0.727905	-0.168835
23239		9.703823	-0.106384	-1.388930	0.006883	-0.003088	-0.006275	-0.763428	0.284912	-0.374512	0.632626	-0.203361	-0.727968	-0.168795
23240		9.691031	-0.120307	-1.367942	-0.001460	-0.000372	-0.006858	-0.753174	0.293945	-0.380615	0.632586	-0.203315	-0.728004	-0.168845
23241		9.681702	-0.184150	-1.394126	0.000327	-0.000938	-0.006659	-0.759277	0.291992	-0.379883	0.632635	-0.203336	-0.727954	-0.168851
23242		9.688964	-0.151174	-1.398632	0.000004	-0.000460	-0.007513	-0.756348	0.294922	-0.372314	0.632658	-0.203339	-0.727928	-0.168874
23243		9.678770	-0.141565	-1.403253	0.005050	0.003120	-0.008207	-0.758301	0.298096	-0.372559	0.632675	-0.203355	-0.727913	-0.168854
23244		9.671904	-0.147388	-1.381590	0.006568	-0.002821	-0.008165	-0.761475	0.294189	-0.378418	0.632635	-0.203420	-0.727941	-0.168803
23245		9.699286	-0.153755	-1.393891	0.007419	-0.002359	-0.007159	-0.765381	0.285645	-0.381592	0.632640	-0.203421	-0.727948	-0.168756
23246		9.681809	-0.139110	-1.395050	0.004311	0.000766	-0.007662	-0.768066	0.295166	-0.380127	0.632670	-0.203306	-0.727951	-0.168769
23247		9.684652	-0.126972	-1.403379	0.002460	0.002387	-0.008120	-0.763184	0.285645	-0.382324	0.632688	-0.203346	-0.727919	-0.168794
23248		9.684682	-0.198211	-1.402395	0.004113	-0.000865	-0.007999	-0.757324	0.284180	-0.377686	0.632716	-0.203232	-0.727923	-0.168809
23249		9.700631	-0.088551	-1.324788	0.002320	-0.005098	-0.007759	-0.756104	0.292236	-0.385498	0.632685	-0.203132	-0.727978	-0.168804
23250		9.692022	-0.139566	-1.391280	-0.000393	-0.003724	-0.008187	-0.759277	0.284424	-0.373291	0.632756	-0.203158	-0.727903	-0.168833
23251		9.661135	-0.151263	-1.406219	0.004084	-0.000214	-0.004890	-0.764160	0.285400	-0.385498	0.632727	-0.203073	-0.727959	-0.168802
23252		9.686183	-0.144631	-1.391839	0.004298	0.000987	-0.006627	-0.757568	0.285889	-0.374512	0.632811	-0.202951	-0.727917	-0.168812
23253		9.708787	-0.160783	-1.351276	0.003581	-0.001800	-0.008153	-0.750000	0.281006	-0.385010	0.632779	-0.202878	-0.727968	-0.168802
23254		9.684757	-0.128024	-1.388314	-0.004246	-0.002741	-0.007106	-0.757812	0.291504	-0.382080	0.632891	-0.202749	-0.727896	-0.168850
23255		9.681001	-0.134742	-1.432574	0.002368	-0.000919	-0.005868	-0.755859	0.291748	-0.387695	0.632961	-0.202785	-0.727829	-0.168827
23256		9.686052	-0.101976	-1.393517	0.007916	-0.000759	-0.003899	-0.768799	0.285156	-0.378418	0.633130	-0.202777	-0.727706	-0.168736
23257		9.705587	-0.116522	-1.361793	0.000823	0.000654	-0.003399	-0.765137	0.292480	-0.380127	0.633088	-0.202734	-0.727750	-0.168757
23258		9.677241	-0.178931	-1.401916	0.003007	-0.001657	-0.003124	-0.763184	0.287354	-0.376221	0.633083	-0.202814	-0.727740	-0.168721
23259		9.678500	-0.118182	-1.407273	0.001821	-0.001426	-0.003948	-0.765381	0.284424	-0.379150	0.633034	-0.202817	-0.727786	-0.168706
23260		9.684687	-0.158815	-1.389259	0.005868	-0.000772	-0.004693	-0.764160	0.277588	-0.381348	0.633019	-0.202709	-0.727834	-0.168683
23261		9.674376	-0.150103	-1.394445	0.004145	-0.001264	-0.004633	-0.758545	0.292725	-0.377197	0.633027	-0.202472	-0.727891	-0.168688
23262		9.677459	-0.151431	-1.385635	0.005218	0.000184	-0.006401	-0.766846	0.286621	-0.380371	0.633043	-0.202548	-0.727868	-0.168638
23263		9.691818	-0.124148	-1.394158	0.001829	-0.001641	-0.004984	-0.760498	0.292480	-0.379639	0.633016	-0.202519	-0.727898	-0.168649
23264		9.696305	-0.138485	-1.389477	0.001968	0.000831	-0.005945	-0.758545	0.284912	-0.376465	0.633050	-0.202606	-0.727847	-0.168635
23265		9.687557	-0.178875	-1.397815	0.007744	0.001766	-0.007788	-0.763916	0.289062	-0.379639	0.633068	-0.202485	-0.727874	-0.168596
23266		9.664555	-0.148321	-1.381597	0.002910	-0.000408	-0.007790	-0.766113	0.281982	-0.386719	0.633059	-0.202484	-0.727880	-0.168606
