// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.461886	1.237672	-2.262191	0.002757	0.001012	-0.015774	-0.796387	0.188232	-0.334961	0.585454	-0.160825	-0.767773	-0.204704
23209		9.464131	1.240879	-2.252815	0.006038	0.000165	-0.016688	-0.788818	0.193115	-0.332764	0.585425	-0.160620	-0.767821	-0.204769
23210		9.489584	1.248207	-2.240059	0.010833	0.000003	-0.015183	-0.791748	0.194580	-0.332031	0.585410	-0.160404	-0.767876	-0.204774
23211		9.491706	1.251307	-2.231260	0.004916	-0.002770	-0.017850	-0.791992	0.192627	-0.329834	0.585349	-0.160203	-0.767944	-0.204852
23212		9.474830	1.229006	-2.228744	0.006149	-0.005123	-0.016714	-0.782959	0.187500	-0.333008	0.585272	-0.160010	-0.768028	-0.204906
23213		9.461615	1.254925	-2.255601	0.005450	-0.000646	-0.015725	-0.782715	0.190674	-0.332031	0.585243	-0.159821	-0.768073	-0.204969
23214		9.461188	1.258043	-2.255654	0.008500	0.002048	-0.013964	-0.788330	0.190918	-0.331787	0.585251	-0.159619	-0.768102	-0.204995
23215		9.489449	1.264603	-2.233361	0.007708	-0.000490	-0.013853	-0.780518	0.187988	-0.332520	0.585235	-0.159430	-0.768146	-0.205023
23216		9.484640	1.238669	-2.223724	0.001976	-0.003739	-0.012591	-0.788574	0.193848	-0.332031	0.585183	-0.159302	-0.768193	-0.205093
23217		9.471249	1.224038	-2.251906	0.006929	-0.000829	-0.016816	-0.787354	0.196045	-0.335205	0.585167	-0.159092	-0.768233	-0.205150
23218		9.470752	1.227701	-2.251999	0.005082	0.001594	-0.016985	-0.790527	0.187256	-0.337402	0.585174	-0.158894	-0.768249	-0.205225
