// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.727730	0.281394	-0.811462	0.003207	-0.006797	-0.012124	-0.848877	-0.215820	0.603271	-0.132780	-0.725435	0.123482	-0.663977
23209		9.752192	0.326232	-0.824266	0.005431	-0.010901	-0.012802	-0.842041	-0.215820	0.611084	-0.132820	-0.725554	0.123339	-0.663865
23210		9.740612	0.319854	-0.835247	0.004970	-0.008106	-0.011123	-0.844727	-0.212402	0.609131	-0.132812	-0.725663	0.123217	-0.663771
23211		9.739570	0.299212	-0.833472	0.009046	-0.009699	-0.014146	-0.842285	-0.210205	0.610840	-0.132756	-0.725794	0.123043	-0.663671
23212		9.746247	0.361290	-0.819733	0.012867	-0.010122	-0.011527	-0.835449	-0.217529	0.606201	-0.132610	-0.725938	0.122866	-0.663576
23213		9.732509	0.324748	-0.863237	0.012301	-0.012825	-0.009637	-0.835205	-0.212158	0.610596	-0.132578	-0.726079	0.122689	-0.663460
23214		9.740363	0.297903	-0.845022	0.008707	-0.005359	-0.010962	-0.841309	-0.209961	0.613037	-0.132517	-0.726173	0.122529	-0.663399
23215		9.744003	0.321444	-0.817862	0.005239	-0.001974	-0.012204	-0.836914	-0.217529	0.608154	-0.132470	-0.726243	0.122386	-0.663359
23216		9.745970	0.347695	-0.845938	0.004595	0.000936	-0.011266	-0.840332	-0.206787	0.607178	-0.132542	-0.726264	0.122229	-0.663350
23217		9.761648	0.356201	-0.828639	0.004039	0.003111	-0.006351	-0.839844	-0.208984	0.605225	-0.132465	-0.726277	0.122132	-0.663369
23218		9.729113	0.288763	-0.834055	0.003534	-0.001253	-0.005227	-0.844971	-0.214844	0.606689	-0.132422	-0.726318	0.122042	-0.663350
23219		9.746563	0.335124	-0.804845	0.005719	0.004979	-0.007817	-0.846436	-0.208496	0.609619	-0.132447	-0.726319	0.121890	-0.663371
23220		9.741451	0.309795	-0.867738	0.005432	0.005225	-0.006923	-0.841797	-0.208008	0.614746	-0.132394	-0.726326	0.121754	-0.663399
23221		9.738743	0.264663	-0.834511	0.006989	0.005542	-0.009888	-0.835693	-0.210449	0.611084	-0.132331	-0.726372	0.121571	-0.663395
23222		9.736041	0.355275	-0.814425	0.006076	-0.000126	-0.009369	-0.838135	-0.213135	0.605225	-0.132306	-0.726434	0.121408	-0.663362
23223		9.741032	0.330921	-0.826569	0.001010	-0.004223	-0.008195	-0.847900	-0.207520	0.604980	-0.132368	-0.726478	0.121299	-0.663322
23224		9.735405	0.320652	-0.851987	-0.000321	-0.005563	-0.006870	-0.839111	-0.217285	0.610596	-0.132364	-0.726518	0.121232	-0.663290
23225		9.756489	0.293868	-0.826946	-0.001884	0.003542	-0.008200	-0.840088	-0.208496	0.603027	-0.132488	-0.726539	0.121118	-0.663263
23226		9.727114	0.312608	-0.828229	0.003507	0.000254	-0.008449	-0.837402	-0.217773	0.615234	-0.132489	-0.726533	0.120993	-0.663292
