// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		9.756216	-0.557422	-0.873082	0.008191	0.004108	-0.016202	-0.770996	0.147217	-0.332031	0.671027	-0.120710	-0.727978	-0.072111
23209		9.741673	-0.574101	-0.886761	0.012072	0.002953	-0.017326	-0.762207	0.149414	-0.327393	0.671056	-0.120448	-0.727991	-0.072151
23210		9.773348	-0.562454	-0.882450	0.011232	0.003287	-0.019450	-0.764648	0.151611	-0.330322	0.671084	-0.120180	-0.728002	-0.072215
23211		9.758894	-0.544004	-0.860535	0.009055	0.004517	-0.015869	-0.764648	0.151123	-0.330566	0.671125	-0.119956	-0.727997	-0.072272
23212		9.767899	-0.516247	-0.823886	0.014027	0.005150	-0.015469	-0.755127	0.145996	-0.331543	0.671179	-0.119692	-0.727989	-0.072282
23213		9.738740	-0.517944	-0.876701	0.009777	0.003667	-0.015002	-0.753418	0.148193	-0.328857	0.671217	-0.119468	-0.727986	-0.072328
23214		9.725020	-0.543332	-0.879562	0.007143	0.002433	-0.015996	-0.762207	0.149414	-0.325928	0.671238	-0.119255	-0.727994	-0.072405
23215		9.770550	-0.555867	-0.894881	0.004656	0.002458	-0.017524	-0.755859	0.142578	-0.333740	0.671252	-0.119051	-0.728003	-0.072518
23216		9.755055	-0.565062	-0.859626	0.003076	0.002609	-0.016530	-0.760254	0.151367	-0.332275	0.671263	-0.118872	-0.728011	-0.072633
23217		9.756294	-0.586549	-0.895702	0.009657	0.003153	-0.016260	-0.761719	0.152832	-0.332275	0.671290	-0.118645	-0.728019	-0.072681
23218		9.752225	-0.560302	-0.876706	0.017289	0.005087	-0.014002	-0.764160	0.146729	-0.334717	0.671344	-0.118382	-0.728016	-0.072633
23219		9.754329	-0.520252	-0.890548	0.011611	0.004668	-0.011749	-0.762451	0.151611	-0.332275	0.671387	-0.118192	-0.728010	-0.072613
23220		9.756304	-0.515966	-0.879859	0.006533	0.003852	-0.014737	-0.760254	0.155029	-0.324951	0.671407	-0.118020	-0.728014	-0.072662
23221		9.764386	-0.532718	-0.877821	0.003794	0.001754	-0.015662	-0.755371	0.151855	-0.332764	0.671398	-0.117866	-0.728039	-0.072741
23222		9.740334	-0.548282	-0.890483	0.002846	0.001224	-0.017718	-0.762207	0.150146	-0.332764	0.671387	-0.117698	-0.728066	-0.072846
23223		9.734603	-0.575665	-0.904639	0.002393	0.003564	-0.015669	-0.766846	0.155029	-0.334961	0.671391	-0.117558	-0.728076	-0.072935
23224		9.748771	-0.560944	-0.887451	0.006662	0.005113	-0.015271	-0.757080	0.142822	-0.328857	0.671407	-0.117408	-0.728081	-0.072970
23225		9.760981	-0.513007	-0.844676	0.004657	0.001143	-0.011344	-0.758789	0.153076	-0.339355	0.671389	-0.117285	-0.728117	-0.072980
23226		9.770742	-0.528917	-0.833484	-0.001082	0.001625	-0.014803	-0.754883	0.145264	-0.328125	0.671385	-0.117206	-0.728124	-0.073079
23227		9.752054	-0.557612	-0.865406	0.004371	0.001015	-0.019570	-0.762207	0.150146	-0.326904	0.671372	-0.117007	-0.728160	-0.073162
23228		9.775135	-0.569817	-0.896831	0.011785	0.001588	-0.018500	-0.758301	0.146973	-0.335449	0.671363	-0.116793	-0.728203	-0.073158
23229		9.766673	-0.554973	-0.896355	0.003559	0.000375	-0.016848	-0.755615	0.151367	-0.331299	0.671355	-0.116652	-0.728227	-0.073216
23230		9.744399	-0.587429	-0.887171	-0.001864	0.002065	-0.015203	-0.761475	0.143555	-0.332275	0.671349	-0.116595	-0.728232	-0.073301
23231		9.751450	-0.560559	-0.860814	0.009537	0.002702	-0.016648	-0.762695	0.142822	-0.329590	0.671352	-0.116405	-0.728262	-0.073288
23232		9.751747	-0.538209	-0.872365	0.013480	0.003044	-0.021353	-0.753174	0.151611	-0.327148	0.671349	-0.116140	-0.728308	-0.073273
23233		9.760306	-0.570434	-0.918072	0.003574	0.002136	-0.022624	-0.759766	0.148682	-0.339600	0.671344	-0.115990	-0.728329	-0.073351
23234		9.754515	-0.579700	-0.884380	0.002944	0.002817	-0.019575	-0.766846	0.149658	-0.335449	0.671370	-0.115879	-0.728315	-0.073426
23235		9.763315	-0.568669	-0.835983	0.008605	0.002570	-0.019167	-0.758545	0.143066	-0.325195	0.671367	-0.115761	-0.728337	-0.073430
23236		9.764445	-0.555064	-0.836429	0.014620	0.004282	-0.015449	-0.760254	0.147461	-0.337402	0.671373	-0.115533	-0.728377	-0.073330
23237		9.730793	-0.516501	-0.883911	0.014685	0.004741	-0.015052	-0.759277	0.156006	-0.330566	0.671444	-0.115374	-0.728344	-0.073256
23238		9.740575	-0.495905	-0.897059	0.003635	0.001226	-0.016912	-0.764893	0.141113	-0.331787	0.671436	-0.115372	-0.728351	-0.073270
23239		9.771366	-0.511390	-0.879218	0.000549	0.002997	-0.018518	-0.763672	0.143311	-0.328857	0.671413	-0.115240	-0.728384	-0.073350
23240		9.771405	-0.507669	-0.818180	0.003060	0.003728	-0.018781	-0.750977	0.151367	-0.336670	0.671388	-0.115098	-0.728425	-0.073402
