// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		5.473717	-0.242426	8.029505	0.000123	-0.003334	0.000249	-0.691162	0.351318	-0.311035	0.323317	-0.281672	-0.087415	-0.899158
23209		5.465746	-0.250256	8.036307	-0.000306	-0.004372	0.000183	-0.683594	0.352783	-0.307129	0.323313	-0.281723	-0.087429	-0.899143
23210		5.465762	-0.242753	8.029599	-0.000265	-0.005140	0.000450	-0.683350	0.352783	-0.308105	0.323316	-0.281784	-0.087441	-0.899121
23211		5.466005	-0.235292	8.022734	-0.000182	-0.006675	0.000985	-0.686035	0.354004	-0.308350	0.323319	-0.281860	-0.087462	-0.899094
23212		5.467944	-0.242986	8.028106	0.000123	-0.003333	0.000249	-0.678711	0.348633	-0.311523	0.323319	-0.281896	-0.087476	-0.899081
23213		5.467804	-0.248983	8.020049	0.001020	-0.004085	-0.000460	-0.677979	0.351318	-0.310547	0.323313	-0.281936	-0.087506	-0.899068
23214		5.460828	-0.250496	8.034344	-0.000349	-0.004634	-0.000640	-0.681152	0.352783	-0.309082	0.323300	-0.281987	-0.087522	-0.899055
23215		5.471179	-0.222890	8.035527	-0.000860	-0.003107	-0.000687	-0.678223	0.348145	-0.312012	0.323287	-0.282020	-0.087524	-0.899049
23216		5.480855	-0.242739	8.024625	-0.000692	-0.005146	0.000938	-0.680420	0.355957	-0.311523	0.323289	-0.282075	-0.087533	-0.899031
23217		5.464440	-0.231235	8.041489	-0.003045	-0.006499	-0.000731	-0.681885	0.354736	-0.312500	0.323264	-0.282152	-0.087527	-0.899016
23218		5.474554	-0.237370	8.031745	0.000675	-0.006657	0.000008	-0.687256	0.349854	-0.312988	0.323259	-0.282212	-0.087562	-0.898995
23219		5.465269	-0.243931	8.024594	-0.001975	-0.006199	0.001848	-0.685303	0.353271	-0.310303	0.323263	-0.282277	-0.087561	-0.898973
23220		5.460341	-0.233874	8.053812	-0.001119	-0.005153	0.001425	-0.680908	0.356689	-0.306152	0.323270	-0.282326	-0.087564	-0.898956
23221		5.456832	-0.251068	8.016849	-0.001247	-0.004910	-0.000486	-0.678467	0.351318	-0.310547	0.323257	-0.282366	-0.087567	-0.898947
23222		5.472282	-0.248065	8.049503	-0.002532	-0.006993	-0.000131	-0.680420	0.350586	-0.315918	0.323241	-0.282428	-0.087563	-0.898934
23223		5.470995	-0.239372	8.028808	-0.001079	-0.007978	0.000583	-0.689697	0.357178	-0.313232	0.323239	-0.282482	-0.087576	-0.898917
23224		5.473258	-0.247107	8.033961	0.000164	-0.005128	-0.000040	-0.678467	0.344482	-0.306396	0.323238	-0.282502	-0.087592	-0.898909
23225		5.464687	-0.247184	8.034505	0.000634	-0.005887	-0.000262	-0.679932	0.358643	-0.316162	0.323216	-0.282542	-0.087620	-0.898901
23226		5.475119	-0.246859	8.032701	-0.000516	-0.001562	-0.001710	-0.677002	0.346436	-0.309082	0.323220	-0.282510	-0.087611	-0.898911
23227		5.460032	-0.263735	8.060657	0.001535	-0.003549	0.000693	-0.687012	0.353271	-0.310547	0.323219	-0.282513	-0.087633	-0.898908
23228		5.449095	-0.248459	8.049422	0.000466	-0.002818	-0.001331	-0.679932	0.347656	-0.314697	0.323203	-0.282500	-0.087639	-0.898917
23229		5.478088	-0.226444	8.040327	-0.000778	-0.006697	-0.001263	-0.679443	0.353516	-0.312012	0.323178	-0.282512	-0.087649	-0.898922
23230		5.459057	-0.246661	8.033073	-0.000819	-0.004900	-0.000975	-0.681641	0.347900	-0.311035	0.323178	-0.282518	-0.087643	-0.898921
23231		5.469590	-0.246527	8.031188	-0.000346	-0.003600	-0.000087	-0.684570	0.345459	-0.306885	0.323157	-0.282508	-0.087645	-0.898931
