// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23208		5.385740	1.311610	7.998584	0.004139	-0.000869	-0.003251	-0.591309	0.558350	-0.590576	0.567048	-0.191279	-0.229011	-0.767739
23209		5.375180	1.317511	7.990883	0.003166	-0.000722	-0.003411	-0.584717	0.561279	-0.586426	0.567020	-0.191254	-0.229055	-0.767752
23210		5.384040	1.299750	8.017405	0.002702	-0.001288	-0.002721	-0.585693	0.562744	-0.588867	0.567036	-0.191212	-0.229068	-0.767747
23211		5.383552	1.312022	8.025150	0.003693	-0.002037	-0.003949	-0.585205	0.562012	-0.586426	0.567044	-0.191156	-0.229100	-0.767746
23212		5.362999	1.299116	8.007147	0.004749	-0.004667	-0.005025	-0.580322	0.555176	-0.587158	0.567024	-0.191126	-0.229170	-0.767747
23213		5.390988	1.319845	8.017916	0.006165	-0.003648	-0.004167	-0.576172	0.559814	-0.584473	0.567042	-0.191057	-0.229227	-0.767734
23214		5.381513	1.314904	8.001836	0.004168	-0.001811	-0.003175	-0.584717	0.558594	-0.586914	0.567093	-0.190968	-0.229237	-0.767716
23215		5.374279	1.310089	8.021033	0.003692	-0.002038	-0.003949	-0.579346	0.555176	-0.590088	0.567083	-0.190927	-0.229277	-0.767721
23216		5.380250	1.303322	8.020338	0.002973	-0.002248	-0.003684	-0.580078	0.562988	-0.591797	0.567116	-0.190854	-0.229283	-0.767713
23217		5.390579	1.311330	8.035341	0.007357	-0.003213	-0.003659	-0.580322	0.567139	-0.589355	0.567178	-0.190759	-0.229319	-0.767681
23218		5.393041	1.303269	8.013001	0.004440	-0.002771	-0.004138	-0.586914	0.557861	-0.590576	0.567224	-0.190693	-0.229326	-0.767661
23219		5.385144	1.309830	8.040208	0.004884	-0.001603	-0.003441	-0.584473	0.562256	-0.586914	0.567211	-0.190627	-0.229383	-0.767669
23220		5.391715	1.315928	8.033828	0.005170	-0.002901	-0.002939	-0.581787	0.565674	-0.584717	0.567217	-0.190597	-0.229428	-0.767659
23221		5.380974	1.309458	8.031449	0.005392	-0.002317	-0.002591	-0.576172	0.561279	-0.589355	0.567246	-0.190568	-0.229453	-0.767637
23222		5.387601	1.315456	8.025044	0.004674	-0.002527	-0.002325	-0.583984	0.560059	-0.592773	0.567306	-0.190474	-0.229471	-0.767611
23223		5.383011	1.313552	8.016816	0.005137	-0.001961	-0.003016	-0.589355	0.564697	-0.593994	0.567330	-0.190399	-0.229502	-0.767602
