// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.533576	-0.431871	0.762545	0.004443	-0.007183	0.000595	-0.602539	-0.115723	0.511475	-0.082612	-0.669887	0.106690	-0.730098
61648		9.564587	-0.431785	0.733390	0.002216	-0.006059	0.000197	-0.595947	-0.119873	0.511719	-0.082584	-0.669945	0.106678	-0.730051
61649		9.534804	-0.450302	0.771194	0.008539	-0.004584	-0.000998	-0.604492	-0.117920	0.515869	-0.082521	-0.670001	0.106596	-0.730018
61650		9.549526	-0.420508	0.783148	0.007420	-0.004959	-0.002044	-0.595947	-0.119873	0.513916	-0.082470	-0.670057	0.106517	-0.729984
61651		9.534036	-0.455630	0.791869	0.004353	-0.006412	-0.002106	-0.593750	-0.119873	0.511719	-0.082445	-0.670121	0.106465	-0.729936
61652		9.550022	-0.465839	0.804683	0.005304	-0.005680	-0.003275	-0.604492	-0.120117	0.513916	-0.082421	-0.670178	0.106397	-0.729896
61653		9.548010	-0.430946	0.824587	-0.001756	-0.010391	-0.005764	-0.595947	-0.117920	0.513916	-0.082470	-0.670269	0.106379	-0.729809
61654		9.544905	-0.445379	0.779889	-0.006056	-0.013434	-0.004544	-0.600342	-0.117920	0.513672	-0.082541	-0.670374	0.106413	-0.729699
61655		9.537786	-0.435505	0.758095	-0.003518	-0.012899	-0.006097	-0.602295	-0.122070	0.513916	-0.082604	-0.670476	0.106412	-0.729599
61656		9.543688	-0.427489	0.740448	-0.007851	-0.013683	-0.004531	-0.597900	-0.122070	0.518311	-0.082688	-0.670577	0.106466	-0.729489
61657		9.538407	-0.433162	0.751604	-0.007027	-0.012981	-0.006562	-0.597900	-0.119873	0.509521	-0.082783	-0.670680	0.106494	-0.729380
61658		9.521880	-0.427142	0.757510	-0.003089	-0.011210	-0.007184	-0.595703	-0.126221	0.516357	-0.082853	-0.670770	0.106480	-0.729291
61659		9.538137	-0.433094	0.724569	-0.003201	-0.009366	-0.006351	-0.597900	-0.124268	0.511963	-0.082923	-0.670842	0.106473	-0.729217
61660		9.548759	-0.446080	0.706602	0.001266	-0.006677	-0.005360	-0.595703	-0.124268	0.511963	-0.082947	-0.670895	0.106433	-0.729172
61661		9.561538	-0.403161	0.729803	0.003290	-0.005183	-0.006835	-0.595703	-0.124268	0.509766	-0.082966	-0.670946	0.106365	-0.729133
61662		9.535735	-0.423009	0.754740	0.003615	-0.004710	-0.005596	-0.597900	-0.124268	0.516357	-0.082976	-0.670993	0.106300	-0.729097
61663		9.531268	-0.422041	0.744859	0.003054	-0.006428	-0.005370	-0.595703	-0.122070	0.520508	-0.082984	-0.671054	0.106242	-0.729049
61664		9.531687	-0.442325	0.732888	0.002291	-0.008591	-0.005519	-0.593750	-0.122070	0.516113	-0.082990	-0.671142	0.106190	-0.728975
61665		9.543868	-0.424409	0.723544	-0.000248	-0.009129	-0.003962	-0.595947	-0.117920	0.518311	-0.083001	-0.671228	0.106179	-0.728896
61666		9.539407	-0.423958	0.713165	-0.001588	-0.005815	-0.003344	-0.595947	-0.117920	0.516113	-0.083004	-0.671284	0.106180	-0.728844
61667		9.537788	-0.432364	0.713130	0.001337	-0.006263	-0.005845	-0.598145	-0.115723	0.515869	-0.083004	-0.671351	0.106136	-0.728789
