// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61648		9.587823	1.801303	0.843992	0.007015	-0.007815	-0.012685	-0.503662	-0.639404	-0.169922	0.618167	0.466288	-0.489309	0.401274
61649		9.626675	1.805575	0.793411	0.000416	-0.007251	-0.015442	-0.504150	-0.634521	-0.178223	0.618198	0.466422	-0.489273	0.401115
61650		9.611941	1.721505	0.753624	0.023395	0.000128	-0.016442	-0.510254	-0.640869	-0.171387	0.618150	0.466692	-0.489061	0.401133
61651		9.596734	1.793743	0.744413	0.008639	0.000320	-0.018920	-0.505859	-0.638672	-0.181885	0.618193	0.466873	-0.488909	0.401042
61652		9.580810	1.829630	0.812574	-0.003100	-0.004640	-0.022485	-0.499268	-0.643311	-0.177734	0.618287	0.467013	-0.488839	0.400821
61653		9.589047	1.771294	0.773608	0.003239	0.003192	-0.020945	-0.509277	-0.635254	-0.183350	0.618383	0.467156	-0.488685	0.400694
61654		9.585574	1.840081	0.747742	0.000299	0.001711	-0.020639	-0.499756	-0.643799	-0.180176	0.618478	0.467282	-0.488567	0.400543
61655		9.601472	1.852980	0.795750	-0.007522	0.004057	-0.019119	-0.498779	-0.640625	-0.177246	0.618617	0.467336	-0.488486	0.400363
61656		9.581075	1.828768	0.784853	-0.008214	0.005250	-0.016482	-0.496582	-0.632568	-0.176514	0.618753	0.467369	-0.488416	0.400201
61657		9.568083	1.805893	0.805457	-0.019662	0.001832	-0.020139	-0.502686	-0.633057	-0.189453	0.618947	0.467356	-0.488415	0.399918
61658		9.584492	1.771329	0.837618	-0.005617	0.004024	-0.018016	-0.501953	-0.640381	-0.180908	0.619055	0.467426	-0.488346	0.399752
61659		9.576788	1.828501	0.843850	-0.003303	0.001241	-0.019462	-0.494141	-0.646484	-0.194092	0.619135	0.467532	-0.488282	0.399583
61660		9.615792	1.795694	0.836430	0.003407	0.001470	-0.018916	-0.496338	-0.638184	-0.181641	0.619181	0.467676	-0.488184	0.399462
61661		9.615372	1.806296	0.760787	0.001540	0.002687	-0.018667	-0.502930	-0.637207	-0.185059	0.619239	0.467794	-0.488091	0.399347
61662		9.571489	1.813268	0.822652	0.002167	0.001895	-0.017748	-0.497803	-0.636475	-0.180176	0.619263	0.467916	-0.488031	0.399240
61663		9.545382	1.849081	0.836618	0.007173	0.002754	-0.017947	-0.497559	-0.633545	-0.191895	0.619269	0.468074	-0.487930	0.399170
61664		9.567049	1.855229	0.797749	0.008498	-0.001756	-0.019774	-0.499512	-0.637695	-0.181396	0.619263	0.468255	-0.487855	0.399060
61665		9.594127	1.817755	0.749853	0.006108	-0.002478	-0.018002	-0.496338	-0.641113	-0.175781	0.619239	0.468436	-0.487798	0.398953
61666		9.604266	1.859601	0.823639	0.001415	-0.001979	-0.019663	-0.500000	-0.647217	-0.185791	0.619240	0.468608	-0.487748	0.398811
61667		9.581833	1.891643	0.824199	0.000767	0.000376	-0.015698	-0.500488	-0.647461	-0.180664	0.619237	0.468722	-0.487723	0.398713
61668		9.578502	1.897217	0.800353	0.002733	-0.001031	-0.013388	-0.503662	-0.633057	-0.182129	0.619199	0.468862	-0.487696	0.398640
61669		9.563337	1.874971	0.796105	-0.019121	0.000428	-0.010885	-0.497070	-0.646729	-0.180664	0.619303	0.468780	-0.487806	0.398440
61670		9.580811	1.852847	0.809289	-0.009596	0.003920	-0.008315	-0.501221	-0.638672	-0.175537	0.619359	0.468780	-0.487810	0.398348
61671		9.596022	1.877933	0.778474	-0.005686	0.002275	-0.006691	-0.492188	-0.641846	-0.176758	0.619357	0.468805	-0.487836	0.398291
61672		9.593465	1.797633	0.816408	-0.004026	0.000485	-0.007280	-0.498047	-0.635742	-0.171631	0.619369	0.468868	-0.487826	0.398209
61673		9.596791	1.795615	0.804327	0.002089	0.005222	-0.006201	-0.497803	-0.644531	-0.181396	0.619330	0.468940	-0.487794	0.398225
61674		9.588329	1.812615	0.791552	0.001681	0.005043	-0.011647	-0.504395	-0.643066	-0.185059	0.619334	0.469020	-0.487731	0.398200
61675		9.580118	1.853654	0.816973	0.001342	0.004858	-0.012769	-0.500488	-0.637939	-0.181885	0.619329	0.469070	-0.487712	0.398174
61676		9.546896	1.855806	0.801375	-0.000515	0.003535	-0.012638	-0.494141	-0.635498	-0.171143	0.619346	0.469105	-0.487703	0.398117
61677		9.587213	1.859379	0.813936	-0.002828	0.003779	-0.011308	-0.494141	-0.649658	-0.182129	0.619355	0.469183	-0.487658	0.398067
61678		9.568649	1.885996	0.802753	-0.004053	0.001660	-0.010264	-0.505371	-0.640869	-0.189209	0.619381	0.469250	-0.487613	0.398002
61679		9.579023	1.916699	0.820726	-0.008589	0.000585	-0.008158	-0.503662	-0.636230	-0.184570	0.619420	0.469154	-0.487729	0.397911
61680		9.579791	1.840098	0.806148	-0.012863	-0.001279	-0.004492	-0.504639	-0.630615	-0.178955	0.619453	0.469026	-0.487894	0.397810
61681		9.571436	1.886480	0.791240	-0.006813	-0.000045	-0.003092	-0.502197	-0.636230	-0.183105	0.619411	0.468945	-0.488041	0.397790
61682		9.551246	1.905213	0.796025	-0.012820	0.003780	0.000065	-0.500732	-0.640137	-0.177490	0.619448	0.468779	-0.488177	0.397760
61683		9.582147	1.838362	0.832303	-0.012632	0.002019	0.002063	-0.492676	-0.638672	-0.184814	0.619416	0.468708	-0.488279	0.397768
61684		9.571367	1.809122	0.815785	-0.009114	0.001556	0.001344	-0.504395	-0.641846	-0.184326	0.619490	0.468594	-0.488347	0.397705
61685		9.583482	1.889701	0.834131	-0.008469	-0.001772	0.002138	-0.501465	-0.643799	-0.180176	0.619441	0.468494	-0.488500	0.397709
61686		9.577165	1.848623	0.843419	-0.009975	-0.001555	0.006496	-0.505371	-0.631348	-0.185547	0.619361	0.468431	-0.488629	0.397752
61687		9.574280	1.780350	0.801340	-0.002098	-0.002699	0.006311	-0.502197	-0.640869	-0.191650	0.619283	0.468257	-0.488855	0.397801
61688		9.604901	1.796592	0.775245	-0.007382	-0.000242	0.005075	-0.500732	-0.638428	-0.181641	0.619331	0.468036	-0.489022	0.397779
61689		9.586810	1.858863	0.819842	-0.008940	0.002331	0.003463	-0.501465	-0.639404	-0.184814	0.619305	0.467931	-0.489124	0.397818
61690		9.597489	1.862772	0.800010	-0.022789	-0.000294	0.006457	-0.502197	-0.638184	-0.181152	0.619363	0.467675	-0.489343	0.397759
61691		9.590707	1.721563	0.793482	-0.020415	0.002975	0.004815	-0.499023	-0.641357	-0.184082	0.619381	0.467485	-0.489505	0.397757
61692		9.584341	1.734869	0.841123	-0.008805	0.002928	-0.000509	-0.496582	-0.643311	-0.182861	0.619410	0.467412	-0.489547	0.397745
61693		9.577512	1.802554	0.828761	-0.002971	0.002219	-0.002564	-0.504883	-0.635986	-0.180908	0.619410	0.467445	-0.489511	0.397750
61694		9.618345	1.795529	0.783943	-0.007743	0.001746	-0.003785	-0.501709	-0.638184	-0.186768	0.619352	0.467382	-0.489615	0.397786
61695		9.582001	1.776712	0.839007	-0.004635	0.000123	-0.005197	-0.506104	-0.635498	-0.182617	0.619381	0.467296	-0.489693	0.397746
61696		9.595284	1.795874	0.823582	0.002851	0.004045	-0.004497	-0.504395	-0.637939	-0.183350	0.619289	0.467270	-0.489746	0.397855
61697		9.581952	1.869991	0.800560	-0.006180	0.004050	-0.003700	-0.503174	-0.633789	-0.178467	0.619270	0.467188	-0.489815	0.397897
