// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.712322	-0.502390	-1.075817	0.008258	0.001294	0.007546	-0.625732	0.379883	0.370850	0.288273	-0.687527	-0.286865	-0.601592
61648		9.715642	-0.515999	-1.068541	0.003971	0.004055	0.006894	-0.625000	0.379883	0.369141	0.288374	-0.687507	-0.286821	-0.601588
61649		9.713540	-0.501624	-1.052565	0.008122	0.004577	0.004062	-0.625000	0.383789	0.359131	0.288492	-0.687457	-0.286831	-0.601584
61650		9.723012	-0.500436	-1.053059	0.006911	-0.001596	0.002401	-0.633057	0.379395	0.364258	0.288564	-0.687452	-0.286868	-0.601538
61651		9.721444	-0.498825	-1.062513	0.005957	-0.000179	0.003538	-0.628174	0.380127	0.357910	0.288641	-0.687443	-0.286882	-0.601504
61652		9.717090	-0.468361	-1.032853	0.007460	-0.000692	0.005564	-0.620361	0.378418	0.361084	0.288745	-0.687439	-0.286893	-0.601454
61653		9.714823	-0.454163	-1.018459	0.000837	-0.003373	0.007378	-0.633545	0.382568	0.358154	0.288794	-0.687480	-0.286849	-0.601404
61654		9.719462	-0.501390	-1.073769	0.001126	-0.008853	0.009669	-0.625000	0.377441	0.359619	0.288841	-0.687561	-0.286811	-0.601307
61655		9.709309	-0.499221	-1.062975	-0.000549	-0.009623	0.009671	-0.624512	0.379150	0.362549	0.288869	-0.687655	-0.286764	-0.601209
61656		9.709568	-0.514946	-1.089205	-0.005158	-0.007149	0.010316	-0.617188	0.388672	0.360107	0.288870	-0.687747	-0.286669	-0.601148
61657		9.723517	-0.529440	-1.076384	0.000402	-0.009830	0.010456	-0.626465	0.387695	0.350830	0.288913	-0.687843	-0.286624	-0.601040
61658		9.715810	-0.549893	-1.092111	0.001618	-0.005466	0.009229	-0.623291	0.380859	0.360352	0.288976	-0.687894	-0.286582	-0.600971
61659		9.699604	-0.561013	-1.073157	-0.000133	-0.007849	0.005499	-0.616699	0.378174	0.348633	0.288985	-0.687964	-0.286561	-0.600896
61660		9.718882	-0.571303	-1.100908	0.002665	-0.006006	0.004255	-0.619873	0.388428	0.360352	0.289029	-0.688007	-0.286558	-0.600827
61661		9.719442	-0.530716	-1.101291	0.004036	-0.003846	0.001832	-0.626221	0.384521	0.355225	0.289082	-0.688029	-0.286572	-0.600770
61662		9.700087	-0.528861	-1.088037	0.006986	-0.003000	0.001317	-0.619141	0.388184	0.357666	0.289157	-0.688027	-0.286612	-0.600717
61663		9.729633	-0.519096	-1.070173	0.005863	-0.002864	0.004483	-0.620361	0.391113	0.348145	0.289249	-0.688049	-0.286614	-0.600646
61664		9.723011	-0.527414	-1.051680	0.004492	-0.006832	0.004021	-0.623047	0.390137	0.362305	0.289326	-0.688089	-0.286624	-0.600558
61665		9.718539	-0.527707	-1.092918	0.002836	-0.003513	0.004153	-0.618652	0.383545	0.364014	0.289387	-0.688120	-0.286608	-0.600502
61666		9.722257	-0.553971	-1.111356	0.001161	-0.003679	0.005118	-0.625000	0.381348	0.354736	0.289417	-0.688170	-0.286576	-0.600445
61667		9.717477	-0.571401	-1.095227	0.003560	-0.002532	0.003363	-0.620850	0.378418	0.360596	0.289468	-0.688176	-0.286575	-0.600413
61668		9.697874	-0.562938	-1.069649	0.001180	-0.002005	0.001399	-0.628662	0.395508	0.358154	0.289468	-0.688201	-0.286567	-0.600389
61669		9.703166	-0.590687	-1.078737	0.001806	-0.004917	-0.000365	-0.620605	0.381836	0.360840	0.289517	-0.688224	-0.286578	-0.600334
61670		9.696455	-0.567107	-1.092598	0.000475	-0.001313	-0.001531	-0.625488	0.385010	0.364258	0.289508	-0.688239	-0.286575	-0.600322
61671		9.712614	-0.564109	-1.125648	0.001826	-0.002036	-0.002160	-0.616943	0.385254	0.363525	0.289510	-0.688255	-0.286589	-0.600296
61672		9.701847	-0.593478	-1.101520	0.006298	-0.000633	-0.005334	-0.623291	0.386963	0.366211	0.289531	-0.688257	-0.286652	-0.600254
61673		9.722156	-0.583325	-1.082036	0.004164	0.000376	-0.009443	-0.620850	0.383789	0.364258	0.289511	-0.688244	-0.286729	-0.600242
61674		9.711541	-0.587612	-1.102568	0.012348	-0.002346	-0.009485	-0.626465	0.383545	0.354248	0.289543	-0.688219	-0.286879	-0.600184
61675		9.704148	-0.541953	-1.079758	0.009491	-0.001111	-0.010881	-0.623291	0.389648	0.359863	0.289580	-0.688137	-0.287022	-0.600191
61676		9.710105	-0.519282	-1.075441	0.009245	-0.001591	-0.008736	-0.619141	0.390137	0.368652	0.289643	-0.688103	-0.287132	-0.600147
61677		9.732420	-0.524994	-1.071359	0.006524	-0.003628	-0.006643	-0.618164	0.377930	0.359131	0.289657	-0.688152	-0.287207	-0.600048
61678		9.709441	-0.557574	-1.077254	0.004145	-0.001897	-0.006684	-0.629883	0.388184	0.353760	0.289606	-0.688141	-0.287286	-0.600048
61679		9.697225	-0.559831	-1.107481	-0.001109	-0.002418	-0.007285	-0.626221	0.389893	0.356201	0.289605	-0.688090	-0.287330	-0.600085
61680		9.723555	-0.535609	-1.096503	-0.000004	-0.004828	-0.007692	-0.628174	0.395020	0.361084	0.289607	-0.688081	-0.287385	-0.600069
61681		9.700608	-0.567338	-1.102696	-0.006194	-0.002261	-0.010875	-0.625977	0.388428	0.356934	0.289560	-0.688086	-0.287407	-0.600075
61682		9.701847	-0.615159	-1.106752	-0.003568	-0.002299	-0.011056	-0.624756	0.386230	0.363525	0.289501	-0.688061	-0.287459	-0.600107
61683		9.711479	-0.609490	-1.108262	-0.000530	-0.001778	-0.017333	-0.615967	0.382568	0.356934	0.289377	-0.688044	-0.287586	-0.600125
61684		9.704450	-0.568175	-1.097422	0.001234	0.000478	-0.020212	-0.627686	0.383789	0.357910	0.289256	-0.687994	-0.287724	-0.600175
61685		9.723999	-0.510974	-1.086535	0.001786	0.000181	-0.018974	-0.624023	0.379150	0.362305	0.289160	-0.687901	-0.287881	-0.600253
61686		9.750238	-0.555630	-1.043076	0.017052	-0.005226	-0.022500	-0.627197	0.393799	0.356201	0.289071	-0.687825	-0.288205	-0.600227
61687		9.677215	-0.495571	-1.139831	-0.010484	-0.001921	-0.015370	-0.624756	0.383545	0.353516	0.289018	-0.687798	-0.288222	-0.600276
61688		9.730884	-0.490687	-1.107727	0.005516	0.000156	-0.015716	-0.622314	0.386230	0.358154	0.289004	-0.687681	-0.288375	-0.600342
61689		9.695777	-0.542230	-1.085600	-0.006818	0.001726	-0.013794	-0.623535	0.385742	0.360352	0.288908	-0.687657	-0.288405	-0.600401
61690		9.717561	-0.508961	-1.101785	-0.001975	-0.001919	-0.012867	-0.625000	0.386963	0.357666	0.288831	-0.687658	-0.288480	-0.600402
61691		9.726219	-0.483679	-1.067002	0.000729	-0.001548	-0.011241	-0.620605	0.382812	0.359619	0.288828	-0.687620	-0.288562	-0.600407
61692		9.700386	-0.510440	-1.091182	-0.004923	-0.000367	-0.008503	-0.621338	0.378906	0.359131	0.288731	-0.687644	-0.288570	-0.600423
61693		9.717070	-0.536219	-1.091059	-0.001499	0.000988	-0.007667	-0.625977	0.384277	0.362793	0.288622	-0.687637	-0.288602	-0.600468
61694		9.717808	-0.547561	-1.115124	-0.000147	-0.000330	-0.009257	-0.625000	0.385254	0.359131	0.288559	-0.687637	-0.288663	-0.600468
61695		9.714221	-0.526980	-1.109587	0.005027	0.000402	-0.009504	-0.626953	0.384521	0.360596	0.288590	-0.687586	-0.288758	-0.600467
