// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.453153	-2.361496	0.968517	0.007157	0.006611	0.009682	-0.551025	0.462646	0.225586	0.373130	-0.644591	-0.187341	-0.640453
61648		9.469018	-2.359148	0.956896	0.002204	0.007601	0.007795	-0.549316	0.462646	0.223877	0.373228	-0.644538	-0.187261	-0.640472
61649		9.451094	-2.355386	0.974081	0.004573	0.004388	0.005275	-0.551025	0.467285	0.213867	0.373319	-0.644493	-0.187234	-0.640472
61650		9.462079	-2.349993	0.949314	0.003328	0.005754	0.004719	-0.558105	0.460205	0.221436	0.373397	-0.644443	-0.187196	-0.640489
61651		9.462777	-2.340574	0.996980	0.004467	0.000530	0.004058	-0.556641	0.461426	0.212158	0.373465	-0.644428	-0.187198	-0.640463
61652		9.465054	-2.315547	1.015886	0.002281	0.000464	0.008173	-0.547852	0.462646	0.214844	0.373548	-0.644431	-0.187151	-0.640426
61653		9.472172	-2.313168	0.998563	-0.006087	0.001659	0.007762	-0.559082	0.464844	0.211426	0.373560	-0.644457	-0.187039	-0.640425
61654		9.477088	-2.332333	0.985805	-0.006124	0.000948	0.010142	-0.547119	0.460938	0.216309	0.373586	-0.644490	-0.186917	-0.640413
61655		9.451260	-2.353950	0.969768	-0.004977	-0.001370	0.011262	-0.549561	0.461914	0.219238	0.373621	-0.644535	-0.186810	-0.640378
61656		9.450637	-2.356683	0.969196	-0.008829	-0.000031	0.010453	-0.543457	0.471436	0.214844	0.373619	-0.644587	-0.186675	-0.640366
61657		9.454950	-2.381592	0.932204	-0.007308	-0.003726	0.012045	-0.550537	0.470459	0.205566	0.373634	-0.644665	-0.186558	-0.640313
61658		9.439162	-2.392895	0.966067	-0.005437	-0.002044	0.009275	-0.547363	0.464600	0.210693	0.373644	-0.644719	-0.186473	-0.640278
61659		9.449525	-2.429025	0.939876	-0.006379	-0.001196	0.009455	-0.541504	0.458984	0.201416	0.373651	-0.644776	-0.186369	-0.640246
61660		9.458066	-2.430792	0.943504	0.000820	0.000393	0.004546	-0.543701	0.468750	0.210693	0.373691	-0.644782	-0.186347	-0.640224
61661		9.465147	-2.377586	0.927581	0.001086	0.001441	0.003162	-0.549316	0.465576	0.210205	0.373726	-0.644786	-0.186323	-0.640206
61662		9.462419	-2.385014	0.958055	0.002957	0.000843	0.004888	-0.543701	0.469727	0.213867	0.373779	-0.644794	-0.186311	-0.640170
61663		9.463479	-2.355422	0.955488	0.001592	-0.000550	0.005192	-0.545410	0.473877	0.203369	0.373823	-0.644828	-0.186286	-0.640118
61664		9.455830	-2.375777	0.947406	0.000456	-0.001607	0.006492	-0.545898	0.467285	0.216553	0.373875	-0.644863	-0.186255	-0.640061
61665		9.460922	-2.394077	0.934513	-0.002429	0.000696	0.005207	-0.541748	0.465088	0.219482	0.373873	-0.644913	-0.186202	-0.640028
61666		9.471151	-2.414450	0.934679	-0.002875	0.002929	0.004997	-0.549316	0.464111	0.210449	0.373866	-0.644958	-0.186133	-0.640007
61667		9.449595	-2.412552	0.959532	0.001544	0.002114	0.005157	-0.546387	0.459961	0.217773	0.373897	-0.644971	-0.186113	-0.639981
61668		9.444416	-2.426040	0.922065	-0.005144	0.003096	0.003098	-0.552490	0.477295	0.209473	0.373847	-0.645021	-0.186044	-0.639980
61669		9.441786	-2.433156	0.952198	-0.001137	-0.001056	0.001300	-0.544922	0.462646	0.212646	0.373843	-0.645069	-0.186025	-0.639939
61670		9.435548	-2.406874	0.966641	-0.000797	-0.000864	-0.000347	-0.549072	0.466797	0.218506	0.373817	-0.645114	-0.186027	-0.639908
61671		9.467381	-2.428645	0.942689	-0.001552	0.005265	-0.003708	-0.539062	0.465576	0.218262	0.373757	-0.645125	-0.186011	-0.639937
61672		9.436810	-2.429704	0.941074	0.002494	0.005826	-0.004020	-0.550293	0.469238	0.219482	0.373751	-0.645117	-0.186011	-0.639949
61673		9.457334	-2.457238	0.943992	0.004122	0.001985	-0.005074	-0.545654	0.462646	0.217773	0.373720	-0.645135	-0.186055	-0.639936
61674		9.446849	-2.421981	0.969429	0.008479	-0.005352	-0.006100	-0.551758	0.464600	0.208740	0.373703	-0.645180	-0.186183	-0.639863
61675		9.452528	-2.387145	0.957961	0.011501	0.000291	-0.008387	-0.548340	0.470459	0.215576	0.373730	-0.645111	-0.186343	-0.639870
61676		9.472443	-2.369396	0.938769	0.009362	0.003844	-0.004863	-0.540527	0.469971	0.224854	0.373777	-0.645073	-0.186407	-0.639863
61677		9.459947	-2.370086	0.944458	0.004736	-0.000152	-0.005684	-0.541016	0.457520	0.214355	0.373745	-0.645147	-0.186435	-0.639799
61678		9.455131	-2.401630	0.955793	0.000666	-0.002523	-0.005074	-0.554688	0.468994	0.206055	0.373672	-0.645184	-0.186505	-0.639783
61679		9.455001	-2.405510	0.931860	-0.002243	-0.002029	-0.006062	-0.550049	0.470703	0.209229	0.373619	-0.645171	-0.186559	-0.639812
61680		9.463536	-2.394560	0.937470	-0.003462	0.001146	-0.006918	-0.551514	0.474121	0.212402	0.373565	-0.645164	-0.186570	-0.639847
61681		9.436269	-2.418167	0.952275	-0.007422	0.004911	-0.009584	-0.550049	0.471680	0.214111	0.373464	-0.645161	-0.186539	-0.639918
61682		9.440919	-2.463525	0.942854	-0.004898	0.002888	-0.010848	-0.547119	0.467285	0.215820	0.373356	-0.645169	-0.186548	-0.639970
61683		9.446829	-2.462685	0.955759	-0.000356	0.000836	-0.015406	-0.540039	0.466797	0.210938	0.373225	-0.645179	-0.186640	-0.640010
61684		9.456492	-2.408782	0.961085	0.001432	0.000470	-0.019692	-0.549072	0.465088	0.213135	0.373133	-0.645151	-0.186765	-0.640055
61685		9.459642	-2.348159	0.932639	0.002515	0.001913	-0.016528	-0.549316	0.460205	0.219482	0.373022	-0.645108	-0.186897	-0.640125
61686		9.500825	-2.371841	0.987284	0.013387	-0.003109	-0.017079	-0.553467	0.474609	0.210449	0.372900	-0.645103	-0.187156	-0.640125
61687		9.449227	-2.356830	0.912392	-0.014720	0.002909	-0.016958	-0.547607	0.463135	0.208252	0.372719	-0.645101	-0.187126	-0.640241
61688		9.474040	-2.364824	0.931105	0.008501	0.001032	-0.015366	-0.545166	0.467773	0.211426	0.372691	-0.644995	-0.187319	-0.640309
61689		9.450998	-2.384846	0.937394	-0.005909	0.003487	-0.012473	-0.548340	0.466064	0.213623	0.372601	-0.644987	-0.187324	-0.640367
61690		9.471644	-2.360865	0.941040	-0.003773	0.003941	-0.012129	-0.549561	0.468262	0.212402	0.372488	-0.644977	-0.187355	-0.640434
61691		9.474319	-2.337102	0.936790	-0.003263	0.001951	-0.010102	-0.543945	0.462158	0.214844	0.372417	-0.644970	-0.187380	-0.640475
61692		9.451518	-2.353172	0.965982	-0.003999	0.001324	-0.008631	-0.543701	0.458740	0.213379	0.372299	-0.645017	-0.187392	-0.640493
61693		9.458401	-2.377516	0.951442	-0.001222	0.001453	-0.009197	-0.550781	0.465576	0.219482	0.372181	-0.645029	-0.187447	-0.640533
61694		9.465275	-2.401871	0.937073	-0.000125	0.001800	-0.008118	-0.549561	0.466797	0.210938	0.372058	-0.645084	-0.187478	-0.640540
61695		9.455922	-2.390263	0.935799	0.002747	0.002882	-0.009243	-0.551025	0.468506	0.216797	0.372059	-0.645020	-0.187547	-0.640583
61696		9.470512	-2.390140	0.953245	-0.000240	0.004225	-0.009966	-0.547607	0.463135	0.214600	0.371987	-0.645026	-0.187569	-0.640613
61697		9.469754	-2.363580	0.981367	0.003293	0.001604	-0.009591	-0.549072	0.466309	0.220215	0.371925	-0.645021	-0.187646	-0.640631
61698		9.453934	-2.345374	0.945895	0.000819	0.000955	-0.008291	-0.555176	0.471191	0.213379	0.371823	-0.645103	-0.187665	-0.640603
61699		9.448078	-2.371996	0.936151	0.003408	-0.000820	-0.007739	-0.545898	0.462646	0.214111	0.371832	-0.645075	-0.187731	-0.640606
61700		9.484413	-2.369873	0.951732	-0.000205	-0.000249	-0.009629	-0.544434	0.462402	0.218994	0.371753	-0.645102	-0.187782	-0.640610
61701		9.472157	-2.369911	0.956936	0.001233	0.003198	-0.008413	-0.554932	0.462402	0.213379	0.371656	-0.645170	-0.187795	-0.640593
61702		9.461784	-2.368845	0.909228	0.002331	0.003546	-0.007333	-0.549805	0.461426	0.209473	0.371579	-0.645101	-0.187883	-0.640682
61703		9.444971	-2.396849	0.949395	0.002235	-0.000312	-0.008552	-0.558838	0.466309	0.215576	0.371549	-0.645035	-0.187988	-0.640735
61704		9.456364	-2.413122	0.949611	0.005550	0.000822	-0.013948	-0.543701	0.466797	0.216309	0.371438	-0.644976	-0.188152	-0.640811
61705		9.467910	-2.353492	0.925200	0.004908	0.001148	-0.013038	-0.541504	0.458008	0.212646	0.371431	-0.645016	-0.188202	-0.640759
61706		9.477570	-2.350451	0.929515	0.002435	0.000497	-0.011739	-0.548584	0.473877	0.210449	0.371360	-0.645028	-0.188282	-0.640766
61707		9.459862	-2.333061	0.947473	0.008351	0.000485	-0.010322	-0.548828	0.468018	0.204346	0.371540	-0.644958	-0.188345	-0.640713
61708		9.460417	-2.330468	0.948309	0.000789	0.004330	-0.010688	-0.549805	0.458008	0.218262	0.371658	-0.644795	-0.188395	-0.640795
61709		9.476188	-2.394572	0.939341	0.004646	0.003005	-0.009876	-0.549805	0.468750	0.213135	0.371489	-0.644826	-0.188494	-0.640832
61710		9.467536	-2.356966	0.912261	0.006628	0.002271	-0.010784	-0.550537	0.462646	0.213379	0.371551	-0.644783	-0.188570	-0.640817
61711		9.479461	-2.327939	0.935735	0.005514	0.003018	-0.009787	-0.543213	0.458984	0.218018	0.371516	-0.644738	-0.188666	-0.640854
61712		9.481863	-2.304534	0.932172	0.005024	0.004537	-0.007626	-0.546875	0.456299	0.214600	0.371439	-0.644806	-0.188693	-0.640823
61713		9.473063	-2.342956	0.930569	0.004474	0.005815	-0.007276	-0.546875	0.459229	0.220947	0.371338	-0.644788	-0.188758	-0.640880
61714		9.463758	-2.366822	0.954246	0.007370	0.003527	-0.005989	-0.552002	0.461670	0.209229	0.371224	-0.644886	-0.188797	-0.640836
61715		9.461810	-2.351303	0.936008	0.003192	0.003559	-0.007235	-0.547852	0.460449	0.216797	0.371233	-0.644775	-0.188884	-0.640916
61716		9.461515	-2.395215	0.914665	0.005386	0.004261	-0.005079	-0.542725	0.463623	0.213623	0.371183	-0.644809	-0.188908	-0.640905
61717		9.479306	-2.338532	0.948459	0.005814	0.005406	-0.007273	-0.551758	0.463135	0.212402	0.371258	-0.644810	-0.188908	-0.640860
61718		9.479656	-2.336541	0.949862	0.001714	0.004581	-0.008781	-0.544678	0.465576	0.223389	0.371224	-0.644754	-0.188960	-0.640920
61719		9.452169	-2.365454	0.941905	0.002400	0.002689	-0.007578	-0.555176	0.473145	0.219238	0.371136	-0.644949	-0.188898	-0.640794
61720		9.459650	-2.344358	0.950943	-0.000484	0.006784	-0.009161	-0.552734	0.461426	0.214844	0.371115	-0.644985	-0.188843	-0.640786
61721		9.459592	-2.347522	0.929216	0.001085	0.006715	-0.008169	-0.546631	0.458496	0.212891	0.371027	-0.644945	-0.188886	-0.640865
61722		9.492399	-2.362326	0.929904	0.001389	0.006197	-0.007436	-0.544678	0.462402	0.201904	0.370976	-0.644915	-0.188912	-0.640916
61723		9.470502	-2.347961	0.957569	0.001635	0.005438	-0.008514	-0.556885	0.457275	0.214844	0.371150	-0.644721	-0.188956	-0.640998
61724		9.473827	-2.334080	0.951722	-0.000662	0.001972	-0.009815	-0.549072	0.463623	0.210938	0.370924	-0.644701	-0.189069	-0.641115
61725		9.452974	-2.329041	0.976642	0.000278	0.004037	-0.008214	-0.554932	0.463867	0.210449	0.370945	-0.644656	-0.189085	-0.641143
61726		9.463800	-2.351235	0.954241	-0.005319	0.005327	-0.009201	-0.555664	0.458008	0.211914	0.370882	-0.644579	-0.189096	-0.641255
61727		9.461941	-2.335419	0.935777	-0.000592	0.004024	-0.008298	-0.546631	0.466797	0.213135	0.370743	-0.644509	-0.189178	-0.641381
61728		9.491384	-2.347168	0.967974	-0.006910	0.006493	-0.008119	-0.554443	0.458984	0.220703	0.370760	-0.644540	-0.189072	-0.641372
61729		9.461710	-2.362387	0.940428	-0.000436	0.002313	-0.008818	-0.556885	0.464844	0.215332	0.370520	-0.644641	-0.189111	-0.641397
61730		9.466367	-2.352859	0.955600	0.005330	0.001121	-0.008647	-0.550293	0.466064	0.208252	0.370483	-0.644620	-0.189201	-0.641413
61731		9.477769	-2.329090	0.955405	0.006705	0.001426	-0.011011	-0.546387	0.452881	0.220703	0.370608	-0.644513	-0.189294	-0.641421
61732		9.462281	-2.345909	0.944531	0.004225	0.003675	-0.007948	-0.552246	0.460693	0.219727	0.370388	-0.644635	-0.189337	-0.641413
61733		9.470756	-2.374206	0.952270	-0.002528	0.004366	-0.011821	-0.552490	0.465332	0.215332	0.370183	-0.644721	-0.189345	-0.641442
61734		9.474592	-2.354457	0.969703	0.004186	0.002336	-0.011822	-0.561279	0.464111	0.213623	0.370163	-0.644719	-0.189402	-0.641438
61735		9.491376	-2.352480	0.933861	0.004729	0.003967	-0.010395	-0.548096	0.464844	0.205811	0.370110	-0.644615	-0.189525	-0.641537
61736		9.473455	-2.335076	0.952686	0.015650	0.002628	-0.011506	-0.560059	0.464111	0.212402	0.370346	-0.644434	-0.189678	-0.641538
61737		9.471150	-2.303507	0.960075	0.006328	0.004610	-0.011764	-0.551270	0.464844	0.217285	0.370317	-0.644313	-0.189813	-0.641637
