// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.551028	0.617182	1.983707	-0.011152	-0.021517	-0.003879	-0.708496	0.168457	-0.553223	0.743814	-0.139530	-0.615572	-0.219871
61648		9.568860	0.660810	1.990526	-0.002867	-0.004335	0.000290	-0.712158	0.167480	-0.556641	0.743776	-0.139571	-0.615604	-0.219882
61649		9.560937	0.639905	1.962190	0.008074	-0.008769	-0.003329	-0.707520	0.167725	-0.566895	0.743714	-0.139491	-0.615714	-0.219837
61650		9.518227	0.669605	1.946837	0.008186	-0.006755	-0.001001	-0.716309	0.165771	-0.559082	0.743673	-0.139425	-0.615802	-0.219772
61651		9.499798	0.678287	2.000813	0.007777	-0.014177	-0.002111	-0.714844	0.165771	-0.566895	0.743568	-0.139372	-0.615962	-0.219709
61652		9.544126	0.705699	1.945186	0.021253	-0.020336	-0.013010	-0.706787	0.159912	-0.566895	0.743411	-0.139121	-0.616234	-0.219639
61653		9.526807	0.719072	1.932363	0.010190	-0.010358	-0.017165	-0.716797	0.168213	-0.568848	0.743295	-0.138906	-0.616395	-0.219715
61654		9.553010	0.720573	1.917898	0.003038	-0.003201	-0.018951	-0.707031	0.160889	-0.562988	0.743227	-0.138642	-0.616472	-0.219895
61655		9.570336	0.700095	1.900107	-0.007575	0.001151	-0.018989	-0.708252	0.164307	-0.561523	0.743149	-0.138526	-0.616498	-0.220161
61656		9.541936	0.673400	1.948063	-0.018987	0.003999	-0.015039	-0.702637	0.174805	-0.562256	0.743074	-0.138535	-0.616470	-0.220486
61657		9.534369	0.618399	1.946951	-0.006513	-0.006013	-0.016327	-0.711914	0.169922	-0.574707	0.742939	-0.138445	-0.616572	-0.220711
61658		9.518934	0.627412	1.929386	-0.004690	0.005809	-0.015182	-0.708984	0.164062	-0.567627	0.742899	-0.138314	-0.616573	-0.220924
61659		9.545715	0.659053	1.947477	-0.024069	-0.010369	-0.012170	-0.699707	0.158691	-0.576416	0.742711	-0.138442	-0.616663	-0.221225
61660		9.600544	0.650322	1.933971	-0.025112	-0.002214	-0.007638	-0.706299	0.169189	-0.566406	0.742605	-0.138589	-0.616661	-0.221494
61661		9.552780	0.633285	1.937689	-0.021507	0.002584	-0.001942	-0.712402	0.167725	-0.569336	0.742544	-0.138753	-0.616625	-0.221699
61662		9.518331	0.630153	1.951435	-0.016406	0.005266	-0.000735	-0.706543	0.168457	-0.567871	0.742509	-0.138871	-0.616585	-0.221853
61663		9.488963	0.635688	1.995809	-0.007988	0.001886	-0.000179	-0.704834	0.173340	-0.577148	0.742476	-0.138937	-0.616584	-0.221923
61664		9.486961	0.639934	1.961311	-0.008661	0.000370	-0.003136	-0.707031	0.169678	-0.564209	0.742439	-0.138993	-0.616581	-0.222019
61665		9.561190	0.670853	1.950585	-0.009350	0.003312	-0.005723	-0.707031	0.164795	-0.561523	0.742411	-0.139037	-0.616557	-0.222153
61666		9.591636	0.676408	1.992571	-0.012425	0.012379	-0.002489	-0.708008	0.160156	-0.568604	0.742452	-0.139096	-0.616443	-0.222295
61667		9.554692	0.662087	1.946891	-0.014593	0.012973	-0.000955	-0.707275	0.157471	-0.563477	0.742507	-0.139153	-0.616313	-0.222437
61668		9.519230	0.658312	1.985544	-0.025351	0.020756	-0.000867	-0.714111	0.174805	-0.567871	0.742595	-0.139286	-0.616091	-0.222676
61669		9.523385	0.633679	1.986649	-0.040396	-0.012400	-0.003415	-0.707031	0.163574	-0.565918	0.742382	-0.139700	-0.616132	-0.223013
