// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.567698	0.891704	-1.915460	0.009685	0.000840	-0.000559	-0.615967	0.277588	0.430664	0.221458	-0.696294	-0.336036	-0.594316
61648		9.596560	0.884690	-1.942544	0.006086	0.000930	-0.004284	-0.618164	0.278564	0.424072	0.221483	-0.696252	-0.336116	-0.594310
61649		9.586107	0.906546	-1.938025	0.010588	0.001502	-0.005530	-0.616211	0.283203	0.417480	0.221546	-0.696183	-0.336239	-0.594298
61650		9.575017	0.908398	-1.946639	0.007191	-0.001825	-0.006262	-0.623291	0.276855	0.423584	0.221553	-0.696150	-0.336352	-0.594269
61651		9.581825	0.881029	-1.925260	0.008911	-0.002256	-0.004585	-0.621094	0.280518	0.415771	0.221585	-0.696124	-0.336467	-0.594223
61652		9.599663	0.912788	-1.900905	0.010319	-0.002214	-0.007022	-0.613525	0.275391	0.417236	0.221613	-0.696085	-0.336611	-0.594177
61653		9.580671	0.919467	-1.888455	0.006358	-0.006353	-0.001817	-0.622070	0.282715	0.414551	0.221627	-0.696107	-0.336693	-0.594100
61654		9.586699	0.893607	-1.947160	0.004491	-0.009969	0.000709	-0.613770	0.277344	0.418457	0.221626	-0.696167	-0.336750	-0.593997
61655		9.574384	0.890921	-1.922853	0.004308	-0.009040	0.000113	-0.611816	0.280273	0.420166	0.221624	-0.696221	-0.336808	-0.593902
61656		9.579952	0.881689	-1.934260	0.002085	-0.012044	0.002649	-0.606934	0.287842	0.419922	0.221609	-0.696315	-0.336835	-0.593782
61657		9.580626	0.864390	-1.962775	0.004802	-0.008413	0.001446	-0.615479	0.290039	0.409424	0.221628	-0.696372	-0.336881	-0.593683
61658		9.574958	0.873031	-1.934393	0.005175	-0.009484	0.000461	-0.611328	0.280762	0.415039	0.221643	-0.696435	-0.336939	-0.593570
61659		9.575864	0.836430	-1.953551	0.005868	-0.008219	-0.001958	-0.606934	0.275635	0.402344	0.221649	-0.696479	-0.337018	-0.593471
61660		9.590483	0.843670	-1.951924	0.006934	-0.008027	-0.005361	-0.609131	0.287354	0.416748	0.221651	-0.696507	-0.337128	-0.593375
61661		9.570517	0.850541	-1.961974	0.007626	-0.006763	-0.007781	-0.615723	0.284424	0.413330	0.221657	-0.696526	-0.337251	-0.593280
61662		9.572280	0.875814	-1.964031	0.008111	-0.004892	-0.007647	-0.611084	0.287109	0.414795	0.221682	-0.696531	-0.337370	-0.593197
61663		9.592234	0.871665	-1.935174	0.009432	-0.002545	-0.005215	-0.610596	0.288330	0.406006	0.221746	-0.696532	-0.337470	-0.593115
61664		9.580918	0.873397	-1.944842	0.007262	-0.006931	-0.005599	-0.612793	0.289551	0.419922	0.221781	-0.696559	-0.337563	-0.593018
61665		9.595046	0.860457	-1.955635	0.005840	-0.006510	-0.002186	-0.610352	0.281982	0.423096	0.221827	-0.696617	-0.337618	-0.592901
61666		9.594135	0.840563	-1.969974	0.003415	-0.006102	-0.002641	-0.613770	0.280762	0.412598	0.221832	-0.696679	-0.337664	-0.592800
61667		9.574593	0.827244	-1.970238	0.006864	-0.003373	-0.007018	-0.612061	0.276367	0.418213	0.221858	-0.696675	-0.337759	-0.592741
61668		9.590164	0.835767	-1.945794	0.003424	-0.004540	-0.006992	-0.617432	0.293213	0.417236	0.221835	-0.696702	-0.337835	-0.592675
61669		9.574952	0.811021	-1.941582	0.002587	-0.005017	-0.009292	-0.610107	0.279053	0.419678	0.221850	-0.696734	-0.337896	-0.592596
61670		9.569257	0.825285	-1.969171	0.004346	-0.005584	-0.011743	-0.614746	0.284424	0.423096	0.221809	-0.696752	-0.338012	-0.592525
61671		9.583890	0.834520	-1.966640	0.006028	-0.003065	-0.011497	-0.606689	0.282715	0.420654	0.221821	-0.696760	-0.338121	-0.592448
61672		9.597244	0.820569	-1.941364	0.007759	-0.001928	-0.014175	-0.611816	0.287598	0.423828	0.221818	-0.696746	-0.338265	-0.592384
61673		9.605294	0.819342	-1.942379	0.006951	-0.003326	-0.018427	-0.612061	0.279297	0.419922	0.221803	-0.696735	-0.338430	-0.592307
61674		9.583649	0.825495	-1.938054	0.010046	-0.002002	-0.019424	-0.617676	0.281494	0.413330	0.221782	-0.696675	-0.338635	-0.592270
61675		9.570208	0.846884	-1.942906	0.011430	-0.001493	-0.020895	-0.614258	0.287842	0.416992	0.221798	-0.696571	-0.338844	-0.592266
61676		9.586875	0.881492	-1.940642	0.011439	-0.003513	-0.017519	-0.607910	0.290527	0.427734	0.221857	-0.696524	-0.339020	-0.592199
61677		9.602058	0.852161	-1.919970	0.006616	-0.005190	-0.016024	-0.607910	0.276855	0.418701	0.221862	-0.696563	-0.339167	-0.592067
61678		9.579023	0.836745	-1.950768	0.004017	-0.005884	-0.013695	-0.618652	0.285645	0.410156	0.221779	-0.696562	-0.339293	-0.592026
61679		9.588598	0.838797	-1.965633	0.001761	-0.005166	-0.014755	-0.616455	0.287109	0.413330	0.221780	-0.696511	-0.339372	-0.592041
61680		9.583934	0.834877	-1.962269	0.000221	-0.005666	-0.015836	-0.617920	0.292480	0.416992	0.221762	-0.696485	-0.339454	-0.592032
61681		9.566604	0.828481	-1.954200	-0.001646	-0.007259	-0.016679	-0.616943	0.287842	0.414795	0.221760	-0.696491	-0.339532	-0.591980
61682		9.576054	0.791696	-1.972366	-0.001370	-0.002437	-0.020528	-0.614990	0.282227	0.420410	0.221717	-0.696429	-0.339637	-0.592009
61683		9.589368	0.820585	-1.943458	0.002125	-0.003095	-0.024467	-0.605957	0.282959	0.416504	0.221610	-0.696369	-0.339829	-0.592009
61684		9.585823	0.842691	-1.961805	0.001435	-0.002010	-0.028584	-0.617432	0.280762	0.417480	0.221461	-0.696311	-0.340024	-0.592022
61685		9.587142	0.873437	-1.962812	0.001772	-0.001369	-0.029803	-0.615234	0.280029	0.420166	0.221324	-0.696191	-0.340248	-0.592086
61686		9.627235	0.830094	-1.907107	0.013539	-0.001952	-0.029720	-0.619385	0.292725	0.415771	0.221266	-0.696065	-0.340570	-0.592070
61687		9.556645	0.896136	-1.994233	-0.004718	-0.007147	-0.024194	-0.614502	0.281982	0.410156	0.221245	-0.696030	-0.340684	-0.592053
61688		9.568930	0.885092	-1.991062	0.006925	-0.001374	-0.025996	-0.615479	0.281982	0.416992	0.221205	-0.695890	-0.340883	-0.592118
61689		9.574200	0.859039	-1.956046	-0.000366	-0.001297	-0.022016	-0.614258	0.283203	0.420654	0.221120	-0.695819	-0.341025	-0.592152
