// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		9.750618	0.559582	-0.746774	0.003087	-0.005732	-0.012753	-0.716309	-0.527588	-0.131836	0.575058	0.425802	-0.597307	0.362251
61648		9.744937	0.556768	-0.742630	0.010451	-0.003765	-0.015189	-0.718506	-0.529053	-0.137207	0.575043	0.426008	-0.597206	0.362199
61649		9.763400	0.579968	-0.773308	0.006886	-0.003345	-0.014766	-0.716064	-0.522217	-0.145508	0.575053	0.426178	-0.597118	0.362127
61650		9.736709	0.511130	-0.829207	0.022667	-0.001892	-0.016486	-0.723633	-0.529541	-0.139160	0.574992	0.426473	-0.596942	0.362167
61651		9.734295	0.596352	-0.792885	0.009518	0.002977	-0.019684	-0.719238	-0.526367	-0.147461	0.575047	0.426676	-0.596778	0.362111
61652		9.731484	0.589523	-0.737143	0.001419	0.005425	-0.021358	-0.711670	-0.531982	-0.142090	0.575168	0.426825	-0.596626	0.361993
61653		9.716821	0.567897	-0.798662	0.010249	-0.000290	-0.020778	-0.723633	-0.525879	-0.148193	0.575199	0.427060	-0.596476	0.361913
61654		9.743988	0.609781	-0.782254	0.005160	0.003272	-0.020517	-0.712646	-0.531006	-0.142822	0.575277	0.427243	-0.596330	0.361815
61655		9.733848	0.622380	-0.746718	0.002077	0.007578	-0.018966	-0.714111	-0.529297	-0.143066	0.575394	0.427377	-0.596177	0.361722
61656		9.724686	0.595930	-0.771415	-0.001915	0.004372	-0.017242	-0.707520	-0.519287	-0.142334	0.575504	0.427488	-0.596072	0.361591
61657		9.714032	0.591238	-0.737736	-0.013613	0.005230	-0.016613	-0.714111	-0.518311	-0.155029	0.575677	0.427506	-0.596019	0.361380
61658		9.733525	0.556140	-0.743538	-0.001492	0.008000	-0.018545	-0.711914	-0.529053	-0.149170	0.575817	0.427610	-0.595881	0.361263
61659		9.761483	0.617711	-0.702381	0.002364	0.004404	-0.017956	-0.702637	-0.531982	-0.159424	0.575902	0.427751	-0.595756	0.361167
61660		9.751330	0.557850	-0.731210	0.012068	0.005372	-0.020864	-0.708740	-0.523926	-0.146484	0.575972	0.427972	-0.595551	0.361130
61661		9.740922	0.577488	-0.758951	0.006465	0.003044	-0.019854	-0.714355	-0.525635	-0.152832	0.576034	0.428150	-0.595407	0.361058
61662		9.748822	0.582990	-0.714124	0.005277	0.004419	-0.021779	-0.709229	-0.522705	-0.147949	0.576117	0.428317	-0.595256	0.360976
61663		9.686921	0.622620	-0.700531	0.010891	0.000491	-0.022615	-0.708984	-0.519287	-0.159180	0.576145	0.428545	-0.595100	0.360918
61664		9.727974	0.626407	-0.749833	0.011706	-0.003080	-0.022172	-0.713379	-0.524170	-0.145264	0.576162	0.428770	-0.594964	0.360848
61665		9.752305	0.581291	-0.764716	0.009215	0.003096	-0.020649	-0.708008	-0.529053	-0.142578	0.576203	0.428964	-0.594807	0.360811
61666		9.745722	0.632219	-0.718349	0.007683	0.000545	-0.019738	-0.712891	-0.531494	-0.149170	0.576222	0.429166	-0.594677	0.360754
61667		9.735161	0.641285	-0.705977	0.012955	-0.001604	-0.018816	-0.709961	-0.532227	-0.145020	0.576205	0.429390	-0.594545	0.360732
61668		9.725278	0.690253	-0.753036	0.006473	-0.001219	-0.014573	-0.719971	-0.521484	-0.147705	0.576207	0.429549	-0.594451	0.360696
61669		9.744925	0.643852	-0.718829	-0.008533	0.003644	-0.011784	-0.710938	-0.533936	-0.147949	0.576305	0.429516	-0.594437	0.360601
61670		9.728532	0.624780	-0.723911	-0.000127	-0.001953	-0.009084	-0.714844	-0.526367	-0.143066	0.576326	0.429594	-0.594399	0.360538
61671		9.757838	0.662210	-0.743332	0.000662	-0.001821	-0.007833	-0.705322	-0.529541	-0.145020	0.576309	0.429655	-0.594387	0.360512
61672		9.745548	0.587666	-0.718639	0.002146	-0.000684	-0.005968	-0.710938	-0.522461	-0.141846	0.576312	0.429734	-0.594338	0.360493
61673		9.745249	0.586181	-0.739851	0.003912	0.004108	-0.009375	-0.711670	-0.530518	-0.147217	0.576323	0.429798	-0.594267	0.360518
61674		9.722049	0.606587	-0.741888	0.005913	0.000316	-0.012214	-0.715332	-0.533203	-0.150391	0.576331	0.429911	-0.594183	0.360507
61675		9.727396	0.619007	-0.725899	0.002481	-0.001304	-0.012941	-0.714111	-0.525146	-0.146729	0.576358	0.429991	-0.594130	0.360457
61676		9.716912	0.626789	-0.713492	0.000362	-0.000612	-0.013978	-0.708496	-0.522217	-0.136963	0.576382	0.430046	-0.594098	0.360405
61677		9.722045	0.636213	-0.718686	0.000634	0.002466	-0.013143	-0.703857	-0.534668	-0.147461	0.576368	0.430153	-0.594039	0.360398
61678		9.703720	0.646282	-0.727933	0.002018	0.001915	-0.010929	-0.718262	-0.527100	-0.155029	0.576430	0.430261	-0.593924	0.360358
61679		9.733168	0.687210	-0.725502	-0.000457	-0.003314	-0.007236	-0.716553	-0.521973	-0.154297	0.576464	0.430189	-0.593967	0.360320
61680		9.741916	0.620305	-0.724766	-0.008420	-0.004083	-0.004854	-0.717529	-0.518555	-0.149170	0.576521	0.430027	-0.594076	0.360240
61681		9.734880	0.660918	-0.722417	-0.001057	-0.000646	-0.003079	-0.716064	-0.521973	-0.152344	0.576501	0.429912	-0.594154	0.360282
61682		9.724963	0.682458	-0.708294	-0.006518	-0.003035	0.001910	-0.715576	-0.527344	-0.144775	0.576511	0.429725	-0.594282	0.360277
61683		9.712728	0.602611	-0.705707	-0.003859	-0.004677	0.001476	-0.708008	-0.527344	-0.150635	0.576436	0.429685	-0.594373	0.360296
61684		9.722723	0.584328	-0.700123	0.000437	-0.007768	0.000858	-0.716064	-0.530518	-0.149170	0.576404	0.429666	-0.594431	0.360273
