// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61648		9.780736	-0.631435	-0.567005	0.009078	0.008932	0.001911	-0.641846	0.383301	0.268799	0.335854	-0.655857	-0.314306	-0.598553
61649		9.786716	-0.600448	-0.540514	0.011933	0.010383	0.003675	-0.637695	0.389648	0.262207	0.336020	-0.655744	-0.314321	-0.598576
61650		9.764210	-0.554292	-0.531410	0.016760	0.006747	0.001695	-0.646729	0.382812	0.264893	0.336208	-0.655627	-0.314401	-0.598556
61651		9.782017	-0.539652	-0.534468	0.013853	0.005715	0.002063	-0.643311	0.387939	0.253662	0.336357	-0.655532	-0.314465	-0.598542
61652		9.804047	-0.502976	-0.492269	-0.001043	0.004898	0.001065	-0.637695	0.383789	0.259277	0.336371	-0.655499	-0.314434	-0.598588
61653		9.791785	-0.492146	-0.522668	-0.006054	0.001919	-0.001379	-0.644287	0.387695	0.254883	0.336306	-0.655490	-0.314404	-0.598650
61654		9.792327	-0.505585	-0.524681	-0.013191	-0.002116	0.000498	-0.637695	0.382812	0.260254	0.336171	-0.655540	-0.314333	-0.598708
61655		9.772918	-0.540547	-0.530227	-0.024938	-0.004798	0.001024	-0.637451	0.383789	0.261719	0.335923	-0.655652	-0.314191	-0.598799
61656		9.760530	-0.590714	-0.577602	-0.023408	-0.003142	0.003481	-0.629639	0.395996	0.261230	0.335704	-0.655748	-0.314041	-0.598896
61657		9.801305	-0.636425	-0.592184	-0.019318	-0.003030	0.001897	-0.639160	0.393555	0.248047	0.335504	-0.655821	-0.313939	-0.598981
61658		9.755516	-0.640536	-0.576667	-0.016240	-0.003863	0.000339	-0.634521	0.386719	0.260010	0.335315	-0.655886	-0.313876	-0.599049
61659		9.756024	-0.653790	-0.579501	-0.012710	-0.001870	-0.002030	-0.628662	0.381104	0.247803	0.335146	-0.655921	-0.313842	-0.599122
61660		9.780237	-0.690556	-0.608286	-0.000178	0.000782	0.001405	-0.631348	0.389404	0.256104	0.335131	-0.655904	-0.313858	-0.599142
61661		9.771638	-0.644615	-0.591445	0.003173	0.002471	0.000661	-0.639404	0.389404	0.254883	0.335146	-0.655870	-0.313888	-0.599154
61662		9.767902	-0.609830	-0.592732	0.004485	0.000097	0.000399	-0.631348	0.394531	0.260742	0.335160	-0.655849	-0.313942	-0.599141
61663		9.765216	-0.591958	-0.567369	0.002740	-0.001236	-0.005666	-0.633057	0.395752	0.248047	0.335109	-0.655836	-0.314031	-0.599137
61664		9.797016	-0.575575	-0.563027	-0.004860	-0.002049	-0.009298	-0.635986	0.393555	0.261963	0.334979	-0.655831	-0.314106	-0.599177
61665		9.782084	-0.605818	-0.584541	-0.006890	-0.003941	-0.009253	-0.632324	0.387939	0.264160	0.334796	-0.655860	-0.314173	-0.599211
61666		9.780083	-0.670127	-0.607752	-0.003542	-0.002250	-0.009998	-0.635986	0.384277	0.254883	0.334636	-0.655869	-0.314262	-0.599244
61667		9.762488	-0.682928	-0.603493	-0.006442	-0.001113	-0.010068	-0.633301	0.382324	0.262695	0.334474	-0.655870	-0.314330	-0.599298
61668		9.766838	-0.607775	-0.574118	-0.004732	-0.001329	-0.008790	-0.640625	0.396729	0.258301	0.334328	-0.655900	-0.314382	-0.599320
61669		9.773452	-0.648120	-0.567219	-0.006179	0.000326	-0.009043	-0.632080	0.386230	0.262939	0.334197	-0.655910	-0.314414	-0.599365
61670		9.759129	-0.682403	-0.558945	-0.011106	0.000655	-0.009285	-0.636719	0.392822	0.266357	0.334019	-0.655953	-0.314400	-0.599425
61671		9.763678	-0.687149	-0.605837	-0.002832	0.002019	-0.009788	-0.627930	0.386719	0.263672	0.333917	-0.655962	-0.314427	-0.599457
61672		9.783837	-0.713902	-0.586793	0.006988	0.001989	-0.014533	-0.634521	0.391602	0.265869	0.333880	-0.655915	-0.314561	-0.599459
61673		9.779262	-0.699247	-0.567685	0.015834	0.004732	-0.014902	-0.634277	0.387207	0.264893	0.333928	-0.655824	-0.314737	-0.599440
61674		9.786999	-0.653901	-0.564067	0.023833	0.002494	-0.016007	-0.639648	0.390381	0.255371	0.334025	-0.655705	-0.314996	-0.599380
61675		9.772749	-0.635801	-0.570829	0.029366	0.000963	-0.017345	-0.637451	0.393311	0.262451	0.334192	-0.655527	-0.315311	-0.599316
61676		9.785328	-0.600904	-0.586225	0.029447	-0.002034	-0.021202	-0.630127	0.393066	0.267822	0.334307	-0.655394	-0.315655	-0.599215
61677		9.782322	-0.574562	-0.589991	0.016869	-0.002124	-0.022943	-0.629639	0.379395	0.258301	0.334289	-0.655345	-0.315915	-0.599142
61678		9.776189	-0.577638	-0.581578	0.002798	-0.002325	-0.022351	-0.643311	0.388672	0.254883	0.334131	-0.655284	-0.316125	-0.599187
61679		9.769234	-0.624256	-0.615195	-0.002220	-0.001174	-0.018309	-0.642090	0.392090	0.256836	0.334008	-0.655226	-0.316241	-0.599257
61680		9.768541	-0.643312	-0.595714	-0.009167	-0.000583	-0.018937	-0.640137	0.397949	0.262207	0.333839	-0.655213	-0.316291	-0.599338
61681		9.767996	-0.671463	-0.607331	-0.012420	-0.002027	-0.022695	-0.641113	0.395264	0.260010	0.333625	-0.655260	-0.316323	-0.599390
61682		9.771425	-0.724507	-0.585924	-0.007679	0.002784	-0.021933	-0.636719	0.387695	0.264648	0.333477	-0.655236	-0.316370	-0.599474
61683		9.776678	-0.721122	-0.572123	0.002953	0.005389	-0.018156	-0.629150	0.388428	0.258057	0.333405	-0.655189	-0.316479	-0.599509
61684		9.770576	-0.637040	-0.595986	0.005675	0.003959	-0.016463	-0.637695	0.386719	0.261475	0.333415	-0.655131	-0.316565	-0.599520
61685		9.772483	-0.622652	-0.616682	0.005455	0.003193	-0.019861	-0.636963	0.385010	0.262939	0.333359	-0.655064	-0.316708	-0.599548
61686		9.808518	-0.580841	-0.564939	-0.001763	0.007764	-0.022620	-0.639160	0.396729	0.258301	0.333220	-0.654994	-0.316812	-0.599648
61687		9.771196	-0.561455	-0.577101	0.001400	0.005909	-0.021088	-0.638184	0.385010	0.255127	0.333223	-0.654921	-0.316862	-0.599699
61688		9.752052	-0.587257	-0.609439	0.004653	0.003227	-0.023846	-0.639160	0.388672	0.259766	0.333146	-0.654788	-0.317037	-0.599796
61689		9.767927	-0.572642	-0.620874	-0.005590	0.002557	-0.018702	-0.635498	0.388672	0.262451	0.333026	-0.654768	-0.317085	-0.599858
61690		9.787727	-0.583808	-0.599574	-0.009819	0.004961	-0.018295	-0.636719	0.389404	0.262207	0.332872	-0.654788	-0.317085	-0.599922
