// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
61647		5.475131	-0.196235	8.039162	-0.002743	-0.007307	0.001898	-0.637207	-0.468506	-0.133057	-0.383940	-0.265387	0.127937	-0.875095
61648		5.473784	-0.197084	8.024635	-0.002967	-0.007099	0.001283	-0.636719	-0.465820	-0.136475	-0.383925	-0.265448	0.128008	-0.875073
61649		5.459554	-0.193803	8.026690	-0.005975	-0.010435	0.003162	-0.635742	-0.465332	-0.144287	-0.383892	-0.265524	0.128136	-0.875046
61650		5.493736	-0.204150	8.018576	-0.004277	-0.011905	0.002026	-0.645264	-0.467773	-0.138916	-0.383865	-0.265630	0.128246	-0.875009
61651		5.484237	-0.188781	8.026563	-0.000979	-0.007943	0.000087	-0.639893	-0.468506	-0.145264	-0.383855	-0.265713	0.128296	-0.874981
61652		5.485661	-0.189218	8.025580	-0.002901	-0.006266	0.000610	-0.633789	-0.471191	-0.143799	-0.383848	-0.265769	0.128360	-0.874958
61653		5.493771	-0.217352	8.009351	-0.001086	-0.005014	0.001357	-0.643311	-0.464844	-0.148682	-0.383829	-0.265820	0.128400	-0.874945
61654		5.480342	-0.196137	8.025703	-0.000250	-0.004392	-0.000533	-0.636230	-0.468750	-0.141602	-0.383827	-0.265874	0.128425	-0.874926
61655		5.478296	-0.190711	8.032759	-0.000697	-0.003975	-0.001762	-0.637695	-0.466797	-0.143311	-0.383842	-0.265922	0.128448	-0.874901
61656		5.487732	-0.201300	8.030440	-0.001211	-0.004393	-0.002316	-0.628906	-0.458252	-0.143066	-0.383864	-0.265973	0.128475	-0.874872
61657		5.490286	-0.190058	8.022396	-0.002527	-0.004177	0.000727	-0.637695	-0.459961	-0.156006	-0.383858	-0.266010	0.128525	-0.874856
61658		5.481878	-0.208043	8.030935	0.000347	-0.002510	0.000199	-0.635498	-0.465820	-0.147461	-0.383851	-0.266043	0.128534	-0.874848
61659		5.474087	-0.202831	8.011035	-0.001260	-0.004600	-0.000786	-0.630615	-0.472656	-0.157227	-0.383857	-0.266095	0.128566	-0.874825
61660		5.488331	-0.196939	8.035665	-0.002984	-0.007732	0.000434	-0.633789	-0.462402	-0.147217	-0.383858	-0.266163	0.128635	-0.874793
61661		5.487317	-0.197715	8.020896	-0.002910	-0.010241	0.001548	-0.639404	-0.464600	-0.150146	-0.383832	-0.266264	0.128720	-0.874761
61662		5.479162	-0.204663	8.007518	-0.002637	-0.010244	0.000634	-0.631348	-0.461914	-0.144287	-0.383815	-0.266365	0.128799	-0.874726
61663		5.495775	-0.187549	8.024231	-0.003789	-0.008779	-0.000056	-0.633545	-0.459229	-0.156982	-0.383813	-0.266451	0.128879	-0.874689
61664		5.492677	-0.199432	8.017185	-0.000044	-0.005231	-0.000770	-0.636230	-0.459961	-0.144531	-0.383813	-0.266496	0.128904	-0.874672
61665		5.462925	-0.207457	8.022955	-0.001534	-0.004600	0.000130	-0.631836	-0.466553	-0.142822	-0.383799	-0.266552	0.128939	-0.874656
61666		5.483554	-0.189042	8.003853	0.000013	-0.008369	-0.000510	-0.637451	-0.469238	-0.149414	-0.383798	-0.266657	0.128962	-0.874621
61667		5.476539	-0.178491	8.004537	-0.000963	-0.007320	0.000944	-0.635010	-0.472168	-0.143311	-0.383789	-0.266730	0.128997	-0.874597
61668		5.501001	-0.205675	8.005786	-0.004013	-0.008572	-0.000667	-0.640869	-0.454102	-0.149170	-0.383815	-0.266825	0.129052	-0.874549
61669		5.493986	-0.195741	8.006456	-0.002967	-0.007107	0.001292	-0.635010	-0.470947	-0.144287	-0.383760	-0.266876	0.129132	-0.874546
61670		5.496254	-0.207881	8.026640	-0.002752	-0.003971	0.000117	-0.639648	-0.465332	-0.141357	-0.383782	-0.266926	0.129155	-0.874518
61671		5.497340	-0.208468	8.025881	-0.001956	-0.006900	0.001545	-0.628174	-0.465820	-0.142334	-0.383744	-0.267017	0.129200	-0.874500
61672		5.494408	-0.220835	8.018703	-0.002874	-0.008990	0.003260	-0.636475	-0.459961	-0.139160	-0.383725	-0.267112	0.129259	-0.874471
61673		5.497727	-0.209989	8.010114	-0.001703	-0.007532	-0.000222	-0.632812	-0.469238	-0.143555	-0.383682	-0.267216	0.129308	-0.874450
61674		5.486178	-0.205994	8.025889	-0.002537	-0.008156	0.001670	-0.642090	-0.467529	-0.149658	-0.383686	-0.267303	0.129354	-0.874415
61675		5.495108	-0.200330	8.023244	-0.000964	-0.007323	0.000946	-0.636475	-0.463135	-0.144531	-0.383666	-0.267355	0.129401	-0.874401
61676		5.486298	-0.206845	8.010323	-0.001413	-0.006905	-0.000283	-0.633301	-0.460693	-0.137207	-0.383649	-0.267422	0.129442	-0.874382
61677		5.503498	-0.211484	8.006110	-0.001057	-0.005442	-0.001021	-0.632568	-0.473145	-0.147217	-0.383617	-0.267521	0.129458	-0.874363
61678		5.495930	-0.200917	8.007197	-0.001263	-0.004604	-0.000782	-0.644287	-0.464355	-0.150391	-0.383701	-0.267551	0.129454	-0.874318
61679		5.515647	-0.199967	8.037887	0.000984	-0.004398	0.000336	-0.639160	-0.460205	-0.151123	-0.383658	-0.267559	0.129482	-0.874330
61680		5.493105	-0.206869	8.021127	0.001049	-0.003561	-0.000340	-0.643799	-0.454102	-0.147949	-0.383623	-0.267541	0.129507	-0.874347
61681		5.495529	-0.189873	8.034328	-0.000973	-0.003977	-0.000843	-0.638184	-0.461182	-0.149170	-0.383508	-0.267539	0.129576	-0.874388
61682		5.504773	-0.206224	8.010915	-0.001207	-0.002718	0.001778	-0.639404	-0.466309	-0.144531	-0.383467	-0.267509	0.129618	-0.874409
61683		5.486645	-0.196535	8.021457	0.000759	-0.004189	-0.000278	-0.632568	-0.464844	-0.146973	-0.383451	-0.267564	0.129611	-0.874400
61684		5.495766	-0.206964	8.019301	0.002163	-0.001259	0.000941	-0.641357	-0.465332	-0.147461	-0.383478	-0.267555	0.129577	-0.874396
61685		5.494633	-0.189753	8.019475	0.001798	0.000625	-0.000111	-0.639893	-0.468994	-0.145264	-0.383457	-0.267528	0.129553	-0.874417
61686		5.490084	-0.201156	8.013427	0.000450	-0.000418	0.001229	-0.641357	-0.456787	-0.146729	-0.383462	-0.267533	0.129528	-0.874417
61687		5.482903	-0.207431	8.014869	0.001106	-0.001675	0.002219	-0.637695	-0.466553	-0.153809	-0.383319	-0.267516	0.129560	-0.874480
61688		5.481559	-0.213277	8.043267	0.002931	-0.001472	-0.000275	-0.637451	-0.460938	-0.145752	-0.383383	-0.267435	0.129542	-0.874480
61689		5.492069	-0.212130	8.033858	0.000656	-0.001256	0.000990	-0.637207	-0.463379	-0.147461	-0.383325	-0.267427	0.129544	-0.874507
61690		5.488616	-0.195328	8.020137	0.000197	-0.004815	0.000700	-0.638184	-0.463135	-0.145752	-0.383311	-0.267436	0.129564	-0.874508
