// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.4
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		9.552570	-0.365736	0.795833	0.001394	0.004709	0.002141	-0.625977	0.516357	0.212891	0.382815	-0.591354	-0.329923	-0.628414
23594		9.552673	-0.379137	0.793234	0.004514	0.005781	-0.000413	-0.630127	0.516113	0.219482	0.382869	-0.591285	-0.329934	-0.628440
23595		9.564759	-0.353045	0.828663	0.005881	0.004190	0.001977	-0.630127	0.511963	0.217285	0.382938	-0.591236	-0.329946	-0.628438
23596		9.557659	-0.370694	0.814360	0.005221	0.000337	0.001518	-0.630127	0.516113	0.217285	0.382990	-0.591214	-0.329974	-0.628412
23597		9.551847	-0.340088	0.806704	0.002863	-0.000517	0.001868	-0.627930	0.514160	0.217285	0.383025	-0.591210	-0.329984	-0.628389
23598		9.571841	-0.378394	0.764581	0.001037	0.003556	0.004186	-0.629883	0.510010	0.215332	0.383080	-0.591191	-0.329945	-0.628394
23599		9.556729	-0.403855	0.776115	0.004717	0.005176	0.001118	-0.623535	0.511963	0.217285	0.383143	-0.591133	-0.329951	-0.628407
23600		9.555480	-0.380921	0.821423	0.004260	0.004460	0.000789	-0.630127	0.514160	0.217285	0.383200	-0.591086	-0.329956	-0.628414
23601		9.550453	-0.403030	0.799327	0.005224	0.004074	0.000117	-0.630127	0.516113	0.217285	0.383260	-0.591033	-0.329972	-0.628419
23602		9.544799	-0.385058	0.788846	0.005506	0.004483	-0.001750	-0.625732	0.514160	0.210693	0.383313	-0.590970	-0.329998	-0.628431
23603		9.558063	-0.381645	0.779946	0.003424	0.003769	-0.000048	-0.627930	0.514160	0.217285	0.383363	-0.590932	-0.329998	-0.628437
23604		9.584140	-0.391597	0.793835	0.007182	0.006130	-0.003294	-0.621826	0.518311	0.219482	0.383423	-0.590850	-0.330040	-0.628455
23605		9.554127	-0.397171	0.791483	0.005002	0.005852	-0.003968	-0.621582	0.514160	0.217285	0.383463	-0.590785	-0.330068	-0.628477
23606		9.559185	-0.387225	0.812243	0.007285	0.005961	-0.004137	-0.628174	0.520508	0.214844	0.383520	-0.590709	-0.330113	-0.628491
23607		9.543718	-0.384328	0.831244	0.003912	0.000375	-0.005419	-0.623779	0.514160	0.212891	0.383528	-0.590687	-0.330162	-0.628481
23608		9.515953	-0.394205	0.819191	0.005739	-0.000231	-0.005918	-0.630127	0.514160	0.219482	0.383543	-0.590648	-0.330232	-0.628472
23609		9.546239	-0.356256	0.794307	-0.001487	-0.000538	-0.005918	-0.621582	0.514160	0.217285	0.383498	-0.590655	-0.330244	-0.628486
23610		9.612898	-0.382829	0.769634	-0.002607	0.001833	-0.003073	-0.630127	0.516113	0.215088	0.383477	-0.590660	-0.330217	-0.628509
23611		9.566385	-0.391769	0.752636	0.004218	0.003342	-0.006135	-0.625732	0.510010	0.215332	0.383491	-0.590607	-0.330262	-0.628526
23612		9.533815	-0.408506	0.790679	0.006833	0.005511	-0.007685	-0.625732	0.511963	0.217285	0.383504	-0.590525	-0.330339	-0.628555
23613		9.536822	-0.392955	0.819190	0.005210	0.002045	-0.007470	-0.625977	0.518311	0.208252	0.383497	-0.590491	-0.330410	-0.628554
23614		9.565400	-0.376017	0.795770	0.003059	0.004591	-0.010214	-0.627930	0.511963	0.212891	0.383509	-0.590411	-0.330456	-0.628597
23615		9.557046	-0.382830	0.754044	0.002171	0.005718	-0.009722	-0.623779	0.514160	0.223877	0.383487	-0.590334	-0.330503	-0.628658
23616		9.565611	-0.384767	0.794447	0.001330	0.004761	-0.007340	-0.625732	0.507812	0.217529	0.383448	-0.590339	-0.330523	-0.628667
23617		9.547995	-0.376401	0.822197	0.001207	0.006102	-0.009050	-0.627930	0.514160	0.219482	0.383393	-0.590289	-0.330565	-0.628725
