// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		9.593939	1.844972	0.836058	0.005596	0.000353	-0.008171	-0.714600	-0.316650	0.469238	-0.192565	-0.674405	0.050407	-0.711024
23594		9.592130	1.814382	0.793322	0.003552	-0.000857	-0.006873	-0.717529	-0.320068	0.466553	-0.192595	-0.674426	0.050320	-0.711003
23595		9.605274	1.760908	0.789627	0.003233	-0.002797	-0.007376	-0.707031	-0.311768	0.457031	-0.192636	-0.674459	0.050236	-0.710966
23596		9.587840	1.835785	0.827596	0.000815	-0.005297	-0.007639	-0.712158	-0.320312	0.473389	-0.192691	-0.674514	0.050180	-0.710903
23597		9.593115	1.757823	0.797356	0.003743	-0.005170	-0.008095	-0.713379	-0.317383	0.472412	-0.192724	-0.674576	0.050094	-0.710841
23598		9.610158	1.817602	0.798374	0.000411	-0.006261	-0.009730	-0.711426	-0.322998	0.473145	-0.192793	-0.674643	0.050035	-0.710764
23599		9.594185	1.825581	0.811338	-0.002349	-0.003610	-0.008989	-0.714111	-0.320312	0.471436	-0.192875	-0.674682	0.050004	-0.710706
23600		9.590203	1.795339	0.812987	0.002158	-0.001338	-0.006538	-0.703857	-0.320312	0.470459	-0.192897	-0.674711	0.049951	-0.710676
23601		9.581689	1.817101	0.788471	0.003668	-0.001367	-0.007187	-0.717773	-0.321045	0.471191	-0.192904	-0.674747	0.049886	-0.710645
23602		9.614534	1.794819	0.800452	0.001441	-0.002205	-0.004205	-0.716309	-0.318604	0.470459	-0.192896	-0.674787	0.049875	-0.710610
23603		9.602715	1.789086	0.810052	0.005637	-0.001083	-0.004687	-0.711670	-0.319092	0.468750	-0.192849	-0.674831	0.049829	-0.710584
23604		9.607418	1.800052	0.784210	0.005551	-0.000107	-0.006275	-0.710938	-0.316650	0.468262	-0.192812	-0.674867	0.049776	-0.710563
23605		9.655406	1.736345	0.776469	-0.000298	0.000425	-0.007791	-0.720459	-0.321533	0.472412	-0.192830	-0.674891	0.049771	-0.710536
23606		9.591256	1.840050	0.772865	0.001782	0.004138	-0.006065	-0.707520	-0.316406	0.468506	-0.192783	-0.674894	0.049775	-0.710546
23607		9.557676	1.834123	0.787355	-0.004316	0.004905	-0.004528	-0.716553	-0.328369	0.471680	-0.192804	-0.674878	0.049836	-0.710551
23608		9.573531	1.734923	0.738729	-0.004829	0.000513	-0.005845	-0.714844	-0.319336	0.469971	-0.192819	-0.674905	0.049899	-0.710517
23609		9.626890	1.691410	0.770109	0.007147	0.004408	-0.010657	-0.709717	-0.320312	0.462891	-0.192762	-0.674941	0.049827	-0.710503
23610		9.628299	1.793725	0.792773	0.004900	-0.002083	-0.012669	-0.711670	-0.314209	0.466797	-0.192753	-0.675014	0.049804	-0.710438
23611		9.612866	1.793740	0.811160	0.001036	0.002347	-0.011618	-0.709961	-0.317383	0.463867	-0.192740	-0.675053	0.049817	-0.710403
23612		9.573229	1.814137	0.788472	0.002739	0.004771	-0.011453	-0.716309	-0.320068	0.475586	-0.192736	-0.675058	0.049813	-0.710400
23613		9.575839	1.813191	0.781002	0.003072	0.003560	-0.012919	-0.712891	-0.312500	0.466797	-0.192674	-0.675115	0.049763	-0.710366
23614		9.578802	1.848239	0.779553	0.008406	0.005408	-0.010684	-0.705566	-0.312744	0.466309	-0.192591	-0.675141	0.049711	-0.710368
23615		9.597049	1.810296	0.783916	0.004827	0.004547	-0.009265	-0.714355	-0.323730	0.472412	-0.192589	-0.675161	0.049683	-0.710351
23616		9.600225	1.819023	0.840375	-0.002201	0.003100	-0.009170	-0.708984	-0.311035	0.467773	-0.192578	-0.675194	0.049691	-0.710322
23617		9.583560	1.785623	0.817170	-0.002051	0.002263	-0.008952	-0.709961	-0.328613	0.470459	-0.192591	-0.675219	0.049733	-0.710292
23618		9.609274	1.761880	0.783277	0.001344	0.004287	-0.011119	-0.714111	-0.323730	0.469238	-0.192638	-0.675221	0.049675	-0.710281
23619		9.592714	1.820264	0.831833	0.003004	0.003423	-0.011550	-0.713379	-0.318115	0.471191	-0.192621	-0.675236	0.049628	-0.710275
23620		9.601745	1.805871	0.775565	0.002848	0.003472	-0.009337	-0.717773	-0.314209	0.464600	-0.192560	-0.675262	0.049597	-0.710269
23621		9.602835	1.790791	0.785165	-0.002235	0.003423	-0.009701	-0.711914	-0.321045	0.468750	-0.192526	-0.675236	0.049655	-0.710299
23622		9.595800	1.801079	0.802518	-0.004583	0.001055	-0.011335	-0.704590	-0.317871	0.458008	-0.192591	-0.675250	0.049676	-0.710266
23623		9.597897	1.813616	0.822572	0.004637	0.005714	-0.010014	-0.705811	-0.324463	0.469727	-0.192707	-0.675182	0.049685	-0.710299
23624		9.618266	1.855538	0.790516	0.001897	0.007244	-0.006314	-0.714600	-0.320557	0.466309	-0.192756	-0.675167	0.049656	-0.710302
23625		9.571395	1.743650	0.793169	-0.000319	0.007978	-0.008194	-0.712646	-0.320801	0.460449	-0.192746	-0.675105	0.049651	-0.710364
23626		9.644508	1.829720	0.795933	0.004610	0.008867	-0.008047	-0.711426	-0.327637	0.464111	-0.192757	-0.675002	0.049641	-0.710459
23627		9.602152	1.777415	0.807033	-0.005495	0.008112	-0.007720	-0.707031	-0.316406	0.469727	-0.192909	-0.674906	0.049689	-0.710506
23628		9.562592	1.827696	0.759751	0.001005	0.009115	-0.009591	-0.719482	-0.323730	0.458984	-0.192895	-0.674904	0.049637	-0.710516
23629		9.569461	1.787680	0.807335	-0.010059	0.005685	-0.008805	-0.712891	-0.309814	0.462402	-0.193004	-0.674755	0.049748	-0.710620
23630		9.583399	1.842183	0.824993	-0.007775	0.011533	-0.005733	-0.715088	-0.313232	0.464355	-0.192933	-0.674639	0.049833	-0.710743
23631		9.606562	1.745649	0.825857	-0.004081	0.011101	-0.005030	-0.716797	-0.325195	0.465332	-0.192826	-0.674539	0.049868	-0.710865
23632		9.619313	1.736719	0.827152	-0.002141	0.009679	-0.007984	-0.712891	-0.318115	0.472168	-0.192862	-0.674438	0.049854	-0.710951
23633		9.583459	1.829458	0.841363	-0.003470	0.005716	-0.009087	-0.713135	-0.322510	0.452148	-0.192779	-0.674471	0.049799	-0.710946
23634		9.595152	1.794072	0.831150	-0.000634	0.006829	-0.011129	-0.718262	-0.316406	0.457275	-0.193002	-0.674277	0.049882	-0.711065
23635		9.572862	1.790933	0.803747	0.003121	0.005748	-0.009363	-0.713135	-0.324219	0.472900	-0.192930	-0.674145	0.049874	-0.711209
23636		9.587735	1.873178	0.830287	0.002870	0.002367	-0.006375	-0.709961	-0.318115	0.461426	-0.192840	-0.674230	0.049767	-0.711161
23637		9.577174	1.809067	0.811564	0.000682	0.001984	-0.005296	-0.715820	-0.313232	0.473145	-0.192844	-0.674208	0.049798	-0.711179
23638		9.604426	1.816467	0.820005	0.002990	0.003893	-0.001757	-0.717773	-0.333740	0.458740	-0.192474	-0.674288	0.049695	-0.711210
23639		9.585386	1.862330	0.849263	-0.004835	0.002534	-0.000929	-0.715576	-0.320557	0.462402	-0.192715	-0.674142	0.049833	-0.711274
23640		9.596546	1.761300	0.821704	-0.001293	0.002941	-0.000441	-0.715820	-0.317871	0.462891	-0.192657	-0.674080	0.049891	-0.711344
23641		9.589072	1.777947	0.834415	0.000648	0.000732	-0.000962	-0.715576	-0.317627	0.474121	-0.192521	-0.674053	0.049923	-0.711404
23642		9.597356	1.789180	0.832539	-0.005204	-0.002372	-0.002558	-0.713135	-0.323975	0.469727	-0.192279	-0.674183	0.049877	-0.711349
23643		9.594681	1.779796	0.813335	-0.002986	0.001301	-0.003041	-0.715576	-0.322754	0.463867	-0.192245	-0.674233	0.049853	-0.711313
23644		9.607117	1.814576	0.814340	-0.011090	0.001289	-0.002120	-0.708740	-0.307861	0.471680	-0.192311	-0.674174	0.049978	-0.711342
23645		9.595140	1.741261	0.844983	-0.008100	0.001568	-0.003943	-0.714844	-0.318359	0.466553	-0.192033	-0.674291	0.049977	-0.711306
23646		9.575907	1.777312	0.809485	-0.004033	-0.004012	-0.004239	-0.718506	-0.321533	0.471436	-0.191935	-0.674342	0.050004	-0.711283
23647		9.593158	1.755453	0.803291	-0.005819	-0.005465	-0.005998	-0.709229	-0.320312	0.465576	-0.191787	-0.674440	0.049955	-0.711234
