// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		9.473106	-1.742208	-1.880188	0.007790	-0.000003	-0.007713	-0.791504	0.247559	-0.282959	0.635440	-0.163901	-0.754280	-0.020348
23594		9.456501	-1.722158	-1.832420	0.004396	0.002299	-0.008032	-0.792969	0.248535	-0.288086	0.635469	-0.163789	-0.754279	-0.020375
23595		9.463550	-1.683397	-1.817436	0.016292	0.001502	-0.009683	-0.785645	0.255127	-0.298584	0.635518	-0.163568	-0.754288	-0.020301
23596		9.485470	-1.712578	-1.853356	0.018123	-0.001100	-0.012054	-0.789551	0.243164	-0.282959	0.635544	-0.163309	-0.754324	-0.020226
23597		9.439605	-1.680359	-1.843213	0.001787	-0.000401	-0.009722	-0.790283	0.247559	-0.281250	0.635545	-0.163199	-0.754346	-0.020289
23598		9.490346	-1.743683	-1.823908	-0.000117	-0.000997	-0.005024	-0.790283	0.244141	-0.281006	0.635539	-0.163146	-0.754360	-0.020336
23599		9.471977	-1.760168	-1.809251	0.003465	0.003489	-0.004371	-0.791504	0.247803	-0.286377	0.635589	-0.163069	-0.754334	-0.020352
23600		9.462434	-1.730211	-1.779117	0.005592	0.000144	-0.004878	-0.780029	0.242676	-0.284180	0.635621	-0.162972	-0.754329	-0.020342
23601		9.467887	-1.736894	-1.808057	0.015310	0.000313	-0.007997	-0.796143	0.245605	-0.282471	0.635685	-0.162767	-0.754321	-0.020266
23602		9.475207	-1.716207	-1.814588	0.015847	-0.000967	-0.008608	-0.796143	0.246582	-0.285889	0.635748	-0.162551	-0.754317	-0.020186
23603		9.472899	-1.747095	-1.796762	0.007104	-0.001938	-0.004162	-0.790527	0.245605	-0.285400	0.635794	-0.162444	-0.754302	-0.020154
23604		9.503254	-1.762038	-1.810036	0.010419	-0.001666	-0.005596	-0.788330	0.246826	-0.287842	0.635857	-0.162299	-0.754282	-0.020098
23605		9.467999	-1.737867	-1.767336	0.017045	-0.003118	-0.005452	-0.798828	0.241943	-0.279785	0.635928	-0.162107	-0.754266	-0.019969
23606		9.464112	-1.711480	-1.807196	0.022609	-0.003193	-0.005379	-0.789795	0.249756	-0.291016	0.636024	-0.161865	-0.754242	-0.019794
23607		9.480149	-1.653865	-1.809741	0.015239	-0.002883	-0.005666	-0.791504	0.236572	-0.284424	0.636120	-0.161683	-0.754203	-0.019678
23608		9.461358	-1.693051	-1.776899	0.001317	-0.003102	-0.003695	-0.789062	0.247070	-0.286133	0.636174	-0.161608	-0.754173	-0.019721
23609		9.466954	-1.749133	-1.819912	0.009311	-0.005265	-0.005272	-0.783203	0.243652	-0.292236	0.636235	-0.161462	-0.754154	-0.019674
23610		9.492479	-1.774000	-1.825586	0.009382	-0.004655	-0.005236	-0.786621	0.251465	-0.290283	0.636304	-0.161321	-0.754127	-0.019623
23611		9.455560	-1.785444	-1.816713	-0.007922	-0.003765	-0.004877	-0.782959	0.246582	-0.289307	0.636353	-0.161336	-0.754081	-0.019700
23612		9.443039	-1.778157	-1.759928	0.003123	-0.003335	-0.003479	-0.792725	0.247314	-0.279053	0.636412	-0.161286	-0.754042	-0.019666
23613		9.459926	-1.755559	-1.805382	0.024082	-0.006252	-0.010295	-0.789307	0.253906	-0.289307	0.636478	-0.161008	-0.754051	-0.019481
23614		9.460558	-1.740325	-1.835506	0.017406	-0.007193	-0.012409	-0.781006	0.250732	-0.289795	0.636559	-0.160780	-0.754035	-0.019333
23615		9.465216	-1.750924	-1.825776	0.004122	-0.003921	-0.007100	-0.790283	0.240234	-0.280273	0.636617	-0.160712	-0.754002	-0.019282
23616		9.467339	-1.762739	-1.806380	0.003874	-0.002786	-0.003980	-0.787842	0.256104	-0.286865	0.636646	-0.160647	-0.753991	-0.019271
