// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23592		9.712261	-0.532833	-1.131802	0.006502	0.003186	-0.004474	-0.670166	0.280518	-0.337646	0.644652	-0.222644	-0.712910	-0.163133
23593		9.717580	-0.521758	-1.163781	0.003998	0.007891	-0.006133	-0.670166	0.282715	-0.334961	0.644721	-0.222542	-0.712872	-0.163169
23594		9.717504	-0.505213	-1.143434	0.008587	0.005240	-0.008496	-0.675537	0.283203	-0.336914	0.644772	-0.222390	-0.712872	-0.163175
23595		9.695232	-0.469679	-1.124254	0.005958	0.002444	-0.004330	-0.662109	0.288330	-0.349854	0.644801	-0.222298	-0.712877	-0.163164
23596		9.717423	-0.488116	-1.123267	0.005121	0.000912	-0.003485	-0.668213	0.279053	-0.332764	0.644814	-0.222220	-0.712891	-0.163153
23597		9.701764	-0.471731	-1.146059	0.000219	0.003431	-0.000329	-0.667480	0.282715	-0.331543	0.644843	-0.222202	-0.712867	-0.163171
23598		9.713565	-0.547746	-1.159623	0.001861	0.009974	-0.002905	-0.667725	0.281250	-0.332031	0.644926	-0.222130	-0.712804	-0.163218
23599		9.700450	-0.536558	-1.124935	0.008681	0.008309	-0.006121	-0.665527	0.283936	-0.336670	0.645003	-0.221981	-0.712779	-0.163221
23600		9.713883	-0.498950	-1.070313	0.005365	0.005841	-0.004979	-0.658447	0.279541	-0.336914	0.645052	-0.221876	-0.712764	-0.163236
23601		9.706199	-0.518705	-1.139412	0.003817	0.003135	-0.005992	-0.670410	0.281738	-0.338135	0.645077	-0.221775	-0.712765	-0.163271
23602		9.707058	-0.521164	-1.125442	0.002711	0.002312	-0.005612	-0.667969	0.282471	-0.338623	0.645089	-0.221687	-0.712772	-0.163311
23603		9.700569	-0.527655	-1.133515	0.002429	0.005840	-0.007056	-0.667236	0.283203	-0.340088	0.645128	-0.221583	-0.712755	-0.163373
23604		9.741748	-0.508133	-1.114718	0.010504	0.006090	-0.008555	-0.666992	0.283447	-0.340576	0.645188	-0.221404	-0.712757	-0.163373
23605		9.714567	-0.502726	-1.096760	0.008620	0.001756	-0.007607	-0.674316	0.280273	-0.333496	0.645207	-0.221255	-0.712787	-0.163371
23606		9.707275	-0.505222	-1.119090	0.007361	-0.002319	-0.008248	-0.664062	0.282471	-0.341309	0.645179	-0.221114	-0.712853	-0.163381
23607		9.699784	-0.481748	-1.091444	0.005300	-0.002872	-0.005391	-0.667236	0.273193	-0.338135	0.645159	-0.221021	-0.712900	-0.163379
23608		9.686402	-0.496892	-1.110196	0.006529	-0.002454	-0.002511	-0.668213	0.281738	-0.339600	0.645150	-0.220921	-0.712944	-0.163355
23609		9.707632	-0.517370	-1.139485	0.003551	-0.003294	-0.003329	-0.661621	0.281982	-0.347412	0.645125	-0.220854	-0.712987	-0.163359
23610		9.735902	-0.518191	-1.127428	0.004703	0.000524	-0.006044	-0.664795	0.286133	-0.341064	0.645149	-0.220747	-0.712996	-0.163372
23611		9.717952	-0.557678	-1.130603	0.010530	0.000450	-0.006595	-0.662598	0.283691	-0.341309	0.645171	-0.220608	-0.713027	-0.163338
23612		9.689510	-0.533465	-1.108537	0.010521	-0.003108	-0.010412	-0.668945	0.283203	-0.331299	0.645158	-0.220449	-0.713093	-0.163315
23613		9.707533	-0.490667	-1.106167	0.009101	-0.006219	-0.008161	-0.668457	0.288330	-0.341064	0.645085	-0.220341	-0.713200	-0.163283
23614		9.709769	-0.526446	-1.117961	0.003758	-0.003425	-0.007477	-0.660156	0.287109	-0.342773	0.645054	-0.220280	-0.713244	-0.163294
23615		9.702965	-0.538326	-1.143661	0.004862	-0.002603	-0.007859	-0.669434	0.277832	-0.335449	0.645054	-0.220212	-0.713265	-0.163293
23616		9.715646	-0.516406	-1.139327	0.003363	-0.002317	-0.011205	-0.663574	0.290771	-0.340332	0.645001	-0.220090	-0.713339	-0.163341
23617		9.685830	-0.478743	-1.128505	0.004047	-0.004795	-0.007104	-0.666504	0.271729	-0.336182	0.644965	-0.220077	-0.713379	-0.163326
23618		9.707212	-0.492377	-1.142455	-0.000304	-0.005753	-0.008004	-0.668701	0.276611	-0.340088	0.644882	-0.219978	-0.713474	-0.163376
23619		9.709040	-0.513242	-1.135665	0.002572	-0.003766	-0.005651	-0.667969	0.281006	-0.336670	0.644839	-0.219893	-0.713537	-0.163383
23620		9.704262	-0.542229	-1.137419	0.002324	-0.001562	-0.007285	-0.671875	0.283447	-0.343994	0.644797	-0.219836	-0.713587	-0.163408
23621		9.687730	-0.520923	-1.174877	0.005190	-0.005293	-0.007671	-0.664551	0.279541	-0.338623	0.644757	-0.219756	-0.713652	-0.163391
23622		9.700567	-0.488102	-1.139497	0.004980	-0.006567	-0.008413	-0.660156	0.283447	-0.347656	0.644693	-0.219675	-0.713738	-0.163375
23623		9.718080	-0.530157	-1.125398	0.000218	-0.004355	-0.008056	-0.661133	0.278320	-0.333984	0.644705	-0.219640	-0.713734	-0.163392
23624		9.702280	-0.512280	-1.149537	-0.000925	-0.001701	-0.008566	-0.670654	0.280273	-0.339844	0.644651	-0.219608	-0.713781	-0.163444
23625		9.678857	-0.477896	-1.160891	0.003216	0.000143	-0.009486	-0.666260	0.278809	-0.344971	0.644629	-0.219515	-0.713823	-0.163473
23626		9.772099	-0.501349	-1.123685	-0.000094	-0.006642	-0.006185	-0.667236	0.275146	-0.342285	0.644593	-0.219462	-0.713870	-0.163481
23627		9.702663	-0.489708	-1.104870	0.001192	-0.011763	-0.007397	-0.660156	0.284424	-0.338867	0.644494	-0.219365	-0.713989	-0.163481
23628		9.685600	-0.553135	-1.131797	-0.003322	-0.007443	-0.007558	-0.674072	0.276123	-0.345459	0.644431	-0.219432	-0.714016	-0.163518
23629		9.696179	-0.509027	-1.136385	0.002422	-0.004867	-0.007747	-0.667969	0.290283	-0.343262	0.644402	-0.219293	-0.714082	-0.163533
23630		9.728380	-0.474698	-1.137534	-0.000054	-0.005808	-0.007446	-0.669678	0.287354	-0.340088	0.644372	-0.219379	-0.714083	-0.163534
23631		9.702097	-0.520081	-1.193564	0.004025	-0.004137	-0.007015	-0.672363	0.278564	-0.338623	0.644335	-0.219408	-0.714112	-0.163513
23632		9.732430	-0.536822	-1.158696	0.006123	-0.007066	-0.008984	-0.666748	0.283203	-0.331299	0.644242	-0.219299	-0.714232	-0.163500
