// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23592		9.493025	-2.315253	0.818420	0.002831	0.009452	-0.002222	-0.554688	0.246826	-0.455078	0.735816	-0.174425	-0.654144	-0.015701
23593		9.510187	-2.317535	0.795100	-0.001684	0.008625	-0.005455	-0.552979	0.249023	-0.449707	0.735882	-0.174394	-0.654076	-0.015784
23594		9.497819	-2.276938	0.821112	0.007334	0.006414	-0.003976	-0.556641	0.248779	-0.452881	0.735946	-0.174298	-0.654030	-0.015774
23595		9.505256	-2.255365	0.833062	0.007951	0.007596	-0.003607	-0.544922	0.256348	-0.467285	0.736024	-0.174193	-0.653970	-0.015760
23596		9.505308	-2.270605	0.830159	0.004933	0.010423	-0.001878	-0.553223	0.249268	-0.448242	0.736120	-0.174125	-0.653880	-0.015764
23597		9.509989	-2.265946	0.820710	0.000322	0.011977	-0.001847	-0.553223	0.252686	-0.450439	0.736220	-0.174097	-0.653775	-0.015812
23598		9.506803	-2.341544	0.819540	-0.000911	0.009615	-0.002583	-0.551758	0.248779	-0.447998	0.736296	-0.174070	-0.653695	-0.015876
23599		9.498384	-2.324859	0.862470	0.004516	0.005926	-0.003868	-0.550049	0.248779	-0.451172	0.736352	-0.173987	-0.653653	-0.015895
23600		9.499124	-2.280185	0.840057	0.004257	0.003657	-0.003274	-0.543457	0.245361	-0.452393	0.736393	-0.173913	-0.653626	-0.015905
23601		9.495801	-2.307503	0.854113	0.003135	0.007626	-0.002116	-0.554932	0.248047	-0.452637	0.736465	-0.173854	-0.653560	-0.015925
23602		9.493089	-2.290960	0.845001	0.003136	0.009325	-0.004484	-0.554932	0.248535	-0.455566	0.736553	-0.173774	-0.653481	-0.015971
23603		9.484661	-2.318393	0.825656	-0.000971	0.003304	-0.006067	-0.550049	0.250244	-0.455078	0.736583	-0.173718	-0.653460	-0.016054
23604		9.509881	-2.303049	0.856631	0.008253	0.002624	-0.006034	-0.549561	0.248535	-0.456055	0.736626	-0.173585	-0.653447	-0.016055
23605		9.495122	-2.278365	0.859245	0.004510	0.000360	-0.006486	-0.558350	0.246582	-0.447998	0.736645	-0.173481	-0.653452	-0.016085
23606		9.500260	-2.272741	0.847344	0.005945	0.000129	-0.004921	-0.548584	0.251221	-0.461182	0.736661	-0.173369	-0.653464	-0.016097
23607		9.486629	-2.240423	0.860810	0.004563	0.001828	-0.003171	-0.552734	0.239258	-0.453613	0.736701	-0.173286	-0.653440	-0.016104
23608		9.486862	-2.255734	0.855972	0.003434	0.000951	-0.002183	-0.550293	0.249756	-0.455322	0.736728	-0.173195	-0.653433	-0.016124
23609		9.477103	-2.292306	0.824206	-0.004663	0.000806	-0.000838	-0.546143	0.248779	-0.463379	0.736738	-0.173204	-0.653417	-0.016197
23610		9.527035	-2.324963	0.817292	0.002717	0.001429	-0.001740	-0.548584	0.255859	-0.458984	0.736781	-0.173137	-0.653387	-0.016209
23611		9.499166	-2.337244	0.856684	0.007226	0.000091	-0.005856	-0.546875	0.250732	-0.458252	0.736804	-0.173023	-0.653391	-0.016212
23612		9.461922	-2.310459	0.850896	0.007994	-0.001341	-0.003069	-0.554443	0.248047	-0.447266	0.736822	-0.172925	-0.653398	-0.016175
23613		9.479007	-2.264649	0.841283	0.003944	-0.004199	-0.003706	-0.551025	0.255127	-0.457031	0.736778	-0.172862	-0.653464	-0.016181
23614		9.494522	-2.302754	0.833382	-0.002051	-0.001677	-0.004385	-0.542725	0.251953	-0.458740	0.736764	-0.172863	-0.653479	-0.016237
23615		9.489044	-2.345810	0.823697	0.001793	0.000630	-0.007112	-0.552979	0.242432	-0.449951	0.736793	-0.172809	-0.653458	-0.016283
23616		9.495301	-2.299505	0.833474	0.004253	-0.000210	-0.008256	-0.547363	0.256592	-0.456543	0.736781	-0.172687	-0.653503	-0.016329
23617		9.507534	-2.241122	0.842027	0.003433	0.000229	-0.004634	-0.548096	0.238770	-0.453613	0.736793	-0.172676	-0.653493	-0.016331
