// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23592		9.505864	0.739537	2.028025	-0.005143	0.005572	-0.002490	-0.673584	-0.449707	-0.321045	0.667727	0.362950	-0.514082	0.397654
23593		9.515480	0.723313	2.025741	-0.007104	-0.000515	-0.003511	-0.675049	-0.443604	-0.321533	0.667773	0.362916	-0.514105	0.397577
23594		9.540192	0.712210	1.980857	0.003059	0.000255	-0.002572	-0.676270	-0.448486	-0.325195	0.667772	0.362951	-0.514080	0.397579
23595		9.522409	0.739511	2.027890	0.001366	0.001141	0.000784	-0.665527	-0.438965	-0.337158	0.667767	0.362952	-0.514070	0.397600
23596		9.517587	0.747774	2.029035	-0.001231	-0.004107	-0.000336	-0.671143	-0.450684	-0.320068	0.667746	0.362964	-0.514111	0.397570
23597		9.489818	0.754905	2.023372	0.000967	-0.004892	0.001387	-0.668701	-0.444092	-0.319336	0.667702	0.362988	-0.514155	0.397566
23598		9.518815	0.760074	2.021936	-0.002948	-0.003419	0.001517	-0.670654	-0.450928	-0.317383	0.667685	0.362973	-0.514206	0.397542
23599		9.580902	0.764529	2.004629	-0.008386	-0.007784	-0.000116	-0.670410	-0.446289	-0.321533	0.667673	0.362947	-0.514312	0.397448
23600		9.543889	0.732971	1.993756	-0.003533	0.000584	-0.002311	-0.661133	-0.449219	-0.322266	0.667702	0.362938	-0.514317	0.397402
23601		9.512138	0.744794	2.018270	-0.000191	0.001828	-0.002148	-0.672363	-0.451904	-0.322021	0.667719	0.362953	-0.514300	0.397382
23602		9.523923	0.752489	2.019186	0.005968	0.001993	-0.002977	-0.675537	-0.445557	-0.322998	0.667711	0.363024	-0.514249	0.397396
23603		9.516081	0.778296	2.044422	0.004379	-0.001026	0.000633	-0.670898	-0.448486	-0.327393	0.667673	0.363074	-0.514249	0.397415
23604		9.551840	0.746594	2.023706	0.007019	0.001205	-0.005124	-0.669678	-0.446289	-0.325928	0.667674	0.363173	-0.514180	0.397410
23605		9.582484	0.807002	1.991077	0.005225	0.014204	-0.004303	-0.676758	-0.449951	-0.318359	0.667763	0.363186	-0.514018	0.397461
23606		9.515109	0.811553	2.011400	-0.001756	0.009240	-0.004748	-0.666260	-0.445312	-0.329102	0.667842	0.363192	-0.513935	0.397428
23607		9.438704	0.747212	2.061920	0.001725	0.000054	-0.003160	-0.672363	-0.457520	-0.325928	0.667858	0.363254	-0.513906	0.397383
23608		9.457831	0.732196	2.023141	0.010202	-0.002986	-0.004627	-0.673828	-0.445801	-0.329102	0.667825	0.363429	-0.513838	0.397366
23609		9.521727	0.800687	2.050087	0.003456	-0.007358	-0.005345	-0.664551	-0.448242	-0.329834	0.667796	0.363541	-0.513852	0.397294
23610		9.565460	0.782704	2.043416	-0.000492	-0.006827	-0.005411	-0.666992	-0.441650	-0.324951	0.667808	0.363617	-0.513859	0.397195
23611		9.546854	0.761851	2.038827	-0.000614	-0.010585	-0.006193	-0.664795	-0.448486	-0.329590	0.667787	0.363708	-0.513914	0.397076
23612		9.486979	0.730468	2.020437	-0.001627	-0.008115	-0.005159	-0.673096	-0.447510	-0.319092	0.667800	0.363777	-0.513934	0.396965
23613		9.494082	0.716781	2.058195	0.002666	-0.005775	-0.001968	-0.670654	-0.439941	-0.326904	0.667752	0.363868	-0.513963	0.396925
23614		9.516136	0.723063	2.035624	0.008166	-0.004965	-0.004400	-0.663330	-0.442139	-0.326172	0.667714	0.363954	-0.513947	0.396930
23615		9.514202	0.769542	2.034205	0.007247	-0.005117	-0.007233	-0.670410	-0.455811	-0.319824	0.667708	0.364050	-0.513911	0.396901
23616		9.524289	0.769146	2.011167	-0.001077	-0.005591	-0.002500	-0.668213	-0.440918	-0.322998	0.667693	0.364129	-0.513926	0.396833
23617		9.533480	0.725869	2.030742	0.002656	-0.004490	-0.006088	-0.668701	-0.455078	-0.320068	0.667682	0.364179	-0.513934	0.396795
23618		9.522388	0.733153	2.024177	0.001376	-0.003555	-0.004977	-0.668945	-0.453125	-0.323486	0.667680	0.364282	-0.513910	0.396735
23619		9.483400	0.732197	2.030991	0.000308	-0.011170	-0.002047	-0.669678	-0.448486	-0.318604	0.667629	0.364365	-0.513970	0.396667
23620		9.523933	0.747501	2.014658	0.001619	-0.011164	-0.002963	-0.678955	-0.444580	-0.325928	0.667545	0.364460	-0.514051	0.396617
23621		9.543283	0.770614	2.014760	0.002352	-0.008442	-0.003588	-0.670166	-0.451172	-0.324463	0.667481	0.364479	-0.514131	0.396603
23622		9.525465	0.747026	2.023571	0.000979	-0.011066	-0.001752	-0.662842	-0.446777	-0.330566	0.667428	0.364542	-0.514195	0.396550
23623		9.528047	0.770958	2.024588	-0.000734	-0.009639	-0.001207	-0.664551	-0.455322	-0.319824	0.667451	0.364511	-0.514235	0.396488
23624		9.539146	0.767637	2.013690	-0.000442	-0.014084	-0.002923	-0.677734	-0.449463	-0.322754	0.667393	0.364651	-0.514296	0.396378
23625		9.480205	0.786247	2.030068	-0.005913	-0.014697	0.001019	-0.671875	-0.451172	-0.329346	0.667295	0.364644	-0.514480	0.396312
23626		9.544590	0.731868	2.029869	-0.005833	-0.009114	-0.005134	-0.670654	-0.455078	-0.322754	0.667343	0.364615	-0.514532	0.396189
23627		9.589788	0.792473	2.034700	-0.003162	-0.008707	-0.003962	-0.664307	-0.446289	-0.319824	0.667340	0.364679	-0.514568	0.396087
23628		9.494837	0.797022	1.954504	-0.015006	-0.006384	-0.005448	-0.676514	-0.454102	-0.329346	0.667402	0.364613	-0.514658	0.395929
23629		9.444643	0.688867	2.008631	-0.010500	-0.009821	-0.007185	-0.667725	-0.441406	-0.324219	0.667467	0.364573	-0.514737	0.395753
23630		9.492718	0.718276	2.007962	-0.002887	-0.012602	-0.008494	-0.671875	-0.443359	-0.326416	0.667452	0.364571	-0.514839	0.395647
23631		9.565442	0.759756	2.021076	-0.005384	-0.015772	-0.007711	-0.674316	-0.454102	-0.322021	0.667429	0.364538	-0.514990	0.395520
23632		9.536684	0.727631	2.041876	-0.006431	-0.014985	-0.005562	-0.670898	-0.443604	-0.317627	0.667382	0.364612	-0.515115	0.395369
23633		9.536540	0.730414	2.025374	-0.005594	-0.009995	-0.002789	-0.668945	-0.449463	-0.331055	0.667294	0.364610	-0.515261	0.395328
23634		9.528585	0.690474	2.031309	0.003644	-0.008619	-0.006018	-0.678223	-0.445312	-0.331299	0.667365	0.364589	-0.515245	0.395248
23635		9.500953	0.698832	2.024462	0.004512	-0.011086	-0.002270	-0.669434	-0.455322	-0.315918	0.667330	0.364498	-0.515346	0.395260
23636		9.530020	0.735511	1.984088	0.008753	-0.007658	-0.004715	-0.669189	-0.446045	-0.329346	0.667226	0.364744	-0.515316	0.395246
23637		9.551207	0.714834	1.985369	0.010464	-0.000688	-0.006045	-0.673096	-0.442627	-0.313477	0.667296	0.364706	-0.515232	0.395275
23638		9.520845	0.738933	2.018492	0.006370	0.003540	-0.007858	-0.674072	-0.462646	-0.327393	0.667180	0.364807	-0.515222	0.395390
23639		9.540890	0.750304	1.970291	0.002566	0.000362	-0.006154	-0.671387	-0.449951	-0.320312	0.667296	0.364872	-0.515099	0.395293
23640		9.528870	0.729810	1.988828	0.001313	0.002231	-0.004845	-0.674316	-0.451172	-0.326904	0.667304	0.364888	-0.515066	0.395308
23641		9.495065	0.748536	1.972289	-0.005881	-0.002592	-0.006300	-0.672363	-0.447998	-0.314209	0.667389	0.364785	-0.515095	0.395223
23642		9.515958	0.742368	1.956259	-0.009717	0.003166	-0.008191	-0.668457	-0.454346	-0.319580	0.667367	0.364802	-0.515137	0.395189
23643		9.511504	0.749927	1.972069	-0.011978	0.000588	-0.007680	-0.672852	-0.452148	-0.322510	0.667459	0.364807	-0.515122	0.395048
23644		9.542090	0.742340	1.934768	-0.008840	0.003668	-0.009675	-0.668945	-0.437256	-0.315430	0.667562	0.364755	-0.515102	0.394948
23645		9.538840	0.760708	1.959933	-0.008039	0.006976	-0.005790	-0.672607	-0.447754	-0.321289	0.667537	0.364618	-0.515184	0.395011
23646		9.498618	0.746779	1.974924	-0.006176	0.001851	-0.004582	-0.675781	-0.449951	-0.316406	0.667553	0.364541	-0.515231	0.394993
23647		9.483629	0.772435	1.980075	-0.006842	0.001749	-0.004874	-0.668213	-0.450684	-0.323242	0.667478	0.364569	-0.515304	0.394999
23648		9.565416	0.743816	1.972345	-0.009855	0.006877	-0.009945	-0.664795	-0.442383	-0.312012	0.667645	0.364490	-0.515233	0.394883
23649		9.639916	0.783377	1.947494	-0.002223	0.002073	-0.005835	-0.670410	-0.452148	-0.324219	0.667547	0.364574	-0.515265	0.394929
23650		9.511806	0.786215	1.900611	-0.010666	0.014614	-0.003419	-0.664307	-0.454102	-0.324707	0.667730	0.364409	-0.515171	0.394895
23651		9.439106	0.725710	2.002950	-0.006641	0.010547	-0.007427	-0.668945	-0.450684	-0.323242	0.667942	0.364371	-0.514999	0.394794
23652		9.472834	0.722839	2.016828	0.004103	0.009373	-0.008116	-0.673828	-0.445312	-0.328125	0.668024	0.364397	-0.514867	0.394804
23653		9.567576	0.780667	2.021668	-0.002505	-0.000396	-0.005954	-0.669922	-0.449463	-0.324219	0.668084	0.364212	-0.514948	0.394768
23654		9.553017	0.753321	2.003492	-0.001487	-0.004344	-0.004376	-0.667725	-0.446533	-0.323486	0.668085	0.364198	-0.514995	0.394718
23655		9.534883	0.744539	1.995489	0.003079	0.000464	-0.001075	-0.673584	-0.452393	-0.332031	0.668080	0.364153	-0.515005	0.394756
23656		9.516668	0.720661	2.006893	0.003109	0.002146	-0.002186	-0.666016	-0.454590	-0.319336	0.668199	0.364011	-0.514969	0.394732
23657		9.479922	0.740676	2.033374	0.002930	0.003428	-0.001522	-0.670166	-0.445801	-0.319092	0.668180	0.364161	-0.514870	0.394754
23658		9.525843	0.773800	2.008703	0.006421	0.003205	-0.003534	-0.670410	-0.450684	-0.327393	0.668085	0.364216	-0.514873	0.394860
23659		9.518060	0.747013	2.012222	0.000397	0.001350	-0.006364	-0.674561	-0.447021	-0.318359	0.668178	0.364151	-0.514840	0.394807
23660		9.546556	0.754165	2.012175	-0.002191	0.003012	-0.005639	-0.665527	-0.448486	-0.323730	0.668082	0.364170	-0.514908	0.394863
23661		9.514631	0.766443	2.037444	-0.004574	0.004331	-0.005384	-0.678467	-0.446533	-0.317871	0.668187	0.364096	-0.514865	0.394811
23662		9.490689	0.753343	2.036980	-0.002711	-0.000797	-0.004177	-0.673584	-0.444092	-0.321289	0.668015	0.364113	-0.515018	0.394886
23663		9.501850	0.763046	2.023711	-0.005330	-0.000817	-0.002342	-0.675293	-0.447754	-0.326660	0.667952	0.363997	-0.515162	0.394911
23664		9.543562	0.735391	1.995531	-0.005007	-0.006549	0.000055	-0.672363	-0.449219	-0.322510	0.667931	0.363841	-0.515325	0.394878
23665		9.538716	0.773504	1.958572	-0.001643	-0.003613	-0.000900	-0.672852	-0.448730	-0.317871	0.667874	0.363829	-0.515402	0.394885
23666		9.535200	0.777670	1.987149	-0.003278	0.001366	-0.001071	-0.671387	-0.444092	-0.324707	0.667768	0.363871	-0.515462	0.394947
23667		9.534463	0.764602	1.992773	-0.001436	0.003147	0.001975	-0.666260	-0.452637	-0.330322	0.667785	0.363679	-0.515537	0.394997
23668		9.543494	0.765059	1.957965	-0.002635	0.001274	-0.002282	-0.673828	-0.451172	-0.330811	0.667980	0.363554	-0.515460	0.394882
23669		9.487910	0.800660	2.021917	-0.002107	-0.004802	-0.000355	-0.671143	-0.452637	-0.325928	0.668053	0.363403	-0.515530	0.394807
23670		9.525757	0.726366	1.986083	-0.007507	-0.006942	-0.005899	-0.665527	-0.447754	-0.321045	0.668105	0.363389	-0.515585	0.394659
23671		9.588442	0.811750	1.981252	-0.006886	-0.000125	-0.005267	-0.669678	-0.452148	-0.321777	0.668142	0.363387	-0.515589	0.394593
23672		9.527651	0.832717	1.989008	-0.022482	0.010011	-0.006730	-0.673584	-0.447266	-0.322021	0.668310	0.363255	-0.515573	0.394451
23673		9.450856	0.718253	1.990542	-0.016132	-0.000222	-0.006161	-0.671143	-0.447998	-0.331055	0.668329	0.363143	-0.515700	0.394357
23674		9.435907	0.714316	2.033080	-0.003080	0.003814	-0.008269	-0.667725	-0.444092	-0.322266	0.668506	0.362969	-0.515671	0.394254
23675		9.534318	0.753093	2.027319	0.000164	0.000018	-0.004782	-0.678223	-0.443848	-0.329590	0.668485	0.362957	-0.515696	0.394269
23676		9.543343	0.777828	2.050857	-0.002611	-0.006376	-0.002821	-0.671143	-0.446045	-0.320312	0.668461	0.362760	-0.515883	0.394246
23677		9.543884	0.740009	2.008490	0.001615	-0.005171	-0.001337	-0.669922	-0.445312	-0.327148	0.668324	0.362832	-0.515967	0.394301
23678		9.533341	0.743942	2.016495	0.002974	0.004561	0.000182	-0.673828	-0.447754	-0.321045	0.668376	0.362699	-0.515958	0.394348
23679		9.495251	0.737649	2.053535	0.007406	0.005424	0.001196	-0.671387	-0.451172	-0.323730	0.668267	0.362755	-0.515940	0.394506
23680		9.470162	0.764678	2.081273	0.005626	0.007013	-0.004071	-0.667725	-0.444092	-0.324463	0.668285	0.362817	-0.515834	0.394555
23681		9.528991	0.779858	2.010206	-0.002478	-0.008788	-0.005185	-0.676758	-0.447754	-0.330322	0.668271	0.362783	-0.515933	0.394482
23682		9.549021	0.762771	1.983787	-0.012749	-0.005686	-0.006346	-0.667725	-0.447021	-0.327148	0.668364	0.362567	-0.516087	0.394320
23683		9.560975	0.771092	1.983370	-0.011638	-0.003839	-0.009408	-0.675049	-0.453857	-0.329590	0.668499	0.362453	-0.516136	0.394133
23684		9.544824	0.771996	1.997459	-0.011633	-0.003091	-0.010714	-0.668457	-0.445557	-0.324463	0.668641	0.362374	-0.516172	0.393916
23685		9.481745	0.757439	2.004970	-0.015297	-0.000847	-0.009340	-0.670898	-0.446045	-0.326172	0.668742	0.362258	-0.516238	0.393765
23686		9.505540	0.757293	2.024493	-0.018355	-0.002615	-0.004149	-0.677246	-0.457275	-0.330078	0.668827	0.362062	-0.516372	0.393625
23687		9.541035	0.727381	1.989033	-0.011850	-0.007223	-0.002408	-0.667725	-0.453857	-0.323730	0.668896	0.361989	-0.516472	0.393444
23688		9.523862	0.715904	1.993769	-0.002785	-0.005093	-0.002157	-0.679443	-0.450684	-0.327148	0.668897	0.362083	-0.516469	0.393360
