// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23592		9.557794	0.826559	-1.988114	0.008743	0.004280	-0.013796	-0.641113	0.211426	-0.283447	0.594266	-0.197903	-0.749879	-0.212990
23593		9.570647	0.821664	-2.043366	0.004137	0.000790	-0.014439	-0.641113	0.216553	-0.284424	0.594245	-0.197734	-0.749920	-0.213060
23594		9.562338	0.836897	-2.014151	0.008450	0.003123	-0.013459	-0.642334	0.217041	-0.288574	0.594260	-0.197543	-0.749950	-0.213087
23595		9.565308	0.850117	-1.997090	0.006907	0.003856	-0.015339	-0.633057	0.222656	-0.299072	0.594272	-0.197338	-0.749979	-0.213146
23596		9.574952	0.845869	-2.016715	0.007796	0.006246	-0.011902	-0.639404	0.216553	-0.281494	0.594316	-0.197151	-0.749984	-0.213177
23597		9.565281	0.855381	-1.994972	0.005091	0.003825	-0.010644	-0.637939	0.218018	-0.285156	0.594332	-0.197002	-0.749998	-0.213218
23598		9.590200	0.813463	-2.017865	0.003178	0.004210	-0.010766	-0.636963	0.213623	-0.283691	0.594345	-0.196865	-0.750006	-0.213281
23599		9.576478	0.816082	-1.991034	0.006213	0.004335	-0.013694	-0.636230	0.216309	-0.284424	0.594358	-0.196680	-0.750030	-0.213332
23600		9.578650	0.847923	-1.985307	0.006076	0.003029	-0.014414	-0.630127	0.213135	-0.288574	0.594357	-0.196497	-0.750065	-0.213383
23601		9.577160	0.819185	-2.011304	0.005320	0.002862	-0.013125	-0.640625	0.215332	-0.287842	0.594357	-0.196331	-0.750094	-0.213431
23602		9.572071	0.817859	-1.984109	0.009224	0.001286	-0.014302	-0.640381	0.217773	-0.286621	0.594345	-0.196136	-0.750151	-0.213441
23603		9.564750	0.803726	-1.995240	0.004209	-0.000039	-0.015865	-0.634521	0.217041	-0.289307	0.594308	-0.195972	-0.750207	-0.213501
23604		9.604271	0.821576	-1.999943	0.008532	0.000842	-0.016664	-0.636963	0.218262	-0.291260	0.594292	-0.195771	-0.750267	-0.213521
23605		9.575789	0.843619	-1.959340	0.007892	0.002509	-0.016887	-0.645020	0.212891	-0.283691	0.594291	-0.195576	-0.750311	-0.213545
23606		9.565431	0.819649	-1.986696	0.008460	0.000183	-0.017026	-0.635742	0.216309	-0.291016	0.594265	-0.195381	-0.750378	-0.213560
23607		9.573591	0.845381	-1.967865	0.009282	-0.002698	-0.013403	-0.638428	0.205566	-0.287354	0.594240	-0.195224	-0.750448	-0.213529
23608		9.553359	0.827501	-1.975806	0.009701	-0.004868	-0.012481	-0.637939	0.214600	-0.288818	0.594191	-0.195063	-0.750541	-0.213485
23609		9.553753	0.826943	-1.998977	0.008209	-0.006656	-0.011680	-0.631104	0.212646	-0.294189	0.594135	-0.194945	-0.750630	-0.213438
23610		9.610606	0.835410	-2.003331	0.010685	-0.004738	-0.012243	-0.633545	0.221680	-0.293701	0.594114	-0.194788	-0.750705	-0.213375
23611		9.580896	0.798134	-2.009110	0.011416	-0.004053	-0.015766	-0.632324	0.215576	-0.293457	0.594096	-0.194621	-0.750777	-0.213324
23612		9.547663	0.804472	-1.994084	0.015377	-0.000351	-0.017134	-0.641113	0.213379	-0.281982	0.594116	-0.194392	-0.750841	-0.213249
23613		9.572420	0.840827	-1.985127	0.011775	-0.003719	-0.017529	-0.637695	0.222900	-0.291260	0.594058	-0.194216	-0.750950	-0.213191
23614		9.575127	0.827709	-1.988707	0.008969	-0.007972	-0.014751	-0.629395	0.220215	-0.292480	0.594000	-0.194123	-0.751037	-0.213128
23615		9.564408	0.803388	-2.018175	0.007956	-0.007589	-0.017225	-0.638184	0.209717	-0.286133	0.593952	-0.193989	-0.751118	-0.213098
