// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23592		9.744929	0.563352	-0.655916	0.009585	-0.003427	-0.011982	-0.764160	-0.246338	0.583252	-0.149525	-0.720715	0.118606	-0.666442
23593		9.725637	0.655045	-0.643163	0.010318	-0.005608	-0.011106	-0.765381	-0.245117	0.583740	-0.149516	-0.720798	0.118430	-0.666386
23594		9.729409	0.619634	-0.658459	0.009147	-0.007692	-0.009100	-0.768311	-0.245605	0.579102	-0.149478	-0.720895	0.118289	-0.666314
23595		9.734894	0.586687	-0.687809	0.011192	-0.010468	-0.011043	-0.760254	-0.240723	0.569092	-0.149466	-0.721018	0.118113	-0.666215
23596		9.755235	0.628040	-0.645175	0.005200	-0.010094	-0.008463	-0.760986	-0.245117	0.585205	-0.149476	-0.721126	0.118009	-0.666114
23597		9.737580	0.577070	-0.673863	0.009039	-0.009608	-0.010659	-0.763672	-0.244873	0.585938	-0.149455	-0.721244	0.117852	-0.666019
23598		9.752765	0.597142	-0.670281	0.003844	-0.002931	-0.011316	-0.762939	-0.248047	0.585938	-0.149489	-0.721299	0.117720	-0.665975
23599		9.763024	0.645335	-0.654207	0.001672	-0.002852	-0.009634	-0.760986	-0.244873	0.582031	-0.149567	-0.721342	0.117614	-0.665930
23600		9.726858	0.624074	-0.671336	0.010058	-0.005714	-0.009194	-0.755127	-0.247803	0.584473	-0.149548	-0.721421	0.117443	-0.665879
23601		9.724928	0.625825	-0.722825	0.009740	-0.007180	-0.007410	-0.767090	-0.246094	0.581787	-0.149545	-0.721519	0.117282	-0.665802
23602		9.762941	0.591736	-0.662267	0.003581	-0.003926	-0.006741	-0.765137	-0.244629	0.582764	-0.149587	-0.721565	0.117174	-0.665761
23603		9.732096	0.591437	-0.638586	0.013728	0.001958	-0.006848	-0.762695	-0.242188	0.582275	-0.149525	-0.721590	0.116970	-0.665784
23604		9.744064	0.626855	-0.716265	0.012049	-0.004659	-0.007468	-0.760742	-0.242432	0.582275	-0.149452	-0.721662	0.116790	-0.665754
23605		9.764782	0.539734	-0.682337	0.005722	-0.010832	-0.008259	-0.769043	-0.246094	0.586914	-0.149441	-0.721784	0.116661	-0.665646
23606		9.753783	0.623983	-0.691504	0.004210	-0.001871	-0.007648	-0.761230	-0.245361	0.579590	-0.149466	-0.721847	0.116538	-0.665594
23607		9.700901	0.667431	-0.676974	0.005871	-0.002183	-0.005503	-0.762939	-0.254150	0.583252	-0.149478	-0.721874	0.116423	-0.665583
23608		9.699591	0.573836	-0.701855	0.004034	0.000136	-0.006902	-0.763428	-0.241699	0.580078	-0.149612	-0.721907	0.116285	-0.665540
