// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		9.767834	-0.669799	-0.751339	0.010334	0.008425	-0.011580	-0.741699	0.133057	-0.335205	0.677375	-0.107639	-0.725760	-0.053378
23594		9.767774	-0.691126	-0.705654	0.006323	0.008175	-0.013198	-0.745117	0.130371	-0.338135	0.677449	-0.107460	-0.725713	-0.053443
23595		9.764550	-0.646403	-0.663186	0.018284	0.007284	-0.017667	-0.733154	0.137451	-0.348145	0.677529	-0.107136	-0.725686	-0.053438
23596		9.757484	-0.651705	-0.725228	0.017792	0.009690	-0.017938	-0.739990	0.126953	-0.333496	0.677631	-0.106816	-0.725638	-0.053442
23597		9.753013	-0.619066	-0.702566	0.007066	0.009476	-0.018097	-0.738037	0.131836	-0.334717	0.677719	-0.106584	-0.725583	-0.053545
23598		9.780733	-0.664833	-0.703516	0.000995	0.009275	-0.016110	-0.737549	0.127686	-0.334717	0.677800	-0.106418	-0.725520	-0.053690
23599		9.781088	-0.703887	-0.670175	0.003035	0.006894	-0.010226	-0.737305	0.131836	-0.335938	0.677871	-0.106291	-0.725468	-0.053762
23600		9.765699	-0.701254	-0.652862	0.007123	0.010094	-0.012430	-0.727783	0.127930	-0.338135	0.677983	-0.106112	-0.725385	-0.053814
23601		9.762777	-0.687536	-0.666319	0.017875	0.008902	-0.013877	-0.744629	0.127686	-0.336914	0.678108	-0.105834	-0.725311	-0.053773
23602		9.762312	-0.660524	-0.683912	0.017958	0.005707	-0.015035	-0.741211	0.127197	-0.337402	0.678215	-0.105553	-0.725256	-0.053731
23603		9.764747	-0.681103	-0.686139	0.010143	0.008513	-0.010510	-0.737793	0.129883	-0.341797	0.678344	-0.105377	-0.725161	-0.053724
23604		9.796131	-0.702413	-0.670790	0.013964	0.006463	-0.013022	-0.735840	0.130127	-0.337402	0.678464	-0.105154	-0.725083	-0.053694
23605		9.763308	-0.694607	-0.646550	0.021343	0.007202	-0.010325	-0.744629	0.125244	-0.333496	0.678606	-0.104900	-0.724997	-0.053565
23606		9.767168	-0.624697	-0.659658	0.024392	0.004736	-0.008172	-0.736328	0.130127	-0.339111	0.678741	-0.104647	-0.724921	-0.053381
23607		9.742085	-0.596522	-0.659235	0.016377	0.004733	-0.009588	-0.739014	0.119873	-0.338379	0.678872	-0.104444	-0.724835	-0.053285
23608		9.734144	-0.651473	-0.635478	0.004433	0.001286	-0.013760	-0.740479	0.129883	-0.340820	0.678953	-0.104289	-0.724776	-0.053356
23609		9.762766	-0.692055	-0.693869	0.006303	0.001854	-0.014444	-0.734863	0.128418	-0.345459	0.679061	-0.104125	-0.724696	-0.053393
23610		9.795410	-0.712690	-0.703510	0.008799	0.004104	-0.011184	-0.733643	0.133545	-0.341797	0.679193	-0.103973	-0.724595	-0.053381
23611		9.758373	-0.712350	-0.685317	-0.003018	-0.002406	-0.012635	-0.733154	0.130371	-0.343018	0.679234	-0.103932	-0.724557	-0.053447
23612		9.736656	-0.736014	-0.639013	0.005322	0.001055	-0.010486	-0.741455	0.129150	-0.332520	0.679319	-0.103842	-0.724491	-0.053426
23613		9.772004	-0.707222	-0.652083	0.024177	0.002802	-0.014368	-0.739990	0.136719	-0.340820	0.679422	-0.103572	-0.724447	-0.053244
23614		9.741316	-0.692447	-0.708967	0.019640	-0.001314	-0.017440	-0.730957	0.133057	-0.341553	0.679518	-0.103347	-0.724400	-0.053098
23615		9.759771	-0.675560	-0.727660	0.006541	0.000818	-0.015350	-0.738770	0.123535	-0.335205	0.679592	-0.103227	-0.724349	-0.053075
