// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		5.488803	-0.318649	8.027066	-0.000601	-0.003598	0.001206	-0.702393	0.364990	-0.204834	0.296556	-0.285993	-0.075375	-0.908064
23594		5.487559	-0.309772	8.028163	-0.001933	-0.004413	0.002818	-0.708496	0.363037	-0.210449	0.296577	-0.286053	-0.075359	-0.908040
23595		5.474278	-0.330847	8.012205	-0.000553	-0.003011	0.000725	-0.696289	0.371582	-0.218506	0.296577	-0.286084	-0.075365	-0.908030
23596		5.488842	-0.297378	8.009730	-0.000647	-0.004187	0.001688	-0.701660	0.362305	-0.203857	0.296590	-0.286136	-0.075367	-0.908009
23597		5.473842	-0.322030	8.012749	-0.000532	-0.004754	0.001047	-0.702637	0.364502	-0.204590	0.296595	-0.286193	-0.075376	-0.907989
23598		5.479579	-0.316680	8.043575	-0.000463	-0.005909	0.000886	-0.700684	0.359619	-0.203125	0.296598	-0.286262	-0.075390	-0.907965
23599		5.473263	-0.315150	8.022292	-0.002159	-0.007383	0.001299	-0.699951	0.364746	-0.206299	0.296598	-0.286352	-0.075389	-0.907937
23600		5.482150	-0.304679	8.024248	-0.002436	-0.006838	0.003064	-0.692383	0.359863	-0.205566	0.296617	-0.286435	-0.075376	-0.907905
23601		5.488474	-0.335477	8.027978	-0.001653	-0.004960	0.001055	-0.704834	0.362061	-0.206299	0.296618	-0.286490	-0.075374	-0.907888
23602		5.475883	-0.319058	8.029327	-0.003688	-0.004762	-0.000535	-0.703369	0.364746	-0.206787	0.296594	-0.286548	-0.075351	-0.907879
23603		5.497203	-0.314176	8.021391	-0.001655	-0.009037	0.002179	-0.698975	0.365479	-0.207764	0.296606	-0.286645	-0.075356	-0.907844
23604		5.479198	-0.333685	8.044540	-0.002892	-0.008676	0.002830	-0.699219	0.364746	-0.209717	0.296621	-0.286743	-0.075345	-0.907809
23605		5.469722	-0.327110	8.043482	-0.004721	-0.011944	0.000761	-0.707275	0.359131	-0.203613	0.296605	-0.286876	-0.075329	-0.907774
23606		5.492109	-0.309518	8.017250	-0.005223	-0.014371	0.001008	-0.695557	0.364258	-0.209961	0.296579	-0.287035	-0.075314	-0.907733
23607		5.489323	-0.331298	8.010760	-0.004283	-0.012444	0.001803	-0.702148	0.354980	-0.206787	0.296581	-0.287163	-0.075301	-0.907693
23608		5.498699	-0.321069	8.012366	-0.003824	-0.006531	0.000915	-0.703125	0.364258	-0.205322	0.296560	-0.287223	-0.075277	-0.907683
23609		5.471394	-0.340418	8.025226	-0.001718	-0.003809	0.001218	-0.695557	0.359863	-0.217041	0.296566	-0.287248	-0.075263	-0.907674
23610		5.493264	-0.311171	8.052259	-0.004600	-0.008439	-0.001001	-0.698730	0.368408	-0.210693	0.296543	-0.287303	-0.075241	-0.907666
23611		5.490532	-0.317528	8.019289	-0.003591	-0.011746	0.000758	-0.696533	0.363037	-0.208008	0.296553	-0.287403	-0.075231	-0.907632
23612		5.484166	-0.331252	8.024474	-0.001920	-0.008526	0.000022	-0.703369	0.363281	-0.198975	0.296548	-0.287466	-0.075235	-0.907613
23613		5.494383	-0.331543	8.034164	0.000210	-0.007548	0.000646	-0.701904	0.370117	-0.209229	0.296540	-0.287538	-0.075255	-0.907592
23614		5.495446	-0.318340	8.015890	0.000232	-0.005214	-0.000158	-0.693604	0.369141	-0.208008	0.296569	-0.287542	-0.075264	-0.907580
23615		5.488978	-0.342622	8.029808	0.000734	-0.002788	-0.000404	-0.700439	0.357178	-0.202148	0.296611	-0.287525	-0.075268	-0.907571
23616		5.496017	-0.319867	8.024434	0.001285	-0.003853	-0.000007	-0.696777	0.371582	-0.205566	0.296574	-0.287541	-0.075293	-0.907576
23617		5.487230	-0.321493	8.022687	0.000689	-0.003377	0.000078	-0.699463	0.353516	-0.204346	0.296635	-0.287541	-0.075289	-0.907557
23618		5.490334	-0.330756	8.020275	0.000852	-0.007436	0.000081	-0.702637	0.358887	-0.204346	0.296566	-0.287585	-0.075333	-0.907562
23619		5.468435	-0.315403	8.020326	-0.000157	-0.004129	-0.001678	-0.701172	0.365234	-0.205322	0.296505	-0.287595	-0.075354	-0.907577
23620		5.495127	-0.337992	8.007787	0.000094	-0.002902	0.000163	-0.708008	0.367676	-0.208740	0.296519	-0.287585	-0.075353	-0.907575
23621		5.490927	-0.320889	8.020181	0.001400	-0.004421	-0.000648	-0.702148	0.360596	-0.209229	0.296531	-0.287567	-0.075383	-0.907575
23622		5.490576	-0.322372	8.029364	0.001352	-0.000929	-0.001293	-0.694092	0.364746	-0.214355	0.296505	-0.287502	-0.075410	-0.907602
23623		5.483472	-0.320243	8.008616	0.000074	-0.005238	0.000968	-0.694336	0.356689	-0.205566	0.296586	-0.287452	-0.075420	-0.907590
23624		5.483947	-0.335510	8.034774	-0.001414	-0.006103	-0.000220	-0.703125	0.362549	-0.207031	0.296533	-0.287486	-0.075426	-0.907596
23625		5.475307	-0.324411	8.015353	-0.001483	-0.004947	-0.000060	-0.700684	0.359619	-0.212158	0.296511	-0.287496	-0.075427	-0.907600
23626		5.491816	-0.315441	8.037718	-0.001388	-0.007850	0.000103	-0.703125	0.354492	-0.209961	0.296486	-0.287485	-0.075452	-0.907610
23627		5.468243	-0.328934	8.021334	-0.002549	-0.012729	0.001725	-0.694580	0.366211	-0.206055	0.296382	-0.287552	-0.075492	-0.907619
23628		5.506554	-0.335236	7.982028	-0.002279	-0.009193	-0.001168	-0.707031	0.357422	-0.214600	0.296447	-0.287619	-0.075478	-0.907578
23629		5.492898	-0.335413	8.019646	-0.000841	-0.004835	-0.000626	-0.700928	0.370605	-0.213867	0.296357	-0.287538	-0.075529	-0.907628
23630		5.492494	-0.324128	8.011285	-0.000341	-0.002406	-0.000875	-0.703369	0.369141	-0.209229	0.296503	-0.287445	-0.075526	-0.907611
23631		5.483421	-0.325962	8.009742	-0.000937	-0.001931	-0.000790	-0.705322	0.359375	-0.205811	0.296588	-0.287404	-0.075512	-0.907597
23632		5.492962	-0.339188	8.037475	0.000762	-0.004537	-0.000080	-0.699951	0.362061	-0.200928	0.296497	-0.287425	-0.075547	-0.907617
23633		5.502339	-0.312750	8.012601	0.000814	-0.008031	0.000567	-0.699219	0.361572	-0.219238	0.296470	-0.287546	-0.075562	-0.907587
23634		5.487539	-0.323927	7.997988	-0.000403	-0.005333	0.000414	-0.703613	0.366211	-0.212646	0.296537	-0.287393	-0.075607	-0.907609
23635		5.499336	-0.333208	8.006307	0.002070	-0.006057	-0.000891	-0.703613	0.357666	-0.201660	0.296608	-0.287340	-0.075662	-0.907598
23636		5.504752	-0.314042	8.019905	0.001744	-0.002017	0.000227	-0.697754	0.368164	-0.211182	0.296471	-0.287392	-0.075691	-0.907624
23637		5.489768	-0.322806	7.996504	0.002473	-0.000724	-0.001305	-0.703125	0.368896	-0.200195	0.296633	-0.287289	-0.075709	-0.907602
23638		5.487348	-0.327744	8.025016	0.003069	-0.001200	-0.001390	-0.702148	0.348389	-0.213623	0.296700	-0.287365	-0.075710	-0.907556
23639		5.504657	-0.314406	8.028970	-0.000133	-0.001769	0.001448	-0.702881	0.361572	-0.213379	0.296449	-0.287230	-0.075790	-0.907674
23640		5.481125	-0.323552	7.994716	0.001744	-0.002017	0.000228	-0.703369	0.363770	-0.213623	0.296467	-0.287112	-0.075845	-0.907701
23641		5.499951	-0.334767	8.023858	0.001585	-0.002039	0.001352	-0.701660	0.363281	-0.201416	0.296540	-0.286998	-0.075886	-0.907710
23642		5.486649	-0.317643	8.025822	0.000596	-0.000476	-0.000085	-0.700439	0.356689	-0.203613	0.296517	-0.287067	-0.075867	-0.907697
23643		5.478215	-0.330420	8.032508	0.002769	0.001094	0.000051	-0.704834	0.355957	-0.210205	0.296387	-0.287060	-0.075904	-0.907739
23644		5.488324	-0.312919	8.006826	0.003873	-0.001038	0.000847	-0.696533	0.375000	-0.201660	0.296255	-0.286971	-0.075998	-0.907802
