// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23593		5.443430	1.407106	7.933588	0.003490	-0.001091	-0.001386	-0.574219	0.533936	-0.408203	0.512301	-0.206864	-0.221933	-0.803431
23594		5.459526	1.408072	7.964663	0.003874	-0.002672	-0.003673	-0.577148	0.531494	-0.411133	0.512267	-0.206856	-0.221998	-0.803436
23595		5.465468	1.405569	7.931048	0.004724	-0.002059	-0.003478	-0.569824	0.539307	-0.422607	0.512236	-0.206833	-0.222071	-0.803442
23596		5.454239	1.405554	7.957705	0.001438	-0.000799	-0.001532	-0.570801	0.531738	-0.409424	0.512222	-0.206829	-0.222095	-0.803445
23597		5.444366	1.411319	7.932198	0.003318	-0.001323	-0.003988	-0.572510	0.534180	-0.407715	0.512187	-0.206810	-0.222147	-0.803458
23598		5.468959	1.415176	7.952972	0.003286	-0.001260	-0.001946	-0.570801	0.531494	-0.404297	0.512173	-0.206797	-0.222193	-0.803458
23599		5.455993	1.392064	7.953103	0.003846	-0.003270	-0.003446	-0.571289	0.533691	-0.407959	0.512139	-0.206798	-0.222261	-0.803460
23600		5.448726	1.397628	7.956467	0.003026	-0.003286	-0.003867	-0.563232	0.527832	-0.408203	0.512100	-0.206804	-0.222320	-0.803467
23601		5.454245	1.396428	7.968529	0.005896	-0.002902	-0.001485	-0.577393	0.529541	-0.408447	0.512095	-0.206795	-0.222394	-0.803452
23602		5.457517	1.395856	7.951392	0.003467	-0.003012	-0.004790	-0.575928	0.533447	-0.408936	0.512051	-0.206794	-0.222449	-0.803466
23603		5.463735	1.401916	7.957082	0.004693	-0.001997	-0.001435	-0.570312	0.533936	-0.410400	0.512049	-0.206786	-0.222496	-0.803456
23604		5.447922	1.404714	7.970769	0.004816	-0.004943	-0.003826	-0.568115	0.534668	-0.410889	0.512017	-0.206802	-0.222565	-0.803453
23605		5.445827	1.399606	7.947089	0.006839	-0.005833	-0.003454	-0.578857	0.530518	-0.406006	0.511995	-0.206811	-0.222653	-0.803440
23606		5.459592	1.394577	7.954815	0.006048	-0.005251	-0.004102	-0.568115	0.533691	-0.412598	0.511959	-0.206824	-0.222733	-0.803437
23607		5.445770	1.412248	7.955279	0.005813	-0.005357	-0.002619	-0.569336	0.522461	-0.411377	0.511950	-0.206836	-0.222795	-0.803423
23608		5.461435	1.398066	7.952937	0.008130	-0.004946	-0.004183	-0.573730	0.535645	-0.408447	0.511921	-0.206812	-0.222892	-0.803421
23609		5.454074	1.404232	7.956260	0.003963	-0.000882	-0.004353	-0.565918	0.529785	-0.415283	0.511901	-0.206800	-0.222905	-0.803433
23610		5.454229	1.405630	7.955907	0.004726	-0.002062	-0.003477	-0.568848	0.538330	-0.416260	0.511898	-0.206769	-0.222928	-0.803436
23611		5.457741	1.405371	7.938536	0.008659	-0.006231	-0.001825	-0.566162	0.530273	-0.415039	0.511926	-0.206772	-0.222996	-0.803399
23612		5.468804	1.402381	7.962769	0.006050	-0.005253	-0.004100	-0.573975	0.531494	-0.405029	0.511912	-0.206763	-0.223052	-0.803394
23613		5.458542	1.401823	7.943242	0.006194	-0.002266	-0.005236	-0.573975	0.539551	-0.411377	0.511871	-0.206764	-0.223105	-0.803406
23614		5.458846	1.403608	7.942717	0.004933	-0.002556	-0.004733	-0.565186	0.536377	-0.412598	0.511867	-0.206775	-0.223118	-0.803402
23615		5.465030	1.410181	7.948328	0.006575	-0.002524	-0.003891	-0.573486	0.526367	-0.405762	0.511886	-0.206755	-0.223139	-0.803389
23616		5.452826	1.394931	7.942006	0.005576	-0.001450	-0.003284	-0.569580	0.540039	-0.411133	0.511844	-0.206749	-0.223193	-0.803402
23617		5.463926	1.398932	7.960352	0.005139	-0.002387	-0.004174	-0.569580	0.523438	-0.409424	0.511865	-0.206763	-0.223189	-0.803387
23618		5.459886	1.410041	7.940863	0.003143	-0.000901	-0.004773	-0.575195	0.528809	-0.409912	0.511808	-0.206729	-0.223218	-0.803424
23619		5.464400	1.401819	7.959519	0.005903	-0.003566	-0.003298	-0.572998	0.531006	-0.406006	0.511774	-0.206737	-0.223279	-0.803427
23620		5.462123	1.396605	7.935975	0.006844	-0.005172	-0.001636	-0.576904	0.531982	-0.413330	0.511757	-0.206788	-0.223340	-0.803407
23621		5.452927	1.411676	7.949349	0.003935	-0.001483	-0.004125	-0.571045	0.531250	-0.412842	0.511735	-0.206781	-0.223359	-0.803417
23622		5.472471	1.418416	7.957407	0.004785	-0.000869	-0.003932	-0.565674	0.534180	-0.419434	0.511737	-0.206747	-0.223371	-0.803422
23623		5.442053	1.390005	7.978603	0.005401	-0.001023	-0.004070	-0.562988	0.524658	-0.407715	0.511808	-0.206657	-0.223362	-0.803402
23624		5.457193	1.397846	7.928131	0.005961	-0.002372	-0.003752	-0.575684	0.531006	-0.411133	0.511787	-0.206622	-0.223402	-0.803413
23625		5.458471	1.415451	7.960533	0.003964	-0.000887	-0.004352	-0.572266	0.529541	-0.418701	0.511752	-0.206621	-0.223421	-0.803431
23626		5.455393	1.387694	7.986177	0.003496	-0.001758	-0.003200	-0.570557	0.522949	-0.414062	0.511774	-0.206546	-0.223438	-0.803431
23627		5.466498	1.406559	7.961896	0.007353	-0.008380	-0.002674	-0.563721	0.532715	-0.410645	0.511729	-0.206522	-0.223563	-0.803431
23628		5.464816	1.401563	7.937904	0.006412	-0.006776	-0.004337	-0.578613	0.526367	-0.420654	0.511781	-0.206543	-0.223585	-0.803386
23629		5.471386	1.408063	7.943248	0.004729	-0.002066	-0.003476	-0.573486	0.540039	-0.418945	0.511750	-0.206442	-0.223664	-0.803411
23630		5.440853	1.403495	7.961407	0.006402	-0.002100	-0.004677	-0.572754	0.536621	-0.415283	0.511859	-0.206397	-0.223660	-0.803353
23631		5.454660	1.405893	7.963156	0.006635	-0.001332	-0.004346	-0.574951	0.526367	-0.410889	0.511931	-0.206363	-0.223666	-0.803315
23632		5.466588	1.417323	7.974953	0.005523	-0.002646	-0.002827	-0.571533	0.532471	-0.408447	0.511863	-0.206364	-0.223735	-0.803339
23633		5.463324	1.404894	7.958032	0.007113	-0.004473	-0.003344	-0.569824	0.530029	-0.424316	0.511864	-0.206420	-0.223773	-0.803313
23634		5.456909	1.418090	7.954783	0.003881	-0.002681	-0.003668	-0.577393	0.533203	-0.420654	0.511954	-0.206257	-0.223797	-0.803291
